label,auc_M0,auc_compressed,auc_drop
BenignTraffic,0.9603079255761834,0.956178337741077,0.004129587835106419
DDoS-HTTP_Flood,0.9982658931832452,0.9980943350090721,0.00017155817417313646
DDoS-ICMP_Fragmentation,0.9996145714738487,0.9994566657789197,0.00015790569492901696
DDoS-SlowLoris,0.9972302474574566,0.9961756528998409,0.0010545945576156956
DDoS-SynonymousIP_Flood,0.9746613151978711,0.9750166793668832,-0.00035536416901205126
DDoS-TCP_Flood,0.9859523837030346,0.9846497119439482,0.0013026717590863823
DDoS-UDP_Flood,0.9902731394869528,0.9900713502315388,0.00020178925541403103
DNS_Spoofing,0.9846067382941815,0.9817481889367453,0.0028585493574362353
DoS-HTTP_Flood,0.9978428423145295,0.9966775884529939,0.0011652538615355423
DoS-SYN_Flood,0.9385782833399732,0.9440757562099488,-0.005497472869975595
DoS-TCP_Flood,0.9835117189021845,0.9838539757973134,-0.0003422568951289007
DoS-UDP_Flood,0.9918794602696108,0.9913856041477723,0.0004938561218384985
Mirai-greip_flood,0.9977793936975734,0.9979784603439465,-0.0001990666463731472
Recon-HostDiscovery,0.9779694078197911,0.9731725722535327,0.004796835566258428
Recon-OSScan,0.9201401197371649,0.9137121782888665,0.006427941448298391
Recon-PortScan,0.9272158942165796,0.9219857193188469,0.005230174897732698
VulnerabilityScan,0.9687253057389272,0.963791729920543,0.004933575818384273
