seed,variant,macro_f1,gain
0,bn0_only,0.5024654250698106,0.1647899202390552
0,bn1_only,0.35461621513421926,0.016940710303463835
0,means_only,0.49622800652602866,0.15855250169527324
0,vars_only,0.3419586628277021,0.004283157996946674
0,all,0.5047298667252218,0.16705436189446637
1,bn0_only,0.47556311084012615,0.07037000308112723
1,bn1_only,0.4111496139448585,0.005956506185859578
1,means_only,0.4921243950774086,0.08693128731840971
1,vars_only,0.41295059031314274,0.007757482554143824
1,all,0.4749679413318289,0.06977483357282999
2,bn0_only,0.5186455647108595,0.5096051393570079
2,bn1_only,0.0060861450083380935,-0.0029542803455135432
2,means_only,0.517354398246408,0.5083139728925564
2,vars_only,0.0056362897199107795,-0.0034041356339408572
2,all,0.5189777080845985,0.5099372827307469
3,bn0_only,0.4918162681005362,0.1069587861758673
3,bn1_only,0.3874027359440761,0.002545254019407195
3,means_only,0.5050480747870981,0.12019059286242922
3,vars_only,0.37966506257281774,-0.005192419351851163
3,all,0.5004133221010555,0.11555584017638659
4,bn0_only,0.505187333005165,0.28893072895073035
4,bn1_only,0.2104991786947563,-0.005757425359678381
4,means_only,0.513359664447504,0.29710306039306933
4,vars_only,0.21839944687579788,0.0021428428213632056
4,all,0.5123369086745587,0.296080304620124
