arch,dose,class,mean_recall_loss,affected_frequency
cnn1d,0.0,Backdoor_Malware,0.014078674948240166,0.0
cnn1d,0.0,BenignTraffic,0.021395410974917352,0.2
cnn1d,0.0,BrowserHijacking,0.00759493670886076,0.0
cnn1d,0.0,CommandInjection,0.03584672435105067,0.0
cnn1d,0.0,DDoS-ACK_Fragmentation,-0.035574285905411715,0.0
cnn1d,0.0,DDoS-HTTP_Flood,0.015096087057189168,0.0
cnn1d,0.0,DDoS-ICMP_Flood,8.629191321496421e-05,0.0
cnn1d,0.0,DDoS-ICMP_Fragmentation,-0.000400962309542896,0.0
cnn1d,0.0,DDoS-PSHACK_Flood,-0.00026920687512941297,0.0
cnn1d,0.0,DDoS-RSTFINFlood,5.945656697785573e-05,0.0
cnn1d,0.0,DDoS-SYN_Flood,0.15235817858051387,0.0
cnn1d,0.0,DDoS-SlowLoris,0.02071713147410359,0.0
cnn1d,0.0,DDoS-SynonymousIP_Flood,-0.20951718541702893,0.0
cnn1d,0.0,DDoS-TCP_Flood,-0.1798578751164958,0.0
cnn1d,0.0,DDoS-UDP_Flood,0.1650011054609772,0.6
cnn1d,0.0,DDoS-UDP_Fragmentation,0.0008769874476987737,0.0
cnn1d,0.0,DNS_Spoofing,0.042516551222685696,0.2
cnn1d,0.0,DictionaryBruteForce,-0.0025510204081632625,0.0
cnn1d,0.0,DoS-HTTP_Flood,0.005483540054089353,0.0
cnn1d,0.0,DoS-SYN_Flood,0.013850696687275076,0.0
cnn1d,0.0,DoS-TCP_Flood,0.20487831143657118,0.6
cnn1d,0.0,DoS-UDP_Flood,-0.09937242244934555,0.0
cnn1d,0.0,MITM-ArpSpoofing,-0.009721666363470988,0.0
cnn1d,0.0,Mirai-greeth_flood,-0.008806654218299115,0.0
cnn1d,0.0,Mirai-greip_flood,0.014765508852547637,0.0
cnn1d,0.0,Mirai-udpplain,0.0006722106722106602,0.0
cnn1d,0.0,Recon-HostDiscovery,-0.02656015976035948,0.0
cnn1d,0.0,Recon-OSScan,0.03524697754749568,0.2
cnn1d,0.0,Recon-PingSweep,0.0017647058823529412,0.0
cnn1d,0.0,Recon-PortScan,0.010019107751100775,0.0
cnn1d,0.0,SqlInjection,0.0360864040660737,0.0
cnn1d,0.0,Uploading_Attack,0.018085106382978725,0.0
cnn1d,0.0,VulnerabilityScan,-0.0073888331661651875,0.0
cnn1d,0.0,XSS,0.012478336221837088,0.0
cnn1d,0.2,Backdoor_Malware,0.014078674948240166,0.0
cnn1d,0.2,BenignTraffic,0.017781637219865743,0.0
cnn1d,0.2,BrowserHijacking,0.007364787111622556,0.0
cnn1d,0.2,CommandInjection,0.0338689740420272,0.0
cnn1d,0.2,DDoS-ACK_Fragmentation,-0.035848551742591495,0.0
cnn1d,0.2,DDoS-HTTP_Flood,-0.0007409122482056052,0.0
cnn1d,0.2,DDoS-ICMP_Flood,9.861932938852736e-05,0.0
cnn1d,0.2,DDoS-ICMP_Fragmentation,0.0005012028869286311,0.0
cnn1d,0.2,DDoS-PSHACK_Flood,-0.000289915096293214,0.0
cnn1d,0.2,DDoS-RSTFINFlood,7.1347880373418e-05,0.0
