filters,seed,dose,cell,live_filters,surviving_input_weights,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable
32,0,0.0,f32_conv0dose0_paired,32,96,0.0,0.7999674677848816,0.8000919222831726,0.7954110898661568,3424
32,0,0.5,f32_conv0dose500_paired,30,48,0.5,0.7999674677848816,0.8000919222831726,0.7982791586998088,3376
32,0,0.604,f32_conv0dose604_paired,28,38,0.6041666865348816,0.7999674677848816,0.8000919222831726,0.798876673040153,3366
32,0,0.802,f32_conv0dose802_paired,17,19,0.8020833730697632,0.7999674677848816,0.8000919222831726,0.8000119502868069,3347
32,0,0.896,f32_conv0dose896_paired,10,10,0.8958333730697632,0.7999674677848816,0.8000919222831726,0.8005497131931166,3338
32,1,0.0,f32_conv0dose0_paired,32,96,0.0,0.7999674677848816,0.8000919222831726,0.7954110898661568,3424
32,1,0.5,f32_conv0dose500_paired,28,48,0.5,0.7999674677848816,0.8000919222831726,0.7982791586998088,3376
32,1,0.604,f32_conv0dose604_paired,26,38,0.6041666865348816,0.7999674677848816,0.8000919222831726,0.798876673040153,3366
32,1,0.802,f32_conv0dose802_paired,18,19,0.8020833730697632,0.7999674677848816,0.8000919222831726,0.8000119502868069,3347
32,1,0.896,f32_conv0dose896_paired,10,10,0.8958333730697632,0.7999674677848816,0.8000919222831726,0.8005497131931166,3338
32,2,0.0,f32_conv0dose0_paired,32,96,0.0,0.7999674677848816,0.8000919222831726,0.7954110898661568,3424
32,2,0.5,f32_conv0dose500_paired,29,48,0.5,0.7999674677848816,0.8000919222831726,0.7982791586998088,3376
32,2,0.604,f32_conv0dose604_paired,28,38,0.6041666865348816,0.7999674677848816,0.8000919222831726,0.798876673040153,3366
32,2,0.802,f32_conv0dose802_paired,18,19,0.8020833730697632,0.7999674677848816,0.8000919222831726,0.8000119502868069,3347
32,2,0.896,f32_conv0dose896_paired,10,10,0.8958333730697632,0.7999674677848816,0.8000919222831726,0.8005497131931166,3338
32,3,0.0,f32_conv0dose0_paired,32,96,0.0,0.7999674677848816,0.8000919222831726,0.7954110898661568,3424
32,3,0.5,f32_conv0dose500_paired,31,48,0.5,0.7999674677848816,0.8000919222831726,0.7982791586998088,3376
32,3,0.604,f32_conv0dose604_paired,29,38,0.6041666865348816,0.7999674677848816,0.8000919222831726,0.798876673040153,3366
