filters,first_layer_weights,conv0_sparsity,surviving_input_weights,live_filters,live_fraction,mean_macro_f1,sd_macro_f1,mean_macro_f1_loss,classes_affected_ge3of5
32,96,0.0,96,32.0,1.0,0.5161219758029045,0.020359964350368815,0.020868530888936032,0
32,96,0.5,48,29.6,0.925,0.4817751473463382,0.04372773733363267,0.05521535934550237,3
32,96,0.604,38,27.8,0.86875,0.49027798908004794,0.02610574339830921,0.046712517611792626,2
32,96,0.802,19,18.0,0.5625,0.10070044293059614,0.08031467348834957,0.4362900637612444,21
32,96,0.896,10,9.8,0.30625,0.06454460704923998,0.05159296177809021,0.4724458996426006,20
64,192,0.0,192,,,0.5290766099730393,0.0123660562032994,0.0125451451375758,2
64,192,0.2,154,,,0.5273133281189601,0.0129373057671812,0.014308426991655,1
64,192,0.5,96,,,0.4867079677544398,0.0628813524950906,0.0549137873561753,4
64,192,0.8,38,,,0.2706046247845419,0.1635816431062174,0.2710171303260733,17
64,192,0.9,19,,,0.0738983025059754,0.0963643890111911,0.4677234526046397,25
64,192,0.95,10,,,0.0157397871791337,0.0143430516207573,0.5258819679314815,25
128,384,0.0,384,128.0,1.0,0.53259978465505,0.015190979680038906,0.005034834729578441,0
128,384,0.5,192,115.4,0.9015625,0.5066877873522426,0.014891072653048926,0.030946832032385796,3
128,384,0.75,96,82.0,0.640625,0.43213474206872576,0.07547802011122023,0.10549987731590266,7
128,384,0.901,38,37.6,0.29375,0.21984805268010388,0.0739905998685971,0.31778656670452454,18
128,384,0.951,19,19.0,0.1484375,0.11293486911322241,0.09129458000847716,0.424699750271406,20
