arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,0,0.0,ransomware,0.9487179487179487,0.9487179487179487,0.0,0.8944271909999159,False
cnn1d,0,0.0,mitm,0.14102564102564102,0.12179487179487179,0.019230769230769232,0.4010997374002354,False
cnn1d,0,0.0,backdoor,0.0,0.0,0.0,0.0,False
cnn1d,0,0.0,scanning,0.6661721068249258,0.6661721068249258,0.0,0.0504276457833781,False
cnn1d,0,0.0,dos,0.621900826446281,0.46384297520661155,0.15805785123966942,0.41015951958200264,False
cnn1d,0,0.0,xss,0.6514111365369947,0.9038901601830663,-0.25247902364607167,0.10316732015730923,False
cnn1d,0,0.0,ddos,0.6963788300835655,0.41448467966573815,0.28189415041782734,0.022512885766056295,True
cnn1d,0,0.0,password,0.044580419580419584,0.6298076923076923,-0.5852272727272727,0.9247344361319573,False
cnn1d,0,0.0,injection,0.6453995970449966,0.5513767629281396,0.09402283411685697,0.7605415653188429,False
cnn1d,0,0.0,normal,0.9540327129159617,0.9540327129159617,0.0,0.005107380224555739,False
cnn1d,0,0.5,ransomware,0.9487179487179487,0.0,0.9487179487179487,0.8944271909999159,True
cnn1d,0,0.5,mitm,0.14102564102564102,0.0,0.14102564102564102,0.4010997374002354,False
cnn1d,0,0.5,backdoor,0.0,0.0,0.0,0.0,False
cnn1d,0,0.5,scanning,0.6661721068249258,0.0,0.6661721068249258,0.0504276457833781,True
cnn1d,0,0.5,dos,0.621900826446281,0.7117768595041323,-0.0898760330578513,0.41015951958200264,False
cnn1d,0,0.5,xss,0.6514111365369947,0.5110602593440122,0.14035087719298245,0.10316732015730923,True
cnn1d,0,0.5,ddos,0.6963788300835655,0.7481894150417827,-0.05181058495821722,0.022512885766056295,False
cnn1d,0,0.5,password,0.044580419580419584,0.9020979020979021,-0.8575174825174825,0.9247344361319573,False
cnn1d,0,0.5,injection,0.6453995970449966,0.0,0.6453995970449966,0.7605415653188429,False
cnn1d,0,0.5,normal,0.9540327129159617,0.9540327129159617,0.0,0.005107380224555739,False
cnn1d,0,0.8,ransomware,0.9487179487179487,0.0,0.9487179487179487,0.8944271909999159,True
cnn1d,0,0.8,mitm,0.14102564102564102,0.0,0.14102564102564102,0.4010997374002354,False
cnn1d,0,0.8,backdoor,0.0,0.0,0.0,0.0,False
cnn1d,0,0.8,scanning,0.6661721068249258,0.0,0.6661721068249258,0.0504276457833781,True
cnn1d,0,0.8,dos,0.621900826446281,0.5537190082644629,0.06818181818181812,0.41015951958200264,False
cnn1d,0,0.8,xss,0.6514111365369947,0.5148741418764302,0.13653699466056446,0.10316732015730923,True
cnn1d,0,0.8,ddos,0.6963788300835655,0.7136490250696379,-0.017270194986072407,0.022512885766056295,False
cnn1d,0,0.8,password,0.044580419580419584,0.0,0.044580419580419584,0.9247344361319573,False
