arch,cell,seed,family,note,test_macro_f1,macro_f1_loss,surviving_input_weights,live_channels,rep1_dim,rep1_participation_ratio,rep1_rank99,rep1_numerical_rank,penult_participation_ratio,penult_rank99,penult_numerical_rank
cnn1d,layerwise80_protect_conv0_paired,0,input_dose,dose 0.0,0.5079623144903997,0.03717619999113353,192,64,2496,8.31782648615287,47,502,9.228375197124546,78,128
cnn1d,conv0dose20_paired,0,input_dose,dose 0.2,0.5044119222530038,0.04072659222852948,154,63,2496,8.057313038519146,44,467,9.146780297178339,76,128
cnn1d,conv0dose50_paired,0,input_dose,dose 0.5,0.5039871603796965,0.04115135410183679,96,59,2496,6.4498934896721165,40,355,8.323315143589857,68,125
cnn1d,prune80_paired,0,input_dose,dose 0.8,0.3376755048307554,0.20746300965077785,38,37,2496,6.067848130487203,35,207,7.522023256894118,50,128
cnn1d,conv0dose90_paired,0,input_dose,dose 0.9,0.045108885519224,0.5000296289623093,19,19,2496,4.665319409765755,33,154,4.874789661936103,34,120
cnn1d,conv0dose95_paired,0,input_dose,dose 0.95,0.0056150949419085,0.5395234195396248,10,10,2496,4.452695716877366,34,134,4.4690542835557485,22,94
cnn1d,layerwise80_protect_conv0_paired,1,input_dose,dose 0.0,0.5285889817388496,0.020808361307677825,192,64,2496,8.87459444412473,49,545,9.634081315255893,80,128
cnn1d,conv0dose20_paired,1,input_dose,dose 0.2,0.530919048712847,0.018478294333680423,154,63,2496,8.849646134575984,48,523,8.771787799504839,78,128
cnn1d,conv0dose50_paired,1,input_dose,dose 0.5,0.5154193795028575,0.03397796354366989,96,58,2496,6.769580348812118,43,385,8.265257504203564,68,128
cnn1d,prune80_paired,1,input_dose,dose 0.8,0.4051931077589989,0.14420423528752851,38,34,2496,4.976706792900762,33,207,6.227591447856655,48,123
cnn1d,conv0dose90_paired,1,input_dose,dose 0.9,0.0004196692377532,0.5489776738087743,19,19,2496,6.634548496996266,33,143,3.976787145059695,24,116
cnn1d,conv0dose95_paired,1,input_dose,dose 0.95,0.038577509752395,0.5108198332941324,10,10,2496,3.544067215980283,31,141,3.183569443255035,18,95
cnn1d,layerwise80_protect_conv0_paired,2,input_dose,dose 0.0,0.5387216509337143,-0.0026678415364108643,192,64,2496,8.871639764015232,45,512,8.584905320308819,79,128
cnn1d,conv0dose20_paired,2,input_dose,dose 0.2,0.5345988829797957,0.0014549264175076626,154,64,2496,8.621459741346445,44,469,8.418793286564759,74,128
cnn1d,conv0dose50_paired,2,input_dose,dose 0.5,0.5275355215911591,0.008518287806144276,96,59,2496,7.594706036542921,40,386,9.177481428699496,73,128
cnn1d,prune80_paired,2,input_dose,dose 0.8,0.0090404253538516,0.5270133840434518,38,34,2496,4.2022322146554405,36,237,6.124895470704142,48,128
cnn1d,conv0dose90_paired,2,input_dose,dose 0.9,0.0376050221706246,0.4984487872266788,19,19,2496,3.297822139994151,31,145,5.76859494208478,34,123
cnn1d,conv0dose95_paired,2,input_dose,dose 0.95,0.0023475759423936,0.5337062334549098,10,10,2496,3.230003736344456,32,141,4.60162465994887,26,105
cnn1d,layerwise80_protect_conv0_paired,3,input_dose,dose 0.0,0.5343081272203152,0.006310676485871358,192,64,2496,10.459222497504273,47,543,10.259357836950539,80,126
cnn1d,conv0dose20_paired,3,input_dose,dose 0.2,0.5351648743748533,0.005453929331333263,154,64,2496,10.428617853421716,46,513,9.52943648996576,78,126
cnn1d,conv0dose50_paired,3,input_dose,dose 0.5,0.3752630273176379,0.16535577638854865,96,58,2496,8.55862807725241,42,405,8.462603848315979,71,128
cnn1d,prune80_paired,3,input_dose,dose 0.8,0.3848574819246689,0.15576132178151764,38,33,2496,6.555899750068619,37,250,8.159657190086792,52,122
cnn1d,conv0dose90_paired,3,input_dose,dose 0.9,0.2431780138856299,0.29744078982055666,19,18,2496,5.266686630294265,36,202,6.799983343898103,39,112
cnn1d,conv0dose95_paired,3,input_dose,dose 0.95,0.0129777982903706,0.5276410054158159,10,10,2496,5.742082032926025,35,156,4.753542947812172,18,82
cnn1d,layerwise80_protect_conv0_paired,4,input_dose,dose 0.0,0.5358019754819177,0.001098329439607304,192,64,2496,10.315100737337957,46,529,9.072831720690848,80,128
cnn1d,conv0dose20_paired,4,input_dose,dose 0.2,0.5314719122743004,0.005428392647224611,154,64,2496,10.260667890915894,45,507,8.721943271245744,77,128
