arch,cell,seed,family,note,test_macro_f1,macro_f1_loss,surviving_input_weights,live_channels,rep1_dim,rep1_participation_ratio,rep1_rank99,rep1_numerical_rank,penult_participation_ratio,penult_rank99,penult_numerical_rank
cnn1d,conv0dose50_paired,4,input_dose,dose 0.5,0.5113347499808477,0.02556555494067725,96,58,2496,9.404077519853725,40,388,8.828003555624626,69,127
cnn1d,prune80_paired,4,input_dose,dose 0.8,0.2162566040544346,0.3206437008670904,38,35,2496,6.625632301246865,34,208,6.80815235879586,46,128
cnn1d,conv0dose90_paired,4,input_dose,dose 0.9,0.0431799217166453,0.49372038320487965,19,18,2496,4.214984417977465,32,177,4.391120102164514,34,117
cnn1d,conv0dose95_paired,4,input_dose,dose 0.95,0.0191809569686008,0.5177193479529242,10,10,2496,2.8659451763082706,29,157,4.367317351222598,26,105
mlp,inputdose8000_mlp_paired,0,input_dose,dose 0.8,0.5456095702559246,0.018570662814807903,1997,256,256,12.538533119867655,89,256,17.355264642849395,94,128
mlp,inputdose9000_mlp_paired,0,input_dose,dose 0.9,0.5382087625303374,0.02597147054039506,998,256,256,10.881648121286938,79,247,16.75360709377227,93,127
mlp,inputdose9808_mlp_paired,0,input_dose,dose 0.9808,0.492478770509727,0.07170146256100551,192,143,256,11.132410362114774,40,95,17.204173835243317,79,115
mlp,inputdose9904_mlp_paired,0,input_dose,dose 0.9904,0.303752975493006,0.2604272575777265,96,81,256,9.149071558300246,23,46,12.24420038296407,59,100
mlp,inputdose9962_mlp_paired,0,input_dose,dose 0.9962,0.335600421033816,0.22857981203691652,38,37,256,6.73262882223765,13,18,11.214893475031712,40,78
mlp,inputdose8000_mlp_paired,1,input_dose,dose 0.8,0.5448250414066804,-0.0035098276693850128,1997,256,256,12.962529314485275,88,255,17.57838927984593,95,128
mlp,inputdose9000_mlp_paired,1,input_dose,dose 0.9,0.5519405501881852,-0.01062533645088981,998,254,256,11.29381034380789,77,240,16.91373405394542,95,127
mlp,inputdose9808_mlp_paired,1,input_dose,dose 0.9808,0.507543382836468,0.03377183090082736,192,139,256,7.2128275607182974,36,89,12.62171317332609,76,119
mlp,inputdose9904_mlp_paired,1,input_dose,dose 0.9904,0.4243442076320091,0.11697100610528632,96,83,256,8.044652744079386,26,49,11.227822332374,60,105
mlp,inputdose9962_mlp_paired,1,input_dose,dose 0.9962,0.2472648919688416,0.2940503217684538,38,36,256,6.999316746344388,15,22,8.505653543955088,36,80
mlp,inputdose8000_mlp_paired,2,input_dose,dose 0.8,0.5380794045377163,-0.003084083389597758,1997,256,256,11.651327529680918,88,256,17.240571511643143,94,128
mlp,inputdose9000_mlp_paired,2,input_dose,dose 0.9,0.5577526297469064,-0.022757308598787884,998,254,256,11.226106882651084,80,248,16.45122661907616,93,128
mlp,inputdose9808_mlp_paired,2,input_dose,dose 0.9808,0.4851147080732069,0.04988061307491165,192,140,256,9.254364580922072,39,89,16.619538345308854,83,123
mlp,inputdose9904_mlp_paired,2,input_dose,dose 0.9904,0.3950181190028637,0.13997720214525483,96,81,256,8.955852104835788,26,53,14.752629799434638,64,108
mlp,inputdose9962_mlp_paired,2,input_dose,dose 0.9962,0.2250702179533935,0.30992510319472505,38,35,256,4.85965747590964,12,22,7.424492873616622,31,76
mlp,inputdose8000_mlp_paired,3,input_dose,dose 0.8,0.554578029822953,0.01459523303851451,1997,256,256,12.306038671805883,89,254,16.197326646387356,92,128
mlp,inputdose9000_mlp_paired,3,input_dose,dose 0.9,0.5438987871391697,0.025274475722297796,998,255,256,11.292824658396611,77,245,14.448670961939857,88,126
mlp,inputdose9808_mlp_paired,3,input_dose,dose 0.9808,0.5170903770101183,0.05208288585134924,192,137,256,8.80092047483321,37,92,14.44863781384156,76,115
mlp,inputdose9904_mlp_paired,3,input_dose,dose 0.9904,0.442819083335262,0.12635417952620553,96,80,256,7.046716829596874,24,46,11.304503931545257,54,98
mlp,inputdose9962_mlp_paired,3,input_dose,dose 0.9962,0.2027958578487443,0.3663774050127232,38,35,256,4.680072464518071,10,20,3.9626116384058343,23,65
mlp,inputdose8000_mlp_paired,4,input_dose,dose 0.8,0.5442480445223669,0.01085094961417754,1997,256,256,12.32868477249004,85,256,17.89723860220866,95,128
mlp,inputdose9000_mlp_paired,4,input_dose,dose 0.9,0.5413584119325198,0.013740582204024632,998,255,256,10.751019539747679,72,247,17.488613558176002,93,128
mlp,inputdose9808_mlp_paired,4,input_dose,dose 0.9808,0.4709561431068331,0.08414285102971131,192,143,256,9.547488011377803,40,105,12.63406486381647,82,126
mlp,inputdose9904_mlp_paired,4,input_dose,dose 0.9904,0.3106795604960483,0.24441943364049612,96,79,256,9.065062462955963,26,52,7.095919164192829,61,118
mlp,inputdose9962_mlp_paired,4,input_dose,dose 0.9962,0.1377338992290453,0.41736509490749907,38,32,256,5.00790870655563,12,23,6.464155692937119,34,92
cnn1d,tapspread38_paired,0,tap_mask,"<bound method Series.mode of seed                       0
cell             tapspread38
taps                      38
mode                  spread
test_macro_f1        0.08389
Name: 1, dtype: object> 38",0.0838900104841189,0.46124850399741435,38,38,2496,6.323146373951283,34,186,6.545476852233854,43,126
cnn1d,tapconc38_paired,0,tap_mask,"<bound method Series.mode of seed                        0
cell                tapconc38
taps                       38
mode             concentrated
test_macro_f1        0.180592
Name: 2, dtype: object> 38",0.1805923905639853,0.364546123917548,38,13,2496,9.859711929841747,45,354,4.839668646745991,37,118
cnn1d,tapspread96_paired,0,tap_mask,"<bound method Series.mode of seed                       0
cell             tapspread96
taps                      96
mode                  spread
test_macro_f1       0.511428
Name: 3, dtype: object> 96",0.5114280363258548,0.033710478155678514,96,64,2496,6.0526857459413295,40,358,8.778376006183219,72,126
cnn1d,tapconc96_paired,0,tap_mask,"<bound method Series.mode of seed                        0
cell                tapconc96
taps                       96
mode             concentrated
test_macro_f1         0.42828
Name: 4, dtype: object> 96",0.4282803420363945,0.1168581724451388,96,32,2496,9.540704329026385,47,467,9.027363793416354,61,126
cnn1d,tapspread38_paired,1,tap_mask,"<bound method Series.mode of seed                       1
cell             tapspread38
taps                      38
mode                  spread
test_macro_f1       0.360335
Name: 6, dtype: object> 38",0.3603351560870152,0.1890621869595122,38,38,2496,4.907382186558817,34,188,7.947751930340397,52,122
cnn1d,tapconc38_paired,1,tap_mask,"<bound method Series.mode of seed                        1
cell                tapconc38
taps                       38
mode             concentrated
test_macro_f1        0.035543
Name: 7, dtype: object> 38",0.0355431721623466,0.5138541708841808,38,13,2496,11.303743395884677,45,352,5.368989986010848,35,115
cnn1d,tapspread96_paired,1,tap_mask,"<bound method Series.mode of seed                       1
cell             tapspread96
taps                      96
mode                  spread
test_macro_f1       0.523594
Name: 8, dtype: object> 96",0.5235939798611323,0.025803363185395112,96,64,2496,7.704168441302092,42,381,9.263549256055478,73,128
cnn1d,tapconc96_paired,1,tap_mask,"<bound method Series.mode of seed                        1
cell                tapconc96
taps                       96
mode             concentrated
test_macro_f1         0.23301
Name: 9, dtype: object> 96",0.2330098501751395,0.3163874928713879,96,32,2496,9.975038123691911,48,475,7.544530078984912,56,125
cnn1d,tapspread38_paired,2,tap_mask,"<bound method Series.mode of seed                       2
cell             tapspread38
taps                      38
mode                  spread
test_macro_f1       0.394122
Name: 11, dtype: object> 38",0.3941217423697375,0.1419320670275659,38,38,2496,4.161252794207008,35,190,7.761446930528766,57,126
cnn1d,tapconc38_paired,2,tap_mask,"<bound method Series.mode of seed                        2
cell                tapconc38
taps                       38
mode             concentrated
test_macro_f1        0.047973
Name: 12, dtype: object> 38",0.0479727938614621,0.4880810155358413,38,13,2496,12.6405532808324,44,353,5.867013334507359,42,117
cnn1d,tapspread96_paired,2,tap_mask,"<bound method Series.mode of seed                       2
cell             tapspread96
taps                      96
mode                  spread
test_macro_f1       0.528993
Name: 13, dtype: object> 96",0.5289934065987341,0.007060402798569343,96,64,2496,6.945629181144413,38,354,8.859181780321927,77,128
cnn1d,tapconc96_paired,2,tap_mask,"<bound method Series.mode of seed                        2
cell                tapconc96
taps                       96
mode             concentrated
test_macro_f1        0.327658
Name: 14, dtype: object> 96",0.3276583447550993,0.2083954646422041,96,32,2496,9.509667317494598,48,487,8.57064013546544,65,128
cnn1d,tapspread38_paired,3,tap_mask,"<bound method Series.mode of seed                       3
cell             tapspread38
taps                      38
mode                  spread
test_macro_f1       0.152066
Name: 16, dtype: object> 38",0.1520656363582029,0.3885531673479836,38,38,2496,7.307228288199715,37,204,7.302314468837218,55,127
cnn1d,tapconc38_paired,3,tap_mask,"<bound method Series.mode of seed                        3
cell                tapconc38
taps                       38
mode             concentrated
test_macro_f1        0.041646
Name: 17, dtype: object> 38",0.0416457543624122,0.49897304934377434,38,13,2496,8.397104782035033,48,346,4.353267048817344,35,119
cnn1d,tapspread96_paired,3,tap_mask,"<bound method Series.mode of seed                       3
cell             tapspread96
taps                      96
mode                  spread
test_macro_f1       0.528231
Name: 18, dtype: object> 96",0.5282306833336252,0.012388120372561318,96,64,2496,8.587570967848285,41,390,8.657274960296158,72,126
cnn1d,tapconc96_paired,3,tap_mask,"<bound method Series.mode of seed                        3
cell                tapconc96
taps                       96
mode             concentrated
test_macro_f1        0.402199
Name: 19, dtype: object> 96",0.4021986132865143,0.13842019041967224,96,32,2496,9.646953291479266,47,470,8.05779621865221,66,127
cnn1d,tapspread38_paired,4,tap_mask,"<bound method Series.mode of seed                       4
cell             tapspread38
taps                      38
mode                  spread
test_macro_f1       0.135655
Name: 21, dtype: object> 38",0.1356551811105848,0.40124512381094013,38,38,2496,6.916022257089969,33,184,7.178871295716559,45,128
cnn1d,tapconc38_paired,4,tap_mask,"<bound method Series.mode of seed                        4
cell                tapconc38
taps                       38
mode             concentrated
test_macro_f1        0.029129
Name: 22, dtype: object> 38",0.0291291344339304,0.5077711704875946,38,13,2496,9.382808852661652,45,320,4.808201280343143,33,121
cnn1d,tapspread96_paired,4,tap_mask,"<bound method Series.mode of seed                       4
cell             tapspread96
taps                      96
mode                  spread
test_macro_f1       0.523742
Name: 23, dtype: object> 96",0.5237417689527376,0.013158535968787355,96,64,2496,9.522165363668485,40,380,8.332685829710059,74,127
cnn1d,tapconc96_paired,4,tap_mask,"<bound method Series.mode of seed                        4
cell                tapconc96
taps                       96
mode             concentrated
test_macro_f1        0.255259
Name: 24, dtype: object> 96",0.2552585222383365,0.28164178268318846,96,32,2496,11.031286534658197,44,473,8.049923802503482,59,125
cnn1d,gradual_perlayer80_paired,0,gradual,gradual_perlayer80,0.4443797120265484,0.10075880245498486,38,35,2496,5.168593266530197,35,222,8.358039261915897,61,127
cnn1d,gradual_global80_paired,0,gradual,gradual_global80,0.534681345644876,0.01045716883665726,134,63,2496,7.018119422599393,42,420,11.113655501212103,79,128
cnn1d,gradual_perlayer80_paired,1,gradual,gradual_perlayer80,0.377619908936022,0.17177743411050544,38,33,2496,4.013300730269183,33,215,9.513627155327047,56,125
cnn1d,gradual_global80_paired,1,gradual,gradual_global80,0.5329172054216926,0.0164801376248348,115,60,2496,7.193371477488568,44,417,10.383499330698651,77,125
cnn1d,gradual_perlayer80_paired,2,gradual,gradual_perlayer80,0.4121890639044632,0.12386474549284021,38,34,2496,4.02558592812418,35,228,8.552399104218662,62,125
cnn1d,gradual_global80_paired,2,gradual,gradual_global80,0.5357363464468187,0.00031746295048473705,143,64,2496,7.943395928909052,45,462,10.512628162170177,75,128
cnn1d,gradual_perlayer80_paired,3,gradual,gradual_perlayer80,0.3892776763727592,0.15134112733342736,38,34,2496,5.142372721742795,36,227,8.204228812289541,59,121
cnn1d,gradual_global80_paired,3,gradual,gradual_global80,0.5363463476286077,0.004272456077578868,136,62,2496,9.938068723513032,46,498,11.152681197523172,82,127
cnn1d,gradual_perlayer80_paired,4,gradual,gradual_perlayer80,0.259539479177453,0.27736082574407195,38,34,2496,5.611596623424542,35,231,8.085781783634607,55,123
cnn1d,gradual_global80_paired,4,gradual,gradual_global80,0.4214951841259469,0.11540512079557808,134,63,2496,9.236997904323502,44,457,9.071398687608442,74,125
cnn1d,global80_paired,0,policy,global80,0.5177090787771266,0.0274294357044067,133,63,2496,6.968619844412376,42,415,10.481417830671287,69,128
cnn1d,global80_paired,1,policy,global80,0.5273498882724204,0.022047454774107078,118,61,2496,7.504238228412638,44,425,8.467939453866984,64,125
cnn1d,global80_paired,2,policy,global80,0.5302957833778124,0.005758026019491047,145,64,2496,8.475527760682434,44,464,9.319462639097683,72,127
cnn1d,global80_paired,3,policy,global80,0.5262196666520618,0.014399137054124767,143,62,2496,10.305446078423167,46,509,10.244930312398548,72,127
cnn1d,global80_paired,4,policy,global80,0.5353917549225873,0.0015085499989376805,140,64,2496,10.24158879963189,45,499,10.393157135520054,74,127
mlp,grid96_K96_F1_mlp_paired,0,grid,K96 F1 T96,0.0547272377607559,0.5094529953099766,96,96,256,1.3072548134141055,2,14,2.6331155899782117,6,23
mlp,grid96_K32_F3_mlp_paired,0,grid,K32 F3 T96,0.1391694413604175,0.425010791710315,96,32,256,3.2552938589771756,8,30,5.4074377951941885,15,40
mlp,grid96_K12_F8_mlp_paired,0,grid,K12 F8 T96,0.2705201688384953,0.29366006423223723,96,12,256,5.3674970580379,11,12,5.7757951389910325,17,31
mlp,grid96_K8_F12_mlp_paired,0,grid,K8 F12 T96,0.320971877866444,0.24320835520428852,96,8,256,3.9654472304185715,8,8,5.239675103727931,14,27
mlp,grid96_K3_F32_mlp_paired,0,grid,K3 F32 T96,0.0034382604003697,0.5607419726703629,96,3,256,2.372522506542534,3,3,1.6066243306850223,4,9
mlp,grid192_K192_F1_mlp_paired,0,grid,K192 F1 T192,0.0708392402479869,0.49334099282274557,192,192,256,1.2032082989303898,2,13,2.381154617031514,6,26
mlp,grid192_K64_F3_mlp_paired,0,grid,K64 F3 T192,0.1294335229715116,0.43474671009922095,192,64,256,3.413178893501947,9,49,5.815058651945907,19,58
mlp,grid192_K24_F8_mlp_paired,0,grid,K24 F8 T192,0.2342883569113579,0.3298918761593746,192,24,256,6.115259744288892,15,24,2.771173788188518,24,55
mlp,grid192_K16_F12_mlp_paired,0,grid,K16 F12 T192,0.3594097242827155,0.204770508788017,192,16,256,5.4638478917557665,13,16,1.1565544343940044,9,37
mlp,grid192_K6_F32_mlp_paired,0,grid,K6 F32 T192,0.2452436380595876,0.3189365950111449,192,6,256,4.727090237459226,6,6,4.591321589601042,10,17
mlp,grid96_K96_F1_mlp_paired,1,grid,K96 F1 T96,0.0332855528811281,0.5080296608561673,96,96,256,1.6737837590491496,4,26,3.0792999883159804,8,39
mlp,grid96_K32_F3_mlp_paired,1,grid,K32 F3 T96,0.0866844339411036,0.4546307797961918,96,32,256,4.208404124983602,10,30,5.907229190303171,21,60
mlp,grid96_K12_F8_mlp_paired,1,grid,K12 F8 T96,0.2656173188922303,0.27569789484506513,96,12,256,4.8377858488684815,10,12,5.607396948959719,18,37
mlp,grid96_K8_F12_mlp_paired,1,grid,K8 F12 T96,0.0468686390991488,0.4944465746381466,96,8,256,4.354383332093459,8,8,5.1879395260248655,13,22
mlp,grid96_K3_F32_mlp_paired,1,grid,K3 F32 T96,0.0030397287645269,0.5382754849727686,96,3,256,2.34614366892207,3,3,3.5845560193249457,7,13
mlp,grid192_K192_F1_mlp_paired,1,grid,K192 F1 T192,0.059376372096671,0.4819388416406244,192,192,256,1.8000660189096376,5,32,2.684267075884359,10,47
mlp,grid192_K64_F3_mlp_paired,1,grid,K64 F3 T192,0.1286652866021592,0.4126499271351362,192,64,256,3.9680922976172193,13,58,6.379038762470672,27,79
mlp,grid192_K24_F8_mlp_paired,1,grid,K24 F8 T192,0.40123038084904,0.1400848328882554,192,24,256,6.46467976684898,16,24,8.828488367211266,32,56
mlp,grid192_K16_F12_mlp_paired,1,grid,K16 F12 T192,0.1378174809718064,0.403497732765489,192,16,256,6.141744338605009,13,16,5.075567394947185,23,48
mlp,grid192_K6_F32_mlp_paired,1,grid,K6 F32 T192,0.0250554452096826,0.5162597685276128,192,6,256,3.653688618905646,6,6,4.7576356139990645,13,23
mlp,grid96_K96_F1_mlp_paired,2,grid,K96 F1 T96,0.0441517938362035,0.49084352731191505,96,96,256,1.9142845317141672,5,26,2.701080246210572,9,49
mlp,grid96_K32_F3_mlp_paired,2,grid,K32 F3 T96,0.0806217432438757,0.4543735779042428,96,32,256,3.8541264829839252,10,31,5.240937627311414,19,71
mlp,grid96_K12_F8_mlp_paired,2,grid,K12 F8 T96,0.1525253508605621,0.38246997028755647,96,12,256,4.665895880865606,9,12,6.266678114042914,22,48
mlp,grid96_K8_F12_mlp_paired,2,grid,K8 F12 T96,0.0989266676684445,0.43606865347967405,96,8,256,4.111391779157433,7,8,2.8257920442217235,16,36
mlp,grid96_K3_F32_mlp_paired,2,grid,K3 F32 T96,0.0016876566184662,0.5333076645296524,96,3,256,2.3723895168782416,3,3,2.2002351920593375,8,17
mlp,grid192_K192_F1_mlp_paired,2,grid,K192 F1 T192,0.0708237160315942,0.46417160511652433,192,192,256,1.7927920977053025,5,33,2.4239203179153215,10,55
mlp,grid192_K64_F3_mlp_paired,2,grid,K64 F3 T192,0.1439624289321531,0.39103289221596543,192,64,256,3.368906963998805,10,50,3.5580300900120254,20,83
mlp,grid192_K24_F8_mlp_paired,2,grid,K24 F8 T192,0.1731451675282699,0.3618501536198486,192,24,256,5.402213541729401,16,24,8.249150144488993,32,67
mlp,grid192_K16_F12_mlp_paired,2,grid,K16 F12 T192,0.0302193103202085,0.50477601082791,192,16,256,5.7734206465747295,14,16,5.333194958392462,25,57
mlp,grid192_K6_F32_mlp_paired,2,grid,K6 F32 T192,0.0043458103470877,0.5306495108010308,192,6,256,3.9931520940038543,6,6,1.5279557769577636,10,24
mlp,grid96_K96_F1_mlp_paired,3,grid,K96 F1 T96,0.0044499913790588,0.5647232714824088,96,96,256,1.4458636866634031,3,4,1.758356026574394,5,7
mlp,grid96_K32_F3_mlp_paired,3,grid,K32 F3 T96,0.079308873488679,0.48986438937278853,96,32,256,2.2641209343645787,5,22,4.299059395076233,9,27
mlp,grid96_K12_F8_mlp_paired,3,grid,K12 F8 T96,0.2115000440262419,0.3576732188352256,96,12,256,2.900143604844981,10,12,6.5155209627378445,22,39
mlp,grid96_K8_F12_mlp_paired,3,grid,K8 F12 T96,0.0968935471863516,0.47227971567511595,96,8,256,4.222527896024342,7,8,4.053190085039649,16,36
mlp,grid96_K3_F32_mlp_paired,3,grid,K3 F32 T96,0.0487797828283607,0.5203934800331068,96,3,256,2.7931161575424355,3,3,2.8462069644723225,7,13
mlp,grid192_K192_F1_mlp_paired,3,grid,K192 F1 T192,0.0083856001289354,0.5607876627325321,192,192,256,1.055340790856051,2,3,1.2195211086860545,3,6
mlp,grid192_K64_F3_mlp_paired,3,grid,K64 F3 T192,0.0738895384555693,0.49528372440589824,192,64,256,2.1686357957981026,4,27,3.989052521255392,11,28
mlp,grid192_K24_F8_mlp_paired,3,grid,K24 F8 T192,0.1635967406279057,0.40557652223356183,192,24,256,4.733993925062693,14,24,8.609907326610314,29,50
mlp,grid192_K16_F12_mlp_paired,3,grid,K16 F12 T192,0.3521347015599795,0.21703856130148802,192,16,256,6.68960095509471,13,16,7.889367988987987,30,52
mlp,grid192_K6_F32_mlp_paired,3,grid,K6 F32 T192,0.0589053142516309,0.5102679486098366,192,6,256,4.045385318297132,6,6,1.9618692952445402,11,31
mlp,grid96_K96_F1_mlp_paired,4,grid,K96 F1 T96,0.0878910967688882,0.4672078973676562,96,96,256,1.961959540804692,4,24,2.9836006417605634,10,45
mlp,grid96_K32_F3_mlp_paired,4,grid,K32 F3 T96,0.1860029415103931,0.3690960526261513,96,32,256,3.618067454332103,11,31,6.6955799264430285,27,88
mlp,grid96_K12_F8_mlp_paired,4,grid,K12 F8 T96,0.0999053624192613,0.4551936317172831,96,12,256,4.824502297101519,10,12,6.3766655566748005,22,55
mlp,grid96_K8_F12_mlp_paired,4,grid,K8 F12 T96,0.0289197928273069,0.5261792013092375,96,8,256,4.341819478821727,8,8,3.2308234539983776,14,47
mlp,grid96_K3_F32_mlp_paired,4,grid,K3 F32 T96,0.0301092456997922,0.5249897484367522,96,3,256,2.4405728400996503,3,3,1.585529692151545,4,14
mlp,grid192_K192_F1_mlp_paired,4,grid,K192 F1 T192,0.1359226550638982,0.4191763390726462,192,192,256,1.960652586327312,4,30,4.262963823694165,13,62
mlp,grid192_K64_F3_mlp_paired,4,grid,K64 F3 T192,0.2238720093528621,0.3312269847836823,192,64,256,3.9735675541458497,13,61,4.901129862897473,32,95
mlp,grid192_K24_F8_mlp_paired,4,grid,K24 F8 T192,0.1947161492360813,0.36038284490046313,192,24,256,6.266669254555566,17,24,9.108302368154687,35,88
mlp,grid192_K16_F12_mlp_paired,4,grid,K16 F12 T192,0.2248531904457109,0.3302458036908335,192,16,256,6.378352023460019,13,16,3.5662128461855698,26,68
mlp,grid192_K6_F32_mlp_paired,4,grid,K6 F32 T192,0.0309532105797682,0.5241457835567762,192,6,256,4.284218882049177,6,6,1.4492152398088174,8,40
mlp,prune50_mlp_paired,0,capacity,prune50,0.5523778580961074,0.011802374974625107,4992,256,256,12.430208616776161,99,256,18.859137527218515,95,127
mlp,prune80_mlp_paired,0,capacity,prune80,0.5456095702559246,0.018570662814807903,1997,256,256,12.538533119867655,89,256,17.355264642849395,94,128
mlp,prune90_mlp_paired,0,capacity,prune90,0.5344089793464429,0.02977125372428957,998,256,256,11.376852286725196,80,248,16.996002272002983,91,127
mlp,prune95_mlp_paired,0,capacity,prune95,0.526838314595237,0.037341918475495506,499,228,256,10.601012840933453,59,178,13.56104236190283,76,115
mlp,prune50_mlp_paired,1,capacity,prune50,0.5366885081208616,0.004626705616433857,4992,256,256,13.627256521293173,102,256,17.42062191332554,96,128
mlp,prune80_mlp_paired,1,capacity,prune80,0.5448250414066804,-0.0035098276693850128,1997,256,256,12.962529314485275,88,255,17.57838927984593,95,128
mlp,prune90_mlp_paired,1,capacity,prune90,0.5352878316197565,0.006027382117538949,998,254,256,10.952128501393624,76,239,14.881703294962746,90,125
mlp,prune95_mlp_paired,1,capacity,prune95,0.5222622305801085,0.019052983157186953,499,224,256,10.217629449784633,59,176,12.93468748004322,79,118
mlp,prune50_mlp_paired,2,capacity,prune50,0.5507596022236215,-0.015764281075502984,4992,256,256,13.570518978741081,100,256,18.075572961776324,96,128
mlp,prune80_mlp_paired,2,capacity,prune80,0.5380794045377163,-0.003084083389597758,1997,256,256,11.651327529680918,88,256,17.240571511643143,94,128
mlp,prune90_mlp_paired,2,capacity,prune90,0.5468108010947451,-0.011815479946626573,998,254,256,11.043783175130207,77,246,15.790713507928029,89,128
mlp,prune95_mlp_paired,2,capacity,prune95,0.5325416953955426,0.0024536257525759053,499,226,256,11.285508718126254,64,188,13.454910468864506,81,121
mlp,prune50_mlp_paired,3,capacity,prune50,0.556388289532488,0.012784973328979543,4992,256,256,13.724651763651542,102,256,18.347540734784644,95,128
mlp,prune80_mlp_paired,3,capacity,prune80,0.554578029822953,0.01459523303851451,1997,256,256,12.306038671805883,89,254,16.197326646387356,92,128
mlp,prune90_mlp_paired,3,capacity,prune90,0.5313584084296089,0.03781485443185861,998,255,256,11.012719905178074,76,245,13.150354603001333,87,127
mlp,prune95_mlp_paired,3,capacity,prune95,0.5393736398619714,0.029799622999496123,499,230,256,9.688270441680507,61,185,11.827181699476416,77,116
