filters,seed,dose,class,recall_loss,material_and_beyond_band
32,0,0.0,Uploading_Attack,0.0,False
32,0,0.0,Recon-PingSweep,0.0,False
32,0,0.0,Backdoor_Malware,0.004140786749482402,False
32,0,0.0,XSS,0.0017331022530329288,False
32,0,0.0,SqlInjection,0.045743329097839895,False
32,0,0.0,CommandInjection,0.046971569839307795,False
32,0,0.0,BrowserHijacking,-0.01380897583429229,False
32,0,0.0,DictionaryBruteForce,0.10510204081632657,True
32,0,0.0,DDoS-SlowLoris,0.030449630051223697,False
32,0,0.0,DDoS-HTTP_Flood,0.11599907385968977,True
32,0,0.0,DoS-HTTP_Flood,-0.005781964002611217,False
32,0,0.0,Recon-PortScan,0.01138157348176455,False
32,0,0.0,Recon-OSScan,0.022936096718480126,False
32,0,0.0,DDoS-ICMP_Flood,0.00018491124260355818,False
32,0,0.0,DDoS-RSTFINFlood,0.060348415482490037,False
32,0,0.0,DDoS-TCP_Flood,0.7269920782851818,True
32,0,0.0,DDoS-SynonymousIP_Flood,0.3901930099113198,True
32,0,0.0,DDoS-UDP_Flood,-0.21838381605129342,False
32,0,0.0,DoS-TCP_Flood,-0.6494723239284945,False
32,0,0.0,DDoS-PSHACK_Flood,0.0013978049285565675,False
32,0,0.0,DDoS-SYN_Flood,0.12159755787331467,False
32,0,0.0,Recon-HostDiscovery,-0.0006490264603096207,False
32,0,0.0,DoS-SYN_Flood,-0.1778167389498939,False
32,0,0.0,DoS-UDP_Flood,0.44302492379415453,True
32,0,0.0,DNS_Spoofing,0.20917683976885693,True
32,0,0.0,MITM-ArpSpoofing,-0.08502819719847189,False
32,0,0.0,Mirai-udpplain,-0.0020097020097019636,False
32,0,0.0,Mirai-greeth_flood,-0.00787642166015956,False
32,0,0.0,Mirai-greip_flood,0.06659683741046085,False
32,0,0.0,DDoS-UDP_Fragmentation,0.004451882845188271,False
32,0,0.0,DDoS-ACK_Fragmentation,-0.006455281289718284,False
32,0,0.0,VulnerabilityScan,0.3476094951521231,True
32,0,0.0,DDoS-ICMP_Fragmentation,0.010024057738572512,False
32,0,0.0,BenignTraffic,0.11589459269897462,False
32,0,0.5,Uploading_Attack,0.0,False
32,0,0.5,Recon-PingSweep,0.0,False
32,0,0.5,Backdoor_Malware,0.004140786749482402,False
32,0,0.5,XSS,0.0017331022530329288,False
32,0,0.5,SqlInjection,0.045743329097839895,False
32,0,0.5,CommandInjection,0.05686032138442522,False
32,0,0.5,BrowserHijacking,0.006904487917146145,False
32,0,0.5,DictionaryBruteForce,0.15663265306122454,True
32,0,0.5,DDoS-SlowLoris,0.024188958451906717,False
32,0,0.5,DDoS-HTTP_Flood,0.2662653391988886,True
32,0,0.5,DoS-HTTP_Flood,0.007460598713046718,False
