arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,0,0.0,Uploading_Attack,0.02127659574468085,0.0,0.02127659574468085,0.02854554864893348,False
cnn1d,0,0.0,Recon-PingSweep,0.0,0.0,0.0,0.0,False
cnn1d,0,0.0,Backdoor_Malware,0.004140786749482402,0.0,0.004140786749482402,0.03750541589535823,False
cnn1d,0,0.0,XSS,0.02772963604852686,0.0,0.02772963604852686,0.014908709301633669,False
cnn1d,0,0.0,SqlInjection,0.04701397712833545,0.0025412960609911056,0.044472681067344345,0.030357587108549838,False
cnn1d,0,0.0,CommandInjection,0.0630407911001236,0.00865265760197775,0.05438813349814585,0.032744446919116224,False
cnn1d,0,0.0,BrowserHijacking,0.019562715765247412,0.0011507479861910242,0.018411967779056387,0.02777429715263441,False
cnn1d,0,0.0,DictionaryBruteForce,0.32755102040816325,0.3448979591836735,-0.017346938775510246,0.050344329023276055,False
cnn1d,0,0.0,DDoS-SlowLoris,0.954183266932271,0.8673875924871941,0.08679567444507685,0.03310488431469255,False
cnn1d,0,0.0,DDoS-HTTP_Flood,0.7960175966658949,0.7568881685575365,0.0391294281083584,0.06283048765589343,False
cnn1d,0,0.0,DoS-HTTP_Flood,0.8669215704560291,0.8831483726569057,-0.016226802200876578,0.03985415067034641,False
cnn1d,0,0.0,Recon-PortScan,0.2467392207360638,0.17346514912353578,0.07327407161252802,0.07985045010637541,False
cnn1d,0,0.0,Recon-OSScan,0.11454231433506044,0.14390328151986184,-0.029360967184801398,0.10326414789120288,False
cnn1d,0,0.0,DDoS-ICMP_Flood,0.997904339250493,0.9978427021696252,6.163708086781572e-05,0.0012315082587516983,False
cnn1d,0,0.0,DDoS-RSTFINFlood,0.9991676080623105,0.9991081514953326,5.945656697792234e-05,0.0010455514158798306,False
cnn1d,0,0.0,DDoS-TCP_Flood,0.6484739049394221,0.9910880708294502,-0.342614165890028,0.23415091411258288,False
cnn1d,0,0.0,DDoS-SynonymousIP_Flood,0.34167970787689095,0.8084970729728164,-0.4668173650959254,0.235929254057588,False
cnn1d,0,0.0,DDoS-UDP_Flood,0.7421512270616847,0.16836170683174884,0.5737895202299359,0.09047640950289787,True
cnn1d,0,0.0,DoS-TCP_Flood,0.41158733577428386,0.03849881542106397,0.3730885203532199,0.2643813212009498,True
cnn1d,0,0.0,DDoS-PSHACK_Flood,0.9983433423068958,0.9984468834127148,-0.000103541105819005,0.11038504026051069,False
cnn1d,0,0.0,DDoS-SYN_Flood,0.5225642330195879,0.15883998982447214,0.36372424319511576,0.5238379149660953,False
cnn1d,0,0.0,Recon-HostDiscovery,0.7047428856714928,0.8228157763354967,-0.11807289066400395,0.05981364338037638,False
cnn1d,0,0.0,DoS-SYN_Flood,0.16439051397988372,0.1754636892128818,-0.011073175232998084,0.1338491875766533,False
cnn1d,0,0.0,DoS-UDP_Flood,0.6823112784651246,0.9790658059888829,-0.2967545275237583,0.013090549202921372,False
cnn1d,0,0.0,DNS_Spoofing,0.612758792239103,0.4111208908958708,0.20163790134323223,0.09199911478240713,True
cnn1d,0,0.0,MITM-ArpSpoofing,0.12505002728761141,0.1282881571766418,-0.0032381298890303833,0.07459414892841161,False
cnn1d,0,0.0,Mirai-udpplain,0.9874220374220374,0.9918225918225918,-0.004400554400554424,0.0030144583209302193,False
cnn1d,0,0.0,Mirai-greeth_flood,0.9728399253097946,0.9910032252588694,-0.01816329994907484,0.015483301867355035,False
cnn1d,0,0.0,Mirai-greip_flood,0.9839167455061495,0.9271185295310177,0.056798215975131794,0.01286645097872988,False
cnn1d,0,0.0,DDoS-UDP_Fragmentation,0.9898242677824268,0.9876150627615062,0.0022092050209205905,0.001461089802842454,False
cnn1d,0,0.0,DDoS-ACK_Fragmentation,0.9651481704461837,0.9757843334002274,-0.010636162954043682,0.0004267613327376908,False
cnn1d,0,0.0,VulnerabilityScan,0.6740220661985958,0.695085255767302,-0.02106318956870612,0.08585360693926365,False
cnn1d,0,0.0,DDoS-ICMP_Fragmentation,0.9721331194867683,0.9707631649291634,0.0013699545576049132,0.0009734754201886736,False
