seed,cell,conv0_sparsity,head_sparsity,test_macro_f1
0,starved_sparsehead,0.8020833730697632,0.8000919222831726,0.3376755048307554
0,protected_sparsehead,0.0,0.8000919222831726,0.5079623144903997
0,starved_densehead,0.8020833730697632,0.0,0.2542260171646171
0,protected_densehead,0.0,0.0,0.5296703516133398
1,starved_sparsehead,0.8020833730697632,0.8000919222831726,0.4051931077589989
1,protected_sparsehead,0.0,0.8000919222831726,0.5285889817388496
1,starved_densehead,0.8020833730697632,0.0,0.47080736423041736
1,protected_densehead,0.0,0.0,0.5443871009694303
2,starved_sparsehead,0.8020833730697632,0.8000919222831726,0.009040425353851637
2,protected_sparsehead,0.0,0.8000919222831726,0.5387216509337143
2,starved_densehead,0.8020833730697632,0.0,0.33452872982743076
2,protected_densehead,0.0,0.0,0.5445325177458082
3,starved_sparsehead,0.8020833730697632,0.8000919222831726,0.3848574819246689
3,protected_sparsehead,0.0,0.8000919222831726,0.5343081272203152
3,starved_densehead,0.8020833730697632,0.0,0.22528116402586174
3,protected_densehead,0.0,0.0,0.5371469135803784
4,starved_sparsehead,0.8020833730697632,0.8000919222831726,0.21625660405443467
4,protected_sparsehead,0.0,0.8000919222831726,0.5358019754819177
4,starved_densehead,0.8020833730697632,0.0,0.29456437502941857
4,protected_densehead,0.0,0.0,0.5419940345019093
