seed,cell,test_macro_f1
0,M0,0.4890224245248246
0,prune90,0.449645402024767
0,prune95,0.43877292306956334
0,prune97,0.3993933092228574
0,prune98p5,0.38863173698670855
1,M0,0.500997756217985
1,prune90,0.46285271633733643
1,prune95,0.4254539033661391
1,prune97,0.4100752902966945
1,prune98p5,0.400670288601359
2,M0,0.4932152709043809
2,prune90,0.4579389750444964
2,prune95,0.4429293343151723
2,prune97,0.4397705868341534
2,prune98p5,0.40839671261097477
3,M0,0.500871127316894
3,prune90,0.4604011459194301
3,prune95,0.443181953652934
3,prune97,0.4303153081536304
3,prune98p5,0.41513793857160836
4,M0,0.4793464364857323
4,prune90,0.4609777351603079
4,prune95,0.43541010084803894
4,prune97,0.4332028272594992
4,prune98p5,0.370375185356472
