cell,n,fine_accuracy,fine_macro_f1,family_accuracy,binary_attack_precision,binary_attack_recall,binary_attack_f1,binary_balanced_accuracy,attack_to_benign_rate,benign_to_attack_rate,exact_attack_type_rate,same_family_attack_substitution_rate,cross_family_attack_substitution_rate,same_family_share_of_all_errors,cross_family_share_of_all_errors,tp_attack,fn_attack_to_benign,fp_benign_to_attack,tn_benign
M0,549271,0.7077890513061859,0.5451385144815333,0.7926779312943883,0.9810244205911106,0.9564766140989351,0.9685950090916625,0.8177894242466219,0.04352338590106483,0.32089776560569117,0.7094429360907323,0.08978298962124276,0.15725068838696013,0.29050547341794236,0.5088066889715457,496727,22603,9608,20333
prune50,549271,0.6929530231889177,0.5241778273174461,0.7663539491435011,0.9830084003190649,0.9515664413763888,0.9670319133427066,0.8331360145160558,0.04843355862361119,0.2852944123442771,0.691698919762001,0.07763271908035353,0.18223480253403423,0.23905438417569908,0.5611555154993715,494177,25153,8542,21399
prune80,549271,0.5524012736882158,0.3376755048307554,0.6991448665594943,0.9543982275453543,0.9912175302793984,0.9724594902214517,0.584867640928751,0.008782469720601545,0.8214822484218964,0.5739568289912002,0.15520382030693394,0.26205688098126434,0.3278463146677079,0.5535584271902315,514769,4561,24596,5345
distillation,549271,0.6830508073428235,0.5104485420533624,0.7714024588955178,0.9828888574374735,0.9360657000365856,0.958906028089001,0.8267049050598746,0.0639342999634144,0.28265588991683643,0.6810736911019968,0.09344540080488321,0.1615466081297056,0.27875651239868804,0.48190888673165183,486127,33203,8463,21478
int8,549271,0.7089159995703396,0.5456817278262369,0.7935390726981764,0.9813446192486823,0.9554849517647739,0.9682421522476158,0.8202160071605673,0.04451504823522616,0.31505293744363916,0.7102978838118345,0.08950185816340285,0.1556852097895365,0.29071701983938353,0.5056916264291611,496212,23118,9433,20508
float16,549271,0.7077453570277695,0.5452007612499301,0.7924285097884287,0.9810545154293796,0.956330271696224,0.9685346323807592,0.8180001446988518,0.043669728303776016,0.32032998229852044,0.7093639882155854,0.08956540157510638,0.15740088190553214,0.28975810922773115,0.5092165180935294,496651,22679,9591,20350
