seed,cell,test_macro_f1
0,M0,0.5451385144815333
0,gradual_perlayer80,0.44437971202654847
0,gradual_global80,0.534681345644876
1,M0,0.5493973430465274
1,gradual_perlayer80,0.37761990893602204
1,gradual_global80,0.5329172054216926
2,M0,0.5360538093973034
2,gradual_perlayer80,0.4121890639044632
2,gradual_global80,0.5357363464468187
3,M0,0.5406188037061865
3,gradual_perlayer80,0.38927767637275923
3,gradual_global80,0.5363463476286077
4,M0,0.536900304921525
4,gradual_perlayer80,0.259539479177453
4,gradual_global80,0.42149518412594694
