mapping,attacker_seeds,held_out_seed,recipe,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate
M0_original,"(0, 1, 2)",3,default_layerwise80,0.7061209380144122,0.07734404796485833,0.577319434478298,0.6546634824431563
M0_original,"(0, 1, 2)",4,default_layerwise80,0.46356268330746225,0.003561324679647196,0.3717013762771402,0.37526270095678743
M0_original,"(0, 1, 2)",3,protect_conv0,0.3564203859843868,0.02662013383605154,0.2734232247502752,0.30004335858632675
M0_original,"(0, 1, 2)",4,protect_conv0,0.20903956306195737,0.027822731692507558,0.12389381682476562,0.15171654851727318
M0_original,"(0, 1, 2)",3,global80,0.4666198977623213,0.03319580453994938,0.37899467074843307,0.4121904752883825
M0_original,"(0, 1, 2)",4,global80,0.2540999113298263,0.023579097144329823,0.17353991438157723,0.19711901152590705
M0_original,"(0, 1, 2)",3,dense,0.21269653913432549,0.02259723660181027,0.1381204855445915,0.16071772214640176
M0_original,"(0, 1, 2)",4,dense,0.17721303339684558,0.017196534149008076,0.10899369509094808,0.12619022923995618
M0_original,"(0, 1, 3)",2,default_layerwise80,1.0,0.0,1.0,1.0
M0_original,"(0, 1, 3)",4,default_layerwise80,0.4865821677470147,0.0,0.38296394659244526,0.38296394659244526
M0_original,"(0, 1, 3)",2,protect_conv0,0.4050230900147226,0.0003264011936957941,0.393967998281636,0.39429439947533174
M0_original,"(0, 1, 3)",4,protect_conv0,0.18440307899133845,4.662874195654201e-05,0.17226109468297968,0.17230772342493622
M0_original,"(0, 1, 3)",2,global80,0.469288192017782,0.0,0.4578617625616254,0.4578617625616254
M0_original,"(0, 1, 3)",4,global80,0.24378092041460958,4.662874195654201e-05,0.2341990378229899,0.23424566656494644
M0_original,"(0, 1, 3)",2,dense,0.2118136086992702,9.325748391308402e-05,0.2006444583231541,0.20073771580706717
M0_original,"(0, 1, 3)",4,dense,0.16462134739931228,0.00023314370978271006,0.15235724258649702,0.15259038629627975
M0_original,"(0, 1, 4)",2,default_layerwise80,1.0,0.0,1.0,1.0
M0_original,"(0, 1, 4)",3,default_layerwise80,0.674811153595076,0.0002797724517392521,0.6745313811433368,0.674811153595076
M0_original,"(0, 1, 4)",2,protect_conv0,0.11162920824396158,0.0006528023873915882,0.1045416394665672,0.10519444185395878
M0_original,"(0, 1, 4)",3,protect_conv0,0.16329385433181012,0.0002797724517392521,0.15452765084398024,0.15480742329571948
M0_original,"(0, 1, 4)",2,global80,0.1669308962044204,0.0,0.16394665671920172,0.16394665671920172
M0_original,"(0, 1, 4)",3,global80,0.225310081134011,0.00018651496782616804,0.214212440548354,0.21439895551618018
M0_original,"(0, 1, 4)",2,dense,0.13270539960831856,0.00018651496782616804,0.12813578289657745,0.1283222978644036
M0_original,"(0, 1, 4)",3,dense,0.16301408188007088,9.325748391308402e-05,0.15611302807050265,0.15620628555441574
M0_original,"(0, 2, 3)",1,default_layerwise80,0.7380376133030575,0.2546953838422771,0.45694527805159835,0.7116406618938754
M0_original,"(0, 2, 3)",4,default_layerwise80,0.45359983766907014,0.003053680739462541,0.38335488491154046,0.38640856565100296
M0_original,"(0, 2, 3)",1,protect_conv0,0.2927050482426471,0.035431776213050235,0.1294934480157511,0.16492522422880132
M0_original,"(0, 2, 3)",4,protect_conv0,0.2752596386199918,0.0463348839077221,0.11901963168596544,0.16535451559368752
M0_original,"(0, 2, 3)",1,global80,0.3950153189175178,0.0504338051752535,0.2359467336417834,0.2863805388170369
M0_original,"(0, 2, 3)",4,global80,0.30475923566720625,0.039803644736476296,0.16376444173696936,0.20356808647344563
M0_original,"(0, 2, 3)",1,dense,0.3267816859537219,0.05034903699212863,0.18106861558860518,0.2314176525807338
M0_original,"(0, 2, 3)",4,dense,0.24504670053843058,0.03734154741057738,0.11568006141426555,0.15302160882484295
M0_original,"(0, 2, 4)",1,default_layerwise80,0.40363222264507126,0.000662390287043683,0.3493446187355963,0.35000700902264
M0_original,"(0, 2, 4)",3,default_layerwise80,0.34562546677779243,0.0002122311038283816,0.26109083874752326,0.26130306985135165
M0_original,"(0, 2, 4)",1,protect_conv0,0.15925530912702013,0.00033120472374367917,0.12546208371273734,0.12579328843648102
M0_original,"(0, 2, 4)",3,protect_conv0,0.21993880435763286,0.0002833750992751659,0.12309902629937487,0.12338240139865003
M0_original,"(0, 2, 4)",1,global80,0.2323364699549153,0.0003066894702534369,0.1391380735362932,0.13944476300654662
M0_original,"(0, 2, 4)",3,global80,0.2064990882832764,0.0002600607282968949,0.13221301711164107,0.13247307783993795
M0_original,"(0, 2, 4)",1,dense,0.18683237097361882,0.00037903434821219247,0.13079344172597396,0.13117247607418617
M0_original,"(0, 2, 4)",3,dense,0.3654594954985319,0.0003078903527654082,0.17608143477928284,0.17638932513204827
M0_original,"(0, 3, 4)",1,default_layerwise80,0.9771519164412944,0.0008393173552177563,0.9729553296652056,0.9737946470204234
M0_original,"(0, 3, 4)",2,default_layerwise80,1.0,0.0,1.0,1.0
M0_original,"(0, 3, 4)",1,protect_conv0,0.19201715937704,0.00018651496782616804,0.18418353072834096,0.1843700456961671
M0_original,"(0, 3, 4)",2,protect_conv0,0.11162920824396158,0.0006528023873915882,0.1045416394665672,0.10519444185395878
M0_original,"(0, 3, 4)",1,global80,0.21160123099878766,0.0003730299356523361,0.2026485125431316,0.20302154247878393
M0_original,"(0, 3, 4)",2,global80,0.1669308962044204,0.0,0.16394665671920172,0.16394665671920172
M0_original,"(0, 3, 4)",1,dense,0.12487177095961952,9.325748391308402e-05,0.11246852559917933,0.11256178308309242
M0_original,"(0, 3, 4)",2,dense,0.13270539960831856,0.00018651496782616804,0.12813578289657745,0.1283222978644036
M0_original,"(1, 2, 3)",0,default_layerwise80,0.62820253508283,0.00532891967395048,0.5742673128656358,0.5795962325395863
M0_original,"(1, 2, 3)",4,default_layerwise80,0.5969973250641433,0.000382687229727144,0.2977080080515365,0.29809069528126364
M0_original,"(1, 2, 3)",0,protect_conv0,0.4350283478737854,0.018148941869809806,0.30961982377777136,0.3277687656475811
M0_original,"(1, 2, 3)",4,protect_conv0,0.21672962042927546,0.025491149509319706,0.11543970963769577,0.14093085914701547
M0_original,"(1, 2, 3)",0,global80,0.3264022021973786,0.010705675251616854,0.25524833128398744,0.26595400653560425
M0_original,"(1, 2, 3)",4,global80,0.24806117946053102,0.022142636249207197,0.15407096566509257,0.17621360191429974
M0_original,"(1, 2, 3)",0,dense,0.28120388900610865,0.018974692261455726,0.1989729236939599,0.21794761595541565
M0_original,"(1, 2, 3)",4,dense,0.19911039145967813,0.02456071865371268,0.11312902160689997,0.13768974026061265
