seed,cell,prunable_sparsity,body_sparsity,whole_model_sparsity,prunable_params,body_params,total_params,remaining_nonzero_prunable,remaining_nonzero_total
0,prune50,0.527725883152174,0.5,0.5147649616897908,47104,42752,48290,22246,23432
0,prune80,0.7999957540760869,0.7999859655688623,0.7803478981155518,47104,42752,48290,9421,10607
0,prune90,0.8907736073369565,0.9000046781437125,0.8688962518119694,47104,42752,48290,5145,6331
0,prune95,0.9361625339673914,0.9500140344311377,0.9131704286601781,47104,42752,48290,3007,4193
1,prune50,0.527725883152174,0.5,0.5147649616897908,47104,42752,48290,22246,23432
1,prune80,0.7999957540760869,0.7999859655688623,0.7803478981155518,47104,42752,48290,9421,10607
1,prune90,0.8907736073369565,0.9000046781437125,0.8688962518119694,47104,42752,48290,5145,6331
1,prune95,0.9361625339673914,0.9500140344311377,0.9131704286601781,47104,42752,48290,3007,4193
2,prune50,0.527725883152174,0.5,0.5147649616897908,47104,42752,48290,22246,23432
2,prune80,0.7999957540760869,0.7999859655688623,0.7803478981155518,47104,42752,48290,9421,10607
2,prune90,0.8907736073369565,0.9000046781437125,0.8688962518119694,47104,42752,48290,5145,6331
2,prune95,0.9361625339673914,0.9500140344311377,0.9131704286601781,47104,42752,48290,3007,4193
3,prune50,0.527725883152174,0.5,0.5147649616897908,47104,42752,48290,22246,23432
3,prune80,0.7999957540760869,0.7999859655688623,0.7803478981155518,47104,42752,48290,9421,10607
3,prune90,0.8907736073369565,0.9000046781437125,0.8688962518119694,47104,42752,48290,5145,6331
3,prune95,0.9361625339673914,0.9500140344311377,0.9131704286601781,47104,42752,48290,3007,4193
4,prune50,0.527725883152174,0.5,0.5147649616897908,47104,42752,48290,22246,23432
4,prune80,0.7999957540760869,0.7999859655688623,0.7803478981155518,47104,42752,48290,9421,10607
4,prune90,0.8907736073369565,0.9000046781437125,0.8688962518119694,47104,42752,48290,5145,6331
4,prune95,0.9361625339673914,0.9500140344311377,0.9131704286601781,47104,42752,48290,3007,4193
