T,live_units_K,covered_features_F,mean_macro_f1,sd,mean_macro_f1_loss,classes_affected_ge3of5
96,96,1,0.044901134525206936,0.030481418063868962,0.5080514704656247,26
96,32,3,0.11435748670889383,0.04711954958568042,0.4385951182819378,21
96,12,8,0.20001364900735824,0.0736270256360991,0.3529389559834734,19
96,8,12,0.1185161049295392,0.11726090519998661,0.4344365000612924,24
96,3,32,0.017410934862303183,0.021179237450272902,0.5355416701285285,26
192,192,1,0.0690695167138172,0.04542038647055623,0.48388308827701443,25
192,64,3,0.1399645572628511,0.05399288796965135,0.4129880477279806,22
192,24,8,0.23339535903053102,0.09768240114182807,0.31955724596030066,19
192,16,12,0.2208868815160842,0.14114261214589735,0.33206572347474744,19
192,6,32,0.07290068368955144,0.09829355560156142,0.4800519213012802,23
