,surviving_input_weights,live_channels,rep1_participation_ratio,rep1_rank99,rep1_numerical_rank,penult_participation_ratio,penult_rank99
pooled,-0.5493686713911259,-0.6816868463405482,-0.7805327883861801,-0.7944724723247641,-0.6964719575829964,-0.8680319643733476,-0.89530422293151
cnn1d,-0.8711184754783273,-0.8928004775854325,-0.4680944055944056,-0.5250330182492576,-0.7706193459872019,-0.8684877622377623,-0.9261297258680639
mlp,-0.7046298424091221,-0.7578739261134995,-0.9113070866141733,-0.9311733321947704,-0.8600021061869616,-0.8999405074365705,-0.9287823510538552
mlp_grid_only,-0.23422011789223013,-0.12762512860404357,-0.6045138055222088,-0.7525971161593854,-0.4797835999349871,-0.613829531812725,-0.7176582825985571
cnn_tap_masks_only,-0.7630567731812256,-0.7755667343294813,0.2706766917293233,0.18580251210649137,-0.4558104872925491,-0.9037593984962405,-0.9443193041944553
