attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 1, 2)",4,dense,random_over_detectable,20,0.16089563381203695,0.011827500535836422,0.10839713162029688,0.12022463215613328,417991
"(0, 1, 2)",4,dense,blind_spot_set,3,0.17721303339684558,0.017196534149008076,0.10899369509094808,0.12619022923995618,49325
"(0, 1, 3)",2,default_layerwise80,random_over_detectable,19,0.9421607225664296,0.0030264292948077587,0.4624876516944249,0.46551408098923264,400738
"(0, 1, 3)",2,default_layerwise80,blind_spot_set,2,1.0,0.0,1.0,1.0,29295
"(0, 1, 3)",4,default_layerwise80,random_over_detectable,19,0.5955068928564623,0.0016767034985759512,0.44121724934491474,0.4428939528434908,400738
"(0, 1, 3)",4,default_layerwise80,blind_spot_set,2,0.4865821677470147,0.0,0.38296394659244526,0.38296394659244526,29295
"(0, 1, 3)",2,protect_conv0,random_over_detectable,19,0.16283994118032794,0.020816029023202284,0.11075114032863673,0.13156716935183904,400738
"(0, 1, 3)",2,protect_conv0,blind_spot_set,2,0.4050230900147226,0.0003264011936957941,0.393967998281636,0.39429439947533174,29295
"(0, 1, 3)",4,protect_conv0,random_over_detectable,19,0.15822801988639087,0.016629934626518336,0.10588284383978726,0.12251277846630562,400738
"(0, 1, 3)",4,protect_conv0,blind_spot_set,2,0.18440307899133845,4.662874195654201e-05,0.17226109468297968,0.17230772342493622,29295
"(0, 1, 3)",2,global80,random_over_detectable,19,0.16726798549702773,0.016699853376884264,0.1158985712981926,0.13259842467507688,400738
"(0, 1, 3)",2,global80,blind_spot_set,2,0.469288192017782,0.0,0.4578617625616254,0.4578617625616254,29295
"(0, 1, 3)",4,global80,random_over_detectable,19,0.16223831281327075,0.013805899481113092,0.11337521446338474,0.12718111394449783,400738
"(0, 1, 3)",4,global80,blind_spot_set,2,0.24378092041460958,4.662874195654201e-05,0.2341990378229899,0.23424566656494644,29295
"(0, 1, 3)",2,dense,random_over_detectable,19,0.1718835664253595,0.018722467922139656,0.11834863744512487,0.13707110536726455,400738
