cell,class,mean_recall_loss,sd_recall_loss,affected_frequency,n
global80,Backdoor_Malware,-0.004140786749482402,0.03856715530061523,0.0,5
global80,BenignTraffic,0.053378310677666074,0.06386506403831366,0.2,5
global80,BrowserHijacking,0.003682393555811278,0.005946149911513839,0.0,5
global80,CommandInjection,0.017058096415327566,0.02981267943403076,0.0,5
global80,DDoS-ACK_Fragmentation,-0.04796307445314065,0.04730152474997684,0.0,5
global80,DDoS-HTTP_Flood,-0.023894420004630712,0.03850985905047638,0.0,5
global80,DDoS-ICMP_Flood,0.00017258382642995062,8.036492116866094e-05,0.0,5
global80,DDoS-ICMP_Fragmentation,0.0031475541299118117,0.0026084388276376384,0.0,5
global80,DDoS-PSHACK_Flood,-0.0001760198798923085,0.00025520309678744304,0.0,5
global80,DDoS-RSTFINFlood,9.513050716452032e-05,0.000190817605516193,0.0,5
global80,DDoS-SYN_Flood,0.1292292037649453,0.2450266024765846,0.0,5
global80,DDoS-SlowLoris,0.02219692657939667,0.03036840426170541,0.0,5
global80,DDoS-SynonymousIP_Flood,-0.25117950501362085,0.27750713466236326,0.0,5
global80,DDoS-TCP_Flood,-0.24572460391425904,0.22485243534270838,0.0,5
global80,DDoS-UDP_Flood,0.023678974132213093,0.07534100379380738,0.2,5
global80,DDoS-UDP_Fragmentation,0.0030861924686192534,0.0040238013182463455,0.0,5
global80,DNS_Spoofing,-0.0014159427499904399,0.06767595091022714,0.0,5
global80,DictionaryBruteForce,0.02091836734693877,0.044399482382325224,0.0,5
global80,DoS-HTTP_Flood,0.06815256924368182,0.04626198203361456,0.2,5
global80,DoS-SYN_Flood,0.0422533911599151,0.023592259635897176,0.0,5
global80,DoS-TCP_Flood,0.30442601766099503,0.2730599524412392,0.4,5
global80,DoS-UDP_Flood,-0.01855836471221086,0.06674703157486196,0.0,5
global80,MITM-ArpSpoofing,-0.026043296343460066,0.02342321262276733,0.0,5
global80,Mirai-greeth_flood,-0.0057511458156510155,0.013716984746766185,0.0,5
