arch,input_layer_sparsity,surviving_input_weights,mean_macro_f1,sd_macro_f1,mean_macro_f1_loss,classes_affected_ge3of5
cnn1d,0.0,192,0.3945265005647007,0.06591140877264015,0.06481759219975919,1
cnn1d,0.5,96,0.3408111370110271,0.016712566324315396,0.11853295575343276,1
cnn1d,0.8,38,0.20338132757666902,0.08315458684914345,0.2559627651877908,4
cnn1d,0.9,19,0.13125335375712327,0.08341204271105171,0.3280907390073366,5
cnn1d,0.95,10,0.05984504332490882,0.058327714637554415,0.39949904943955106,5
mlp,0.8,1536,0.4247668627907649,0.05097078473059058,0.08490688958930614,2
mlp,0.975,192,0.3886944715241521,0.04547159574200805,0.12097928085591897,3
mlp,0.9875,96,0.35575129861941257,0.06715852435977795,0.1539224537606585,3
mlp,0.995052,38,0.15687851803614347,0.052143724447752296,0.35279523434392757,6
