arch,dose,class,mean_recall_loss,affected_frequency
cnn1d,0.0,backdoor,0.0,0.0
cnn1d,0.0,ddos,0.10785515320334263,0.4
cnn1d,0.0,dos,-0.20144628099173553,0.0
cnn1d,0.0,injection,0.16124916051040966,0.0
cnn1d,0.0,mitm,0.049999999999999996,0.2
cnn1d,0.0,normal,-0.0019176536943034783,0.0
cnn1d,0.0,password,-0.10506993006993008,0.0
cnn1d,0.0,ransomware,0.0,0.0
cnn1d,0.0,scanning,0.6112759643916914,0.8
cnn1d,0.0,xss,-0.09549961861174673,0.0
cnn1d,0.5,backdoor,0.0,0.0
cnn1d,0.5,ddos,0.0551532033426184,0.2
cnn1d,0.5,dos,-0.14710743801652898,0.0
cnn1d,0.5,injection,0.22827400940228343,0.0
cnn1d,0.5,mitm,0.04487179487179489,0.2
cnn1d,0.5,normal,-0.0029328821206993983,0.0
cnn1d,0.5,password,-0.13846153846153847,0.0
cnn1d,0.5,ransomware,0.37948717948717947,0.4
cnn1d,0.5,scanning,0.7445103857566766,1.0
cnn1d,0.5,xss,0.015560640732265452,0.2
cnn1d,0.8,backdoor,0.0,0.0
cnn1d,0.8,ddos,0.4763231197771588,0.8
cnn1d,0.8,dos,-0.07851239669421489,0.0
cnn1d,0.8,injection,0.3970449966420416,0.4
cnn1d,0.8,mitm,0.19358974358974362,0.2
cnn1d,0.8,normal,0.18883248730964466,0.2
cnn1d,0.8,password,-0.3176573426573427,0.0
cnn1d,0.8,ransomware,0.7589743589743589,0.8
cnn1d,0.8,scanning,0.7445103857566766,1.0
cnn1d,0.8,xss,0.37803203661327234,1.0
cnn1d,0.9,backdoor,0.0,0.0
cnn1d,0.9,ddos,0.37103064066852365,0.8
cnn1d,0.9,dos,0.10537190082644625,0.2
cnn1d,0.9,injection,0.23747481531229014,0.2
cnn1d,0.9,mitm,0.19743589743589746,0.2
cnn1d,0.9,normal,0.550253807106599,0.6
cnn1d,0.9,password,0.23033216783216784,0.4
cnn1d,0.9,ransomware,0.5692307692307692,0.6
cnn1d,0.9,scanning,0.7409495548961424,1.0
cnn1d,0.9,xss,0.24439359267734556,0.8
cnn1d,0.95,backdoor,0.0,0.0
cnn1d,0.95,ddos,0.6960445682451254,1.0
cnn1d,0.95,dos,0.23161157024793386,0.2
cnn1d,0.95,injection,0.419543317662861,0.4
cnn1d,0.95,mitm,0.1371794871794872,0.0
cnn1d,0.95,normal,0.7609137055837564,0.8
cnn1d,0.95,password,0.020454545454545458,0.2
cnn1d,0.95,ransomware,0.7589743589743589,0.8
cnn1d,0.95,scanning,0.5445103857566765,0.8
cnn1d,0.95,xss,0.38886346300533947,0.8
mlp,0.8,backdoor,0.0,0.0
mlp,0.8,ddos,-0.012813370473537634,0.0
mlp,0.8,dos,-0.1555785123966942,0.2
mlp,0.8,injection,-0.0814640698455339,0.0
mlp,0.8,mitm,-0.053846153846153835,0.0
mlp,0.8,normal,-0.0002256063169768341,0.0
mlp,0.8,password,0.38854895104895104,0.6
mlp,0.8,ransomware,0.0,0.0
mlp,0.8,scanning,0.6083086053412463,0.8
mlp,0.8,xss,0.005949656750572107,0.0
mlp,0.975,backdoor,0.0,0.0
mlp,0.975,ddos,0.1347075208913649,0.6
mlp,0.975,dos,0.05309917355371903,0.0
mlp,0.975,injection,-0.067897918065816,0.0
mlp,0.975,mitm,0.317948717948718,0.8
mlp,0.975,normal,0.011393119007332243,0.0
mlp,0.975,password,0.23164335664335667,0.4
mlp,0.975,ransomware,0.4512820512820513,0.0
mlp,0.975,scanning,0.6516320474777448,0.8
mlp,0.975,xss,0.05659801678108314,0.0
mlp,0.9875,backdoor,0.0,0.0
mlp,0.9875,ddos,0.18016713091922004,0.6
mlp,0.9875,dos,0.3090909090909091,0.4
mlp,0.9875,injection,0.03693754197447955,0.0
mlp,0.9875,mitm,0.3384615384615385,0.6
mlp,0.9875,normal,0.015510434292160213,0.0
mlp,0.9875,password,0.1478146853146853,0.4
mlp,0.9875,ransomware,0.47179487179487173,0.0
mlp,0.9875,scanning,0.47210682492581596,0.6
mlp,0.9875,xss,0.08939740655987798,0.4
mlp,0.995052,backdoor,0.0,0.0
mlp,0.995052,ddos,0.4750974930362116,0.8
mlp,0.995052,dos,0.3316115702479339,0.4
mlp,0.995052,injection,0.2081262592343855,0.6
mlp,0.995052,mitm,0.47435897435897434,0.8
mlp,0.995052,normal,0.2089114495205866,0.2
mlp,0.995052,password,0.647902097902098,1.0
mlp,0.995052,ransomware,0.4512820512820513,0.0
mlp,0.995052,scanning,0.626706231454006,0.8
mlp,0.995052,xss,0.19664378337147218,0.6
