seed,T,K,F,cell,live_units,covered_features,surviving_input_weights
0,96,96,1,grid96_K96_F1_mlp_paired,96,1,96
0,96,32,3,grid96_K32_F3_mlp_paired,32,3,96
0,96,12,8,grid96_K12_F8_mlp_paired,12,8,96
0,96,8,12,grid96_K8_F12_mlp_paired,8,12,96
0,96,3,32,grid96_K3_F32_mlp_paired,3,32,96
0,192,192,1,grid192_K192_F1_mlp_paired,192,1,192
0,192,64,3,grid192_K64_F3_mlp_paired,64,3,192
0,192,24,8,grid192_K24_F8_mlp_paired,24,8,192
0,192,16,12,grid192_K16_F12_mlp_paired,16,12,192
0,192,6,32,grid192_K6_F32_mlp_paired,6,32,192
1,96,96,1,grid96_K96_F1_mlp_paired,96,1,96
1,96,32,3,grid96_K32_F3_mlp_paired,32,3,96
1,96,12,8,grid96_K12_F8_mlp_paired,12,8,96
1,96,8,12,grid96_K8_F12_mlp_paired,8,12,96
1,96,3,32,grid96_K3_F32_mlp_paired,3,32,96
1,192,192,1,grid192_K192_F1_mlp_paired,192,1,192
1,192,64,3,grid192_K64_F3_mlp_paired,64,3,192
1,192,24,8,grid192_K24_F8_mlp_paired,24,8,192
1,192,16,12,grid192_K16_F12_mlp_paired,16,12,192
1,192,6,32,grid192_K6_F32_mlp_paired,6,32,192
2,96,96,1,grid96_K96_F1_mlp_paired,96,1,96
2,96,32,3,grid96_K32_F3_mlp_paired,32,3,96
2,96,12,8,grid96_K12_F8_mlp_paired,12,8,96
2,96,8,12,grid96_K8_F12_mlp_paired,8,12,96
2,96,3,32,grid96_K3_F32_mlp_paired,3,32,96
2,192,192,1,grid192_K192_F1_mlp_paired,192,1,192
2,192,64,3,grid192_K64_F3_mlp_paired,64,3,192
2,192,24,8,grid192_K24_F8_mlp_paired,24,8,192
2,192,16,12,grid192_K16_F12_mlp_paired,16,12,192
2,192,6,32,grid192_K6_F32_mlp_paired,6,32,192
3,96,96,1,grid96_K96_F1_mlp_paired,96,1,96
3,96,32,3,grid96_K32_F3_mlp_paired,32,3,96
3,96,12,8,grid96_K12_F8_mlp_paired,12,8,96
3,96,8,12,grid96_K8_F12_mlp_paired,8,12,96
3,96,3,32,grid96_K3_F32_mlp_paired,3,32,96
3,192,192,1,grid192_K192_F1_mlp_paired,192,1,192
3,192,64,3,grid192_K64_F3_mlp_paired,64,3,192
3,192,24,8,grid192_K24_F8_mlp_paired,24,8,192
3,192,16,12,grid192_K16_F12_mlp_paired,16,12,192
3,192,6,32,grid192_K6_F32_mlp_paired,6,32,192
4,96,96,1,grid96_K96_F1_mlp_paired,96,1,96
4,96,32,3,grid96_K32_F3_mlp_paired,32,3,96
4,96,12,8,grid96_K12_F8_mlp_paired,12,8,96
4,96,8,12,grid96_K8_F12_mlp_paired,8,12,96
4,96,3,32,grid96_K3_F32_mlp_paired,3,32,96
4,192,192,1,grid192_K192_F1_mlp_paired,192,1,192
4,192,64,3,grid192_K64_F3_mlp_paired,64,3,192
4,192,24,8,grid192_K24_F8_mlp_paired,24,8,192
4,192,16,12,grid192_K16_F12_mlp_paired,16,12,192
4,192,6,32,grid192_K6_F32_mlp_paired,6,32,192
