arch,dose,seed,cell,surviving_input_weights,live_channels,channels_total,covered_features,test_macro_f1,macro_f1_loss
cnn1d,0.0,0,layerwise80_protect_conv0_paired,192,64,64,39,0.5079623144903997,0.03717619999113353
cnn1d,0.0,1,layerwise80_protect_conv0_paired,192,64,64,39,0.5285889817388496,0.020808361307677825
cnn1d,0.0,2,layerwise80_protect_conv0_paired,192,64,64,39,0.5387216509337143,-0.0026678415364108643
cnn1d,0.0,3,layerwise80_protect_conv0_paired,192,64,64,39,0.5343081272203152,0.006310676485871358
cnn1d,0.0,4,layerwise80_protect_conv0_paired,192,64,64,39,0.5358019754819177,0.001098329439607304
cnn1d,0.2,0,conv0dose20_paired,154,63,64,39,0.5044119222530038,0.04072659222852948
cnn1d,0.2,1,conv0dose20_paired,154,63,64,39,0.530919048712847,0.018478294333680423
cnn1d,0.2,2,conv0dose20_paired,154,64,64,39,0.5345988829797957,0.0014549264175076626
cnn1d,0.2,3,conv0dose20_paired,154,64,64,39,0.5351648743748533,0.005453929331333263
cnn1d,0.2,4,conv0dose20_paired,154,64,64,39,0.5314719122743004,0.005428392647224611
cnn1d,0.5,0,conv0dose50_paired,96,59,64,39,0.5039871603796965,0.04115135410183679
cnn1d,0.5,1,conv0dose50_paired,96,58,64,39,0.5154193795028575,0.03397796354366989
cnn1d,0.5,2,conv0dose50_paired,96,59,64,39,0.5275355215911591,0.008518287806144276
cnn1d,0.5,3,conv0dose50_paired,96,58,64,39,0.3752630273176379,0.16535577638854865
cnn1d,0.5,4,conv0dose50_paired,96,58,64,39,0.5113347499808477,0.02556555494067725
cnn1d,0.8,0,prune80_paired,38,37,64,39,0.3376755048307554,0.20746300965077785
cnn1d,0.8,1,prune80_paired,38,34,64,39,0.4051931077589989,0.14420423528752851
cnn1d,0.8,2,prune80_paired,38,34,64,39,0.0090404253538516,0.5270133840434518
cnn1d,0.8,3,prune80_paired,38,33,64,39,0.3848574819246689,0.15576132178151764
cnn1d,0.8,4,prune80_paired,38,35,64,39,0.2162566040544346,0.3206437008670904
cnn1d,0.9,0,conv0dose90_paired,19,19,64,39,0.045108885519224,0.5000296289623093
cnn1d,0.9,1,conv0dose90_paired,19,19,64,39,0.0004196692377532,0.5489776738087743
cnn1d,0.9,2,conv0dose90_paired,19,19,64,39,0.0376050221706246,0.4984487872266788
cnn1d,0.9,3,conv0dose90_paired,19,18,64,39,0.2431780138856299,0.29744078982055666
cnn1d,0.9,4,conv0dose90_paired,19,18,64,39,0.0431799217166453,0.49372038320487965
cnn1d,0.95,0,conv0dose95_paired,10,10,64,39,0.0056150949419085,0.5395234195396248
cnn1d,0.95,1,conv0dose95_paired,10,10,64,39,0.038577509752395,0.5108198332941324
cnn1d,0.95,2,conv0dose95_paired,10,10,64,39,0.0023475759423936,0.5337062334549098
cnn1d,0.95,3,conv0dose95_paired,10,10,64,39,0.0129777982903706,0.5276410054158159
cnn1d,0.95,4,conv0dose95_paired,10,10,64,39,0.0191809569686008,0.5177193479529242
mlp,0.8,0,inputdose8000_mlp_paired,1997,256,256,39,0.5456095702559246,0.018570662814807903
mlp,0.8,1,inputdose8000_mlp_paired,1997,256,256,39,0.5448250414066804,-0.0035098276693850128
mlp,0.8,2,inputdose8000_mlp_paired,1997,256,256,39,0.5380794045377163,-0.003084083389597758
mlp,0.8,3,inputdose8000_mlp_paired,1997,256,256,39,0.554578029822953,0.01459523303851451
mlp,0.8,4,inputdose8000_mlp_paired,1997,256,256,39,0.5442480445223669,0.01085094961417754
mlp,0.9,0,inputdose9000_mlp_paired,998,256,256,39,0.5382087625303374,0.02597147054039506
mlp,0.9,1,inputdose9000_mlp_paired,998,254,256,38,0.5519405501881852,-0.01062533645088981
mlp,0.9,2,inputdose9000_mlp_paired,998,254,256,39,0.5577526297469064,-0.022757308598787884
mlp,0.9,3,inputdose9000_mlp_paired,998,255,256,39,0.5438987871391697,0.025274475722297796
mlp,0.9,4,inputdose9000_mlp_paired,998,255,256,39,0.5413584119325198,0.013740582204024632
mlp,0.9808,0,inputdose9808_mlp_paired,192,143,256,27,0.492478770509727,0.07170146256100551
mlp,0.9808,1,inputdose9808_mlp_paired,192,139,256,27,0.507543382836468,0.03377183090082736
mlp,0.9808,2,inputdose9808_mlp_paired,192,140,256,29,0.4851147080732069,0.04988061307491165
mlp,0.9808,3,inputdose9808_mlp_paired,192,137,256,30,0.5170903770101183,0.05208288585134924
mlp,0.9808,4,inputdose9808_mlp_paired,192,143,256,29,0.4709561431068331,0.08414285102971131
mlp,0.9904,0,inputdose9904_mlp_paired,96,81,256,21,0.303752975493006,0.2604272575777265
mlp,0.9904,1,inputdose9904_mlp_paired,96,83,256,21,0.4243442076320091,0.11697100610528632
mlp,0.9904,2,inputdose9904_mlp_paired,96,81,256,19,0.3950181190028637,0.13997720214525483
mlp,0.9904,3,inputdose9904_mlp_paired,96,80,256,22,0.442819083335262,0.12635417952620553
mlp,0.9904,4,inputdose9904_mlp_paired,96,79,256,18,0.3106795604960483,0.24441943364049612
mlp,0.9962,0,inputdose9962_mlp_paired,38,37,256,12,0.335600421033816,0.22857981203691652
mlp,0.9962,1,inputdose9962_mlp_paired,38,36,256,12,0.2472648919688416,0.2940503217684538
mlp,0.9962,2,inputdose9962_mlp_paired,38,35,256,12,0.2250702179533935,0.30992510319472505
mlp,0.9962,3,inputdose9962_mlp_paired,38,35,256,13,0.2027958578487443,0.3663774050127232
mlp,0.9962,4,inputdose9962_mlp_paired,38,32,256,12,0.1377338992290453,0.41736509490749907
