recipe,strategy,misattribution,attack_to_benign,cross_family,wrong_family_or_benign,n_types,exposed_lift_vs_random
default_layerwise80,exposed_set,0.7692649212142834,0.16847579707898241,0.45918155317383835,0.6276573502528208,14.4,1.1197835074553888
default_layerwise80,oracle_per_model,0.9744309544568877,0.14119490009144295,0.4657783618186853,0.6069732619101282,19.8,1.1197835074553888
default_layerwise80,random_attack_type,0.6869764700878399,0.09987256059563737,0.40517153119216626,0.5050440917878036,33.0,1.1197835074553888
dense,exposed_set,0.6090631206689736,0.16099079410628908,0.28638337316743157,0.4473741672737207,14.4,1.3430185566616637
dense,oracle_per_model,0.8712371966044398,0.22378240644984793,0.4027656278714658,0.6265480343213137,10.6,1.3430185566616637
dense,random_attack_type,0.4535031311726024,0.07880215299601238,0.2735339128484916,0.35233606584450394,33.0,1.3430185566616637
global80,exposed_set,0.6483920392779162,0.16979718582120668,0.2973783422056721,0.4671755280268788,14.4,1.409340948984112
global80,oracle_per_model,0.8732520152788797,0.2107264222999782,0.4377202435376186,0.6484466658375968,11.4,1.409340948984112
global80,random_attack_type,0.4600675512517346,0.08087906499738906,0.27654768164010435,0.3574267466374934,33.0,1.409340948984112
protect_conv0,exposed_set,0.6396196247045273,0.16741010769851913,0.2898878467536714,0.45729795445219057,14.4,1.3892743144180713
protect_conv0,oracle_per_model,0.8699818032117987,0.19994742341678015,0.4528177678186692,0.6527651912354494,11.6,1.3892743144180713
protect_conv0,random_attack_type,0.4603983663028034,0.07986483815324058,0.27743135527227086,0.35729619342551144,33.0,1.3892743144180713
