criterion,value,pass
A_cnn_rho_live_vs_f1_ge_0.9,0.9065,True
A_mlp_rho_live_vs_f1_ge_0.9,0.8989,False
B_single_live_threshold_acc_ge_0.9,live<58: acc 0.927,True
ref_single_weight_threshold_acc,weights<96: acc 0.927,
