attacker_seeds,held_out_seed,recipe,strategy,n_chosen_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 1, 2)",3,default_layerwise80,random_attack_type,33,0.5780186930102433,0.18257825200013936,0.24609391835285646,0.4286721703529958,519330
"(0, 1, 2)",3,default_layerwise80,exposed_set,15,0.8618415528704135,0.32319916952270455,0.42327626346281555,0.7464754329855201,131009
"(0, 1, 2)",3,default_layerwise80,oracle_per_model,15,0.9636914289662479,0.2762641209594767,0.3247446423841822,0.6010087633436589,173678
"(0, 1, 2)",4,default_layerwise80,random_attack_type,33,0.7297187779091838,0.01921959912899565,0.5658866760772485,0.5851062752062444,519330
"(0, 1, 2)",4,default_layerwise80,exposed_set,15,0.6487187903121159,0.059598958850155336,0.4575258188368738,0.5171247776870291,131009
"(0, 1, 2)",4,default_layerwise80,oracle_per_model,22,0.9423217598035374,0.026510698330590173,0.6374879170258902,0.6639986153564804,306216
"(0, 1, 2)",3,protect_conv0,random_attack_type,33,0.45824116637845286,0.08354834893725435,0.27244391885421915,0.35599226779147347,519330
"(0, 1, 2)",3,protect_conv0,exposed_set,15,0.6852277324458624,0.1751101069392179,0.3680968483081315,0.5432069552473494,131009
"(0, 1, 2)",3,protect_conv0,oracle_per_model,10,0.8886049019752685,0.2797139775732415,0.4777431412235732,0.7574571187968148,67687
"(0, 1, 2)",4,protect_conv0,random_attack_type,33,0.4545875650371384,0.08569913155500908,0.26662485493474747,0.3523239864897566,519330
"(0, 1, 2)",4,protect_conv0,exposed_set,15,0.615392835606714,0.16346205222541962,0.3098336755490081,0.4732957277744277,131009
"(0, 1, 2)",4,protect_conv0,oracle_per_model,11,0.873279750864418,0.19828948272308855,0.4373611778983765,0.635650660621465,87342
"(0, 1, 2)",3,global80,random_attack_type,33,0.4608196690064911,0.09230561844372628,0.2658907824764754,0.35819640092020166,519330
"(0, 1, 2)",3,global80,exposed_set,15,0.7294002702104436,0.17124014380691402,0.4257188437435596,0.5969589875504736,131009
"(0, 1, 2)",3,global80,oracle_per_model,11,0.8899245296143011,0.2060886400259683,0.589341402056597,0.7954300420825653,86259
"(0, 1, 2)",4,global80,random_attack_type,33,0.4562135561390199,0.07675482464219716,0.2798951581030661,0.35664998274526327,519330
"(0, 1, 2)",4,global80,exposed_set,15,0.6332542039096551,0.15910357303696693,0.329687273393431,0.4887908464303979,131009
"(0, 1, 2)",4,global80,oracle_per_model,12,0.8575654816409906,0.192435021483412,0.38838185129655156,0.5808168727799635,99379
"(0, 1, 2)",3,dense,random_attack_type,33,0.4551772309921356,0.07833535497399138,0.2741243495366083,0.3524597045105997,519330
"(0, 1, 2)",3,dense,exposed_set,15,0.6158431863459762,0.15208878779320506,0.3290613621964903,0.48115014998969535,131009
"(0, 1, 2)",3,dense,oracle_per_model,12,0.852954824339792,0.18786928859420274,0.38545222062963386,0.5733215092238366,96977
"(0, 1, 2)",4,dense,random_attack_type,33,0.4535345078139467,0.06534193212684607,0.2840987358471134,0.3494406679739594,519330
"(0, 1, 2)",4,dense,exposed_set,15,0.5939591936431848,0.14404353899350425,0.30235327343922935,0.4463968124327336,131009
"(0, 1, 2)",4,dense,oracle_per_model,10,0.9070323445209234,0.24272095998050802,0.36369312298227446,0.6064140829627824,65668
"(0, 1, 3)",2,default_layerwise80,random_attack_type,33,0.9661819866133003,0.005550452149124584,0.6254055740268651,0.6309560261759898,519330
"(0, 1, 3)",2,default_layerwise80,exposed_set,13,0.9964501600638421,0.0065676625175428134,0.9896990432860328,0.9962667058035756,109019
"(0, 1, 3)",2,default_layerwise80,oracle_per_model,32,0.9951065747814476,0.0047401947420056476,0.5775654662285999,0.5823056609706057,502511
"(0, 1, 3)",4,default_layerwise80,random_attack_type,33,0.7297187779091838,0.01921959912899565,0.5658866760772485,0.5851062752062444,519330
"(0, 1, 3)",4,default_layerwise80,exposed_set,13,0.6926590777754336,0.06915308340747943,0.4759629055485741,0.5451159889560535,109019
"(0, 1, 3)",4,default_layerwise80,oracle_per_model,22,0.9423217598035374,0.026510698330590173,0.6374879170258902,0.6639986153564804,306216
"(0, 1, 3)",2,protect_conv0,random_attack_type,33,0.4598379541316629,0.10969293300412784,0.2545914871388139,0.36428442014294166,519330
"(0, 1, 3)",2,protect_conv0,exposed_set,13,0.7647932929122446,0.21926453187059136,0.411964886854585,0.6312294187251763,109019
"(0, 1, 3)",2,protect_conv0,oracle_per_model,12,0.8581994183881907,0.2404632769498586,0.35675545135290154,0.5972187283027601,99379
"(0, 1, 3)",4,protect_conv0,random_attack_type,33,0.4545875650371384,0.08569913155500908,0.26662485493474747,0.3523239864897566,519330
"(0, 1, 3)",4,protect_conv0,exposed_set,13,0.6814408497601336,0.1779964960236289,0.3598363587998422,0.5378328548234711,109019
"(0, 1, 3)",4,protect_conv0,oracle_per_model,11,0.873279750864418,0.19828948272308855,0.4373611778983765,0.635650660621465,87342
"(0, 1, 3)",2,global80,random_attack_type,33,0.4582164042578557,0.08871065016030563,0.2686583107142031,0.35736896087450876,519330
"(0, 1, 3)",2,global80,exposed_set,13,0.7827809831313808,0.1945257248736459,0.44616076096827156,0.6406864858419175,109019
