seed,T,K,F,cell,test_macro_f1
0,0,256,39,M0,0.5641802330707325
0,96,96,1,grid96_K96_F1_mlp_paired,0.05472723776075596
0,96,32,3,grid96_K32_F3_mlp_paired,0.13916944136041756
0,96,12,8,grid96_K12_F8_mlp_paired,0.2705201688384953
0,96,8,12,grid96_K8_F12_mlp_paired,0.32097187786644404
0,96,3,32,grid96_K3_F32_mlp_paired,0.0034382604003697506
0,192,192,1,grid192_K192_F1_mlp_paired,0.07083924024798695
0,192,64,3,grid192_K64_F3_mlp_paired,0.1294335229715116
0,192,24,8,grid192_K24_F8_mlp_paired,0.23428835691135796
0,192,16,12,grid192_K16_F12_mlp_paired,0.35940972428271556
0,192,6,32,grid192_K6_F32_mlp_paired,0.2452436380595876
1,0,256,39,M0,0.5413152137372954
1,96,96,1,grid96_K96_F1_mlp_paired,0.033285552881128125
1,96,32,3,grid96_K32_F3_mlp_paired,0.08668443394110369
1,96,12,8,grid96_K12_F8_mlp_paired,0.26561731889223034
1,96,8,12,grid96_K8_F12_mlp_paired,0.04686863909914883
1,96,3,32,grid96_K3_F32_mlp_paired,0.0030397287645269524
1,192,192,1,grid192_K192_F1_mlp_paired,0.05937637209667107
1,192,64,3,grid192_K64_F3_mlp_paired,0.1286652866021592
1,192,24,8,grid192_K24_F8_mlp_paired,0.40123038084904006
1,192,16,12,grid192_K16_F12_mlp_paired,0.13781748097180643
1,192,6,32,grid192_K6_F32_mlp_paired,0.025055445209682694
2,0,256,39,M0,0.5349953211481185
2,96,96,1,grid96_K96_F1_mlp_paired,0.0441517938362035
2,96,32,3,grid96_K32_F3_mlp_paired,0.08062174324387575
2,96,12,8,grid96_K12_F8_mlp_paired,0.15252535086056213
2,96,8,12,grid96_K8_F12_mlp_paired,0.09892666766844459
2,96,3,32,grid96_K3_F32_mlp_paired,0.001687656618466234
2,192,192,1,grid192_K192_F1_mlp_paired,0.07082371603159429
2,192,64,3,grid192_K64_F3_mlp_paired,0.14396242893215314
2,192,24,8,grid192_K24_F8_mlp_paired,0.1731451675282699
2,192,16,12,grid192_K16_F12_mlp_paired,0.03021931032020854
2,192,6,32,grid192_K6_F32_mlp_paired,0.004345810347087704
3,0,256,39,M0,0.5691732628614675
3,96,96,1,grid96_K96_F1_mlp_paired,0.0044499913790588715
3,96,32,3,grid96_K32_F3_mlp_paired,0.07930887348867902
3,96,12,8,grid96_K12_F8_mlp_paired,0.21150004402624195
3,96,8,12,grid96_K8_F12_mlp_paired,0.09689354718635163
3,96,3,32,grid96_K3_F32_mlp_paired,0.048779782828360735
3,192,192,1,grid192_K192_F1_mlp_paired,0.008385600128935496
3,192,64,3,grid192_K64_F3_mlp_paired,0.07388953845556936
3,192,24,8,grid192_K24_F8_mlp_paired,0.16359674062790575
3,192,16,12,grid192_K16_F12_mlp_paired,0.35213470155997956
3,192,6,32,grid192_K6_F32_mlp_paired,0.05890531425163098
4,0,256,39,M0,0.5550989941365444
4,96,96,1,grid96_K96_F1_mlp_paired,0.08789109676888823
4,96,32,3,grid96_K32_F3_mlp_paired,0.18600294151039318
4,96,12,8,grid96_K12_F8_mlp_paired,0.09990536241926133
4,96,8,12,grid96_K8_F12_mlp_paired,0.028919792827306928
4,96,3,32,grid96_K3_F32_mlp_paired,0.030109245699792238
4,192,192,1,grid192_K192_F1_mlp_paired,0.13592265506389825
4,192,64,3,grid192_K64_F3_mlp_paired,0.22387200935286217
4,192,24,8,grid192_K24_F8_mlp_paired,0.19471614923608133
4,192,16,12,grid192_K16_F12_mlp_paired,0.22485319044571095
4,192,6,32,grid192_K6_F32_mlp_paired,0.030953210579768232
