T,K,F,class,mean_recall_loss,affected_frequency
96,12,8,MITM-ArpSpoofing,-0.09052937966163362,0.4
96,12,8,Mirai-greeth_flood,0.4065319979629944,0.4
96,12,8,Mirai-greip_flood,0.5942086768482226,0.6
96,12,8,Mirai-udpplain,0.8630561330561332,1.0
96,12,8,Recon-HostDiscovery,0.49045431852221666,1.0
96,12,8,Recon-OSScan,0.12664594127806564,0.8
96,12,8,Recon-PingSweep,0.007058823529411765,0.0
96,12,8,Recon-PortScan,0.21404004320013295,1.0
96,12,8,SqlInjection,0.07141041931385006,0.0
96,12,8,Uploading_Attack,0.026595744680851064,0.0
96,12,8,VulnerabilityScan,0.43547308592444,0.8
96,12,8,XSS,0.03604852686308492,0.0
96,32,3,Backdoor_Malware,0.03561076604554865,0.0
96,32,3,BenignTraffic,0.7890384422697972,1.0
96,32,3,BrowserHijacking,0.02094361334867664,0.0
96,32,3,CommandInjection,0.05957972805933252,0.0
96,32,3,DDoS-ACK_Fragmentation,0.543307244631748,1.0
96,32,3,DDoS-HTTP_Flood,0.18703403565640192,0.4
96,32,3,DDoS-ICMP_Flood,0.46691321499013805,0.8
96,32,3,DDoS-ICMP_Fragmentation,0.345582731889869,0.6
96,32,3,DDoS-PSHACK_Flood,0.6512424932698282,0.8
96,32,3,DDoS-RSTFINFlood,0.006385635293418202,0.0
96,32,3,DDoS-SYN_Flood,0.19920630882727042,0.4
96,32,3,DDoS-SlowLoris,0.7679567444507684,0.8
96,32,3,DDoS-SynonymousIP_Flood,0.35895206630730886,0.8
96,32,3,DDoS-TCP_Flood,0.5110321528424977,1.0
96,32,3,DDoS-UDP_Flood,0.429703736458103,0.8
96,32,3,DDoS-UDP_Fragmentation,0.7388853556485355,0.8
96,32,3,DNS_Spoofing,0.5737935785082853,1.0
96,32,3,DictionaryBruteForce,0.4591836734693878,1.0
96,32,3,DoS-HTTP_Flood,0.8722558985358575,1.0
96,32,3,DoS-SYN_Flood,0.17378425763587707,0.0
96,32,3,DoS-TCP_Flood,0.6398556967477924,1.0
96,32,3,DoS-UDP_Flood,0.4640308409539179,0.8
96,32,3,MITM-ArpSpoofing,0.06613789339639803,0.4
96,32,3,Mirai-greeth_flood,0.9594500084875234,1.0
96,32,3,Mirai-greip_flood,0.6849168806595486,1.0
96,32,3,Mirai-udpplain,0.9203049203049203,1.0
96,32,3,Recon-HostDiscovery,0.7242336495257115,1.0
96,32,3,Recon-OSScan,0.10887737478411053,0.4
96,32,3,Recon-PingSweep,0.007058823529411765,0.0
96,32,3,Recon-PortScan,0.20621417296668607,0.8
96,32,3,SqlInjection,0.07141041931385006,0.0
96,32,3,Uploading_Attack,0.026595744680851064,0.0
96,32,3,VulnerabilityScan,0.662982280173855,1.0
96,32,3,XSS,0.03604852686308492,0.0
96,96,1,Backdoor_Malware,0.03561076604554865,0.0
96,96,1,BenignTraffic,0.6306870178016767,0.8
96,96,1,BrowserHijacking,0.02094361334867664,0.0
96,96,1,CommandInjection,0.05957972805933252,0.0
96,96,1,DDoS-ACK_Fragmentation,0.8959194594956184,1.0
96,96,1,DDoS-HTTP_Flood,0.6207455429497568,0.8
96,96,1,DDoS-ICMP_Flood,0.7826553254437869,1.0
96,96,1,DDoS-ICMP_Fragmentation,0.6197941726811014,1.0
96,96,1,DDoS-PSHACK_Flood,0.7708428246013668,0.8
96,96,1,DDoS-RSTFINFlood,0.5163208276354123,0.6
96,96,1,DDoS-SYN_Flood,0.2635054693462223,0.6
96,96,1,DDoS-SlowLoris,0.9734206033010814,1.0
96,96,1,DDoS-SynonymousIP_Flood,0.5007245116791282,0.8
96,96,1,DDoS-TCP_Flood,0.5111020503261882,1.0
96,96,1,DDoS-UDP_Flood,0.6579151005969489,1.0
96,96,1,DDoS-UDP_Fragmentation,0.7720435146443514,0.8
96,96,1,DNS_Spoofing,0.602326738356741,1.0
96,96,1,DictionaryBruteForce,0.45928571428571424,1.0
96,96,1,DoS-HTTP_Flood,0.7222792129068358,1.0
96,96,1,DoS-SYN_Flood,-0.08227369198117562,0.0
96,96,1,DoS-TCP_Flood,0.6789468016368727,1.0
96,96,1,DoS-UDP_Flood,0.7224852071005917,1.0
96,96,1,MITM-ArpSpoofing,0.1116463525559396,0.8
96,96,1,Mirai-greeth_flood,0.9887828891529452,1.0
96,96,1,Mirai-greip_flood,0.8655764292471956,1.0
96,96,1,Mirai-udpplain,0.7952113652113652,0.8
96,96,1,Recon-HostDiscovery,0.6594508237643535,1.0
96,96,1,Recon-OSScan,0.1265768566493955,0.8
96,96,1,Recon-PingSweep,0.007058823529411765,0.0
96,96,1,Recon-PortScan,0.24836753343856444,1.0
96,96,1,SqlInjection,0.07141041931385006,0.0
96,96,1,Uploading_Attack,0.026595744680851064,0.0
96,96,1,VulnerabilityScan,0.48953527248411904,0.8
96,96,1,XSS,0.03604852686308492,0.0
192,6,32,Backdoor_Malware,-0.36438923395445133,0.0
192,6,32,BenignTraffic,0.7888313683577703,1.0
192,6,32,BrowserHijacking,0.02094361334867664,0.0
192,6,32,CommandInjection,0.05957972805933252,0.0
192,6,32,DDoS-ACK_Fragmentation,0.8558967154993645,1.0
192,6,32,DDoS-HTTP_Flood,0.8131048853901366,1.0
192,6,32,DDoS-ICMP_Flood,0.7985330374753452,0.8
192,6,32,DDoS-ICMP_Fragmentation,0.5603849238171612,0.6
192,6,32,DDoS-PSHACK_Flood,0.41133775108718157,0.4
192,6,32,DDoS-RSTFINFlood,0.7994173256436173,0.8
192,6,32,DDoS-SYN_Flood,0.06524548460951411,0.4
192,6,32,DDoS-SlowLoris,0.7793966989186113,0.8
192,6,32,DDoS-SynonymousIP_Flood,0.5350953457369733,0.8
192,6,32,DDoS-TCP_Flood,-0.03293336439888165,0.4
192,6,32,DDoS-UDP_Flood,0.6695113862480655,1.0
192,6,32,DDoS-UDP_Fragmentation,0.9814560669456067,1.0
192,6,32,DNS_Spoofing,0.6131414794688301,1.0
192,6,32,DictionaryBruteForce,0.4558163265306122,1.0
192,6,32,DoS-HTTP_Flood,0.6210015853772266,0.8
192,6,32,DoS-SYN_Flood,0.0217403340407862,0.0
192,6,32,DoS-TCP_Flood,0.6771807021322421,1.0
192,6,32,DoS-UDP_Flood,0.5250493096646942,0.8
192,6,32,MITM-ArpSpoofing,0.011373476441695462,0.8
192,6,32,Mirai-greeth_flood,0.7897810218978102,0.8
192,6,32,Mirai-greip_flood,0.7900256791458306,0.8
192,6,32,Mirai-udpplain,0.8003187803187803,0.8
192,6,32,Recon-HostDiscovery,0.6165052421367948,0.8
192,6,32,Recon-OSScan,0.12630051813471505,0.8
192,6,32,Recon-PingSweep,0.007058823529411765,0.0
192,6,32,Recon-PortScan,0.23298163994350754,1.0
192,6,32,SqlInjection,0.07141041931385006,0.0
192,6,32,Uploading_Attack,0.026595744680851064,0.0
192,6,32,VulnerabilityScan,0.6393848211300568,1.0
192,6,32,XSS,0.03604852686308492,0.0
192,16,12,Backdoor_Malware,0.03561076604554865,0.0
192,16,12,BenignTraffic,0.17955980094185228,0.4
192,16,12,BrowserHijacking,0.02094361334867664,0.0
192,16,12,CommandInjection,0.05957972805933252,0.0
192,16,12,DDoS-ACK_Fragmentation,0.39129707672754027,0.8
192,16,12,DDoS-HTTP_Flood,0.3340125028941885,0.4
192,16,12,DDoS-ICMP_Flood,0.2180473372781065,0.2
192,16,12,DDoS-ICMP_Fragmentation,0.5859262229350441,0.6
192,16,12,DDoS-PSHACK_Flood,0.2457341064402568,0.2
192,16,12,DDoS-RSTFINFlood,0.7362031036327963,1.0
192,16,12,DDoS-SYN_Flood,0.029478504197405248,0.2
192,16,12,DDoS-SlowLoris,0.8186112692088787,1.0
192,16,12,DDoS-SynonymousIP_Flood,0.32162522459862053,0.8
192,16,12,DDoS-TCP_Flood,0.043184995340167745,0.4
192,16,12,DDoS-UDP_Flood,0.2299469378730931,0.4
192,16,12,DDoS-UDP_Fragmentation,0.5886728033472803,0.6
192,16,12,DNS_Spoofing,0.2933297615858559,0.8
192,16,12,DictionaryBruteForce,0.38071428571428567,1.0
192,16,12,DoS-HTTP_Flood,0.583400167863471,1.0
192,16,12,DoS-SYN_Flood,-0.16967795515364031,0.0
192,16,12,DoS-TCP_Flood,0.616487185009692,1.0
192,16,12,DoS-UDP_Flood,0.4100860677783754,0.8
192,16,12,MITM-ArpSpoofing,0.11344369656176097,0.6
192,16,12,Mirai-greeth_flood,0.5992530979460193,0.6
192,16,12,Mirai-greip_flood,0.5432220570347345,0.6
192,16,12,Mirai-udpplain,0.6012404712404712,0.6
192,16,12,Recon-HostDiscovery,0.4301547678482277,1.0
192,16,12,Recon-OSScan,0.10108462867012089,0.6
192,16,12,Recon-PingSweep,0.007058823529411765,0.0
192,16,12,Recon-PortScan,0.19222397607377256,0.8
192,16,12,SqlInjection,0.07115628970775095,0.0
192,16,12,Uploading_Attack,0.026595744680851064,0.0
192,16,12,VulnerabilityScan,0.36837846873955205,0.8
192,16,12,XSS,0.03604852686308492,0.0
192,24,8,Backdoor_Malware,0.03561076604554865,0.0
192,24,8,BenignTraffic,0.4714872582746067,0.8
192,24,8,BrowserHijacking,0.02094361334867664,0.0
192,24,8,CommandInjection,0.05957972805933252,0.0
192,24,8,DDoS-ACK_Fragmentation,0.38461435547528267,0.6
192,24,8,DDoS-HTTP_Flood,0.19222042139384116,0.6
192,24,8,DDoS-ICMP_Flood,0.011624753451676484,0.0
192,24,8,DDoS-ICMP_Fragmentation,0.2187383052659717,0.2
192,24,8,DDoS-PSHACK_Flood,0.5255539449161317,0.6
192,24,8,DDoS-RSTFINFlood,0.33843867055116245,0.6
192,24,8,DDoS-SYN_Flood,-0.20628847621470364,0.4
192,24,8,DDoS-SlowLoris,0.8011383039271486,1.0
192,24,8,DDoS-SynonymousIP_Flood,0.5350026082420449,0.8
