seed,cell,prunable_sparsity,body_sparsity,whole_model_sparsity,prunable_params,body_params,total_params,remaining_nonzero_prunable,remaining_nonzero_total
0,prune90,0.8985009619495511,0.8999972873263888,0.8851222700909896,224544,221184,227938,22791,26185
0,prune95,0.947747434801197,0.9499918619791666,0.9336354622748291,224544,221184,227938,11733,15127
0,prune97,0.9674674005985464,0.9700113932291666,0.9530617975063395,224544,221184,227938,7305,10699
0,prune98p5,0.9822440145361265,0.9850124782986112,0.9676183874562381,224544,221184,227938,3987,7381
1,prune90,0.8985009619495511,0.8999972873263888,0.8851222700909896,224544,221184,227938,22791,26185
1,prune95,0.947747434801197,0.9499918619791666,0.9336354622748291,224544,221184,227938,11733,15127
1,prune97,0.9674674005985464,0.9700113932291666,0.9530617975063395,224544,221184,227938,7305,10699
1,prune98p5,0.9822440145361265,0.9850124782986112,0.9676183874562381,224544,221184,227938,3987,7381
2,prune90,0.8985009619495511,0.8999972873263888,0.8851222700909896,224544,221184,227938,22791,26185
2,prune95,0.947747434801197,0.9499918619791666,0.9336354622748291,224544,221184,227938,11733,15127
2,prune97,0.9674674005985464,0.9700113932291666,0.9530617975063395,224544,221184,227938,7305,10699
2,prune98p5,0.9822440145361265,0.9850124782986112,0.9676183874562381,224544,221184,227938,3987,7381
3,prune90,0.8985009619495511,0.8999972873263888,0.8851222700909896,224544,221184,227938,22791,26185
3,prune95,0.947747434801197,0.9499918619791666,0.9336354622748291,224544,221184,227938,11733,15127
3,prune97,0.9674674005985464,0.9700113932291666,0.9530617975063395,224544,221184,227938,7305,10699
3,prune98p5,0.9822440145361265,0.9850124782986112,0.9676183874562381,224544,221184,227938,3987,7381
4,prune90,0.8985009619495511,0.8999972873263888,0.8851222700909896,224544,221184,227938,22791,26185
4,prune95,0.947747434801197,0.9499918619791666,0.9336354622748291,224544,221184,227938,11733,15127
4,prune97,0.9674674005985464,0.9700113932291666,0.9530617975063395,224544,221184,227938,7305,10699
4,prune98p5,0.9822440145361265,0.9850124782986112,0.9676183874562381,224544,221184,227938,3987,7381
