arch,cell,M0,before,after,loss_before,loss_after,benign_to_attack_before,benign_to_attack_after,benign_to_attack_dense,exact_attack_before,exact_attack_after,damaged_before,damaged_after,recovered_fraction
cnn1d,f128_uniform80,0.5376346193846283,0.3468980501417614,0.52102821381916,0.19073656924286692,0.01660640556546835,0.7993119802277813,0.32319561804882935,0.2857553187936275,0.5289095565440086,0.6982130822405792,8,0,0.9129353871080524
cnn1d,global80,0.5416217551106152,0.5273932344004016,0.5266308398699623,0.014228520710213455,0.014990915240652835,0.3395945359206439,0.31139908486690493,0.28621622524297785,0.7032930891725877,0.7001270868234071,0,1,-0.053582135906238004
cnn1d,gradual_global,0.5416217551106152,0.5122352858535884,0.5334299123218595,0.02938646925702674,0.008191842788755621,0.33810493971477235,0.23248388497378175,0.28621622524297785,0.682398089846533,0.7018943638919377,0,0,0.7212375968985512
cnn1d,gradual_perlayer,0.5416217551106152,0.3766011680834492,0.5138846797248692,0.16502058702716593,0.027737075385745925,0.7824053972813199,0.32056377542500253,0.28621622524297785,0.5635357094718195,0.6924468064621724,8,2,0.831917484445866
cnn1d,protected,0.5416217551106152,0.5290766099730393,0.5280281968836615,0.01254514513757583,0.013593558226953673,0.3076116362178952,0.3301960522360643,0.28621622524297785,0.704702212466062,0.7051204436485472,2,0,-0.08357122041080142
cnn1d,starved_densehead,0.5416217551106152,0.31588153005554914,0.5246409018485952,0.22574022505506602,0.016980853262019924,0.7251127216859825,0.31797869142647206,0.28621622524297785,0.47403770242427745,0.6968944601698343,16,0,0.9247770163342501
cnn1d,uniform80,0.5416217551106152,0.2706046247845419,0.5022851493834526,0.2710171303260732,0.03933660572716243,0.5633412377676097,0.3328078554490498,0.28621622524297785,0.4169229584272043,0.6749777598059038,17,1,0.8548556481288295
mlp,mlp_192w,0.5529526049908317,0.49463667630727065,0.5324253039276756,0.058315928683561,0.02052730106315608,0.2286496776994756,0.22221702681941152,0.21046725226278346,0.662984614792136,0.7003103999383822,4,0,0.6479983852346224
mlp,mlp_38w,0.5529526049908317,0.22969305760676817,0.3714414063075682,0.3232595473840635,0.18151119868326349,0.6879329347717177,0.41840953875956044,0.21046725226278346,0.35980359309109816,0.5217106656653765,18,15,0.4384970215044857
mlp,mlp_96w,0.5529526049908317,0.3753227891918378,0.4735325653002409,0.17762981579899384,0.0794200396905908,0.36127717845095353,0.264246351157276,0.21046725226278346,0.5230762713496235,0.6430812778002426,13,5,0.5528901534162337
