filters,dose,class,mean_recall_loss,affected_frequency
32,0.802,Backdoor_Malware,0.011594202898550725,0.0
32,0.802,BenignTraffic,0.5246852142547009,0.8
32,0.802,BrowserHijacking,-0.06490218642117376,0.0
32,0.802,CommandInjection,0.04721878862793573,0.0
32,0.802,DDoS-ACK_Fragmentation,0.7645996387718241,0.8
32,0.802,DDoS-HTTP_Flood,0.7361889326232924,1.0
32,0.802,DDoS-ICMP_Flood,0.7963264299802761,0.8
32,0.802,DDoS-ICMP_Fragmentation,0.6119687249398555,0.8
32,0.802,DDoS-PSHACK_Flood,0.34859184096086143,0.4
32,0.802,DDoS-RSTFINFlood,0.7991200428087282,0.8
32,0.802,DDoS-SYN_Flood,0.3009310607987789,0.4
32,0.802,DDoS-SlowLoris,0.5763232783153102,0.8
32,0.802,DDoS-SynonymousIP_Flood,0.4410015649452269,1.0
32,0.802,DDoS-TCP_Flood,0.5962138863000932,0.8
32,0.802,DDoS-UDP_Flood,0.4412447490603581,0.6
32,0.802,DDoS-UDP_Fragmentation,0.9192569037656904,1.0
32,0.802,DNS_Spoofing,0.561356243542153,1.0
32,0.802,DictionaryBruteForce,0.3443877551020408,1.0
32,0.802,DoS-HTTP_Flood,0.5556653921477199,0.8
32,0.802,DoS-SYN_Flood,-0.32598505121343546,0.2
32,0.802,DoS-TCP_Flood,0.11913633426663794,0.2
32,0.802,DoS-UDP_Flood,0.44302492379415453,0.8
32,0.802,MITM-ArpSpoofing,0.11479716208841184,0.4
32,0.802,Mirai-greeth_flood,0.7822916313019861,0.8
32,0.802,Mirai-greip_flood,0.7833761319097176,0.8
32,0.802,Mirai-udpplain,0.78996534996535,0.8
32,0.802,Recon-HostDiscovery,0.41438841737393906,0.8
32,0.802,Recon-OSScan,0.08692227979274611,0.4
32,0.802,Recon-PingSweep,0.000588235294117647,0.0
32,0.802,Recon-PortScan,0.16097034144720446,0.8
32,0.802,SqlInjection,0.02210927573062262,0.0
32,0.802,Uploading_Attack,0.00425531914893617,0.0
32,0.802,VulnerabilityScan,0.43654296221999334,0.8
32,0.802,XSS,0.004159445407279029,0.0
32,0.896,Backdoor_Malware,0.011594202898550725,0.0
32,0.896,BenignTraffic,0.4511606158778932,0.8
32,0.896,BrowserHijacking,-0.14890678941311852,0.0
32,0.896,CommandInjection,0.04721878862793573,0.0
32,0.896,DDoS-ACK_Fragmentation,0.8486052578767811,1.0
32,0.896,DDoS-HTTP_Flood,0.8560777957860616,1.0
32,0.896,DDoS-ICMP_Flood,0.20352564102564102,0.2
32,0.896,DDoS-ICMP_Fragmentation,0.769480085538626,0.8
32,0.896,DDoS-PSHACK_Flood,0.7984675916338786,0.8
32,0.896,DDoS-RSTFINFlood,0.9988346512872347,1.0
32,0.896,DDoS-SYN_Flood,0.10103281607733398,0.4
32,0.896,DDoS-SlowLoris,0.9096755833807627,1.0
32,0.896,DDoS-SynonymousIP_Flood,0.3641685503970324,0.8
32,0.896,DDoS-TCP_Flood,0.5955964585274931,0.8
32,0.896,DDoS-UDP_Flood,0.11626133097501656,0.4
32,0.896,DDoS-UDP_Fragmentation,0.7931782426778243,0.8
32,0.896,DNS_Spoofing,0.5346446749071984,1.0
32,0.896,DictionaryBruteForce,0.3930612244897959,1.0
32,0.896,DoS-HTTP_Flood,0.5501445491000653,0.8
32,0.896,DoS-SYN_Flood,0.2073359785918612,0.4
32,0.896,DoS-TCP_Flood,0.12431617488692655,0.4
32,0.896,DoS-UDP_Flood,0.6288147749686211,1.0
32,0.896,MITM-ArpSpoofing,0.11201746407131163,0.4
32,0.896,Mirai-greeth_flood,0.7816397895094211,0.8
32,0.896,Mirai-greip_flood,0.9461413704554669,1.0
32,0.896,Mirai-udpplain,0.9879417879417879,1.0
32,0.896,Recon-HostDiscovery,0.5689166250624064,0.8
32,0.896,Recon-OSScan,0.1087392055267703,0.4
32,0.896,Recon-PingSweep,0.000588235294117647,0.0
32,0.896,Recon-PortScan,0.2116141895821218,1.0
32,0.896,SqlInjection,0.03939008894536213,0.0
32,0.896,Uploading_Attack,0.00425531914893617,0.0
32,0.896,VulnerabilityScan,0.6348913406887329,1.0
32,0.896,XSS,0.004506065857885615,0.0
128,0.0,Backdoor_Malware,0.005383022774327123,0.0
128,0.0,BenignTraffic,-0.0011422464179553283,0.0
128,0.0,BrowserHijacking,0.002071346375143844,0.0
128,0.0,CommandInjection,0.02323856613102596,0.0
128,0.0,DDoS-ACK_Fragmentation,-0.011318482841661637,0.2
128,0.0,DDoS-HTTP_Flood,-0.0060199120166705145,0.0
128,0.0,DDoS-ICMP_Flood,3.698224852073384e-05,0.0
128,0.0,DDoS-ICMP_Fragmentation,-0.0005813953488372104,0.0
128,0.0,DDoS-PSHACK_Flood,0.000331331538620816,0.0
128,0.0,DDoS-RSTFINFlood,-2.3782626791124527e-05,0.0
128,0.0,DDoS-SYN_Flood,0.13355380310353598,0.2
128,0.0,DDoS-SlowLoris,-0.009504837791690379,0.0
128,0.0,DDoS-SynonymousIP_Flood,-0.19535153306671305,0.0
128,0.0,DDoS-TCP_Flood,-0.03935228331780055,0.2
128,0.0,DDoS-UDP_Flood,0.03816051293389344,0.4
128,0.0,DDoS-UDP_Fragmentation,0.0005690376569037925,0.0
128,0.0,DNS_Spoofing,-0.0031380352837625746,0.0
128,0.0,DictionaryBruteForce,-0.04581632653061224,0.0
128,0.0,DoS-HTTP_Flood,0.012701669308962082,0.0
128,0.0,DoS-SYN_Flood,0.02866106856140998,0.0
128,0.0,DoS-TCP_Flood,0.07001938401895323,0.2
128,0.0,DoS-UDP_Flood,-0.021570736955352377,0.2
128,0.0,MITM-ArpSpoofing,-0.01979261415317446,0.0
128,0.0,Mirai-greeth_flood,0.0025462570022067423,0.0
128,0.0,Mirai-greip_flood,-0.005054737126638731,0.0
128,0.0,Mirai-udpplain,1.3860013859967601e-05,0.0
128,0.0,Recon-HostDiscovery,-0.02097853220169743,0.0
128,0.0,Recon-OSScan,0.0031364421416234913,0.0
128,0.0,Recon-PingSweep,0.0,0.0
128,0.0,Recon-PortScan,-0.007825870233446875,0.0
128,0.0,SqlInjection,0.011435832274459976,0.0
128,0.0,Uploading_Attack,0.015957446808510637,0.0
128,0.0,VulnerabilityScan,0.02443329989969909,0.2
128,0.0,XSS,-0.00034662045060658634,0.0
128,0.5,Backdoor_Malware,0.004140786749482402,0.0
128,0.5,BenignTraffic,0.13226011155272033,0.4
128,0.5,BrowserHijacking,0.006444188722669736,0.0
128,0.5,CommandInjection,0.034363411619283066,0.0
128,0.5,DDoS-ACK_Fragmentation,-0.005839855508729674,0.0
128,0.5,DDoS-HTTP_Flood,-0.03672146330169022,0.2
128,0.5,DDoS-ICMP_Flood,0.0001109467455621349,0.0
128,0.5,DDoS-ICMP_Fragmentation,0.0012095696337877549,0.0
128,0.5,DDoS-PSHACK_Flood,-0.0001138952164009055,0.0
128,0.5,DDoS-RSTFINFlood,0.00011891313395560044,0.0
128,0.5,DDoS-SYN_Flood,-0.22894937674891885,0.0
128,0.5,DDoS-SlowLoris,0.12231075697211155,0.6
128,0.5,DDoS-SynonymousIP_Flood,-0.022546803454471687,0.2
128,0.5,DDoS-TCP_Flood,0.000500931966449214,0.4
128,0.5,DDoS-UDP_Flood,0.16874861817377845,0.6
128,0.5,DDoS-UDP_Fragmentation,0.004518828451882872,0.0
128,0.5,DNS_Spoofing,0.09714132639393823,0.6
128,0.5,DictionaryBruteForce,0.01622448979591836,0.0
128,0.5,DoS-HTTP_Flood,0.18151636668842677,0.4
128,0.5,DoS-SYN_Flood,0.12494232721232815,0.0
128,0.5,DoS-TCP_Flood,0.06942709455093687,0.2
128,0.5,DoS-UDP_Flood,-0.07407208176438948,0.2
128,0.5,MITM-ArpSpoofing,-0.0218883027105694,0.0
128,0.5,Mirai-greeth_flood,0.014944831098285505,0.0
128,0.5,Mirai-greip_flood,8.109203946478072e-05,0.0
128,0.5,Mirai-udpplain,0.005585585585585573,0.0
128,0.5,Recon-HostDiscovery,0.011702446330504258,0.2
128,0.5,Recon-OSScan,-0.04338514680483592,0.2
128,0.5,Recon-PingSweep,0.0,0.0
128,0.5,Recon-PortScan,0.04851707236022265,0.2
128,0.5,SqlInjection,0.03227445997458704,0.0
128,0.5,Uploading_Attack,0.015957446808510637,0.0
128,0.5,VulnerabilityScan,0.05955867602808421,0.2
128,0.5,XSS,0.0038128249566724433,0.0
128,0.75,Backdoor_Malware,0.007039337474120083,0.0
128,0.75,BenignTraffic,0.27962325907618313,0.8
128,0.75,BrowserHijacking,-0.011737629459148448,0.0
128,0.75,CommandInjection,0.03288009888751545,0.0
128,0.75,DDoS-ACK_Fragmentation,0.16317479430062212,0.2
128,0.75,DDoS-HTTP_Flood,0.2289881917110442,0.6
128,0.75,DDoS-ICMP_Flood,0.0015162721893491105,0.0
128,0.75,DDoS-ICMP_Fragmentation,0.05547313552526063,0.2
128,0.75,DDoS-PSHACK_Flood,0.060499068130047615,0.2
128,0.75,DDoS-RSTFINFlood,8.323919376891364e-05,0.0
128,0.75,DDoS-SYN_Flood,-0.3226252861867209,0.0
128,0.75,DDoS-SlowLoris,0.2671599317017644,0.6
128,0.75,DDoS-SynonymousIP_Flood,0.06482350895496433,0.0
128,0.75,DDoS-TCP_Flood,0.09218313140726934,0.4
128,0.75,DDoS-UDP_Flood,0.23862480654432897,0.6
128,0.75,DDoS-UDP_Fragmentation,0.18019748953974896,0.2
128,0.75,DNS_Spoofing,0.15186560024491985,0.4
128,0.75,DictionaryBruteForce,0.04428571428571428,0.2
128,0.75,DoS-HTTP_Flood,0.1164972489042246,0.6
128,0.75,DoS-SYN_Flood,0.14895266217587894,0.0
128,0.75,DoS-TCP_Flood,0.01971785483523585,0.2
128,0.75,DoS-UDP_Flood,-0.06522323830016141,0.2
