seed,cell,test_macro_f1
0,M0,0.4890224245248246
0,prune50,0.5018425322931286
0,prune80,0.47320634123121297
1,M0,0.500997756217985
1,prune50,0.49889026681523
1,prune80,0.4762107924706181
2,M0,0.4932152709043809
2,prune50,0.5011387710717804
2,prune80,0.4794193548040724
3,M0,0.500871127316894
3,prune50,0.49064954553449514
3,prune80,0.47340109212031933
4,M0,0.4793464364857323
4,prune50,0.4913744733125397
4,prune80,0.46763255193643116
