seed_a,seed_b,global_nonzero_mask_jaccard
0,1,0.11808755760368664
0,2,0.11487650775416428
0,3,0.1170151544216382
0,4,0.1100943665999428
1,2,0.11285236502627807
1,3,0.11263972484952708
1,4,0.12543486664089679
2,3,0.12056191667468488
2,4,0.10872048743335871
3,4,0.11808755760368664
