seed,cell,class,M0_test_recall,compressed_test_recall,recall_loss,validation_tier,validation_2sd_band,crosses_validation_band,practically_material,material_and_beyond_band
0,prune50,Uploading_Attack,0.02127659574468085,0.010638297872340425,0.010638297872340425,floored,0.02854554864893348,False,False,False
0,prune50,Recon-PingSweep,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune50,Backdoor_Malware,0.004140786749482402,0.004140786749482402,0.0,floored,0.03750541589535823,False,False,False
0,prune50,XSS,0.02772963604852686,0.01733102253032929,0.010398613518197573,floored,0.014908709301633669,False,False,False
0,prune50,SqlInjection,0.04701397712833545,0.03811944091486658,0.008894536213468869,floored,0.030357587108549838,False,False,False
0,prune50,CommandInjection,0.0630407911001236,0.0580964153275649,0.004944375772558705,floored,0.032744446919116224,False,False,False
0,prune50,BrowserHijacking,0.019562715765247412,0.00805523590333717,0.011507479861910242,measurable,0.02777429715263441,False,False,False
0,prune50,DictionaryBruteForce,0.32755102040816325,0.39285714285714285,-0.0653061224489796,measurable,0.050344329023276055,False,False,False
0,prune50,DDoS-SlowLoris,0.954183266932271,0.9223107569721115,0.031872509960159445,robust,0.03310488431469255,False,False,False
0,prune50,DDoS-HTTP_Flood,0.7960175966658949,0.8844639962954387,-0.08844639962954381,measurable,0.06283048765589343,False,False,False
0,prune50,DoS-HTTP_Flood,0.8669215704560291,0.7629394758929404,0.10398209456308871,robust,0.03985415067034641,True,True,True
0,prune50,Recon-PortScan,0.2467392207360638,0.17961286034726262,0.06712636038880118,measurable,0.07985045010637541,False,False,False
0,prune50,Recon-OSScan,0.11454231433506044,0.07682210708117444,0.037720207253886,measurable,0.10326414789120288,False,False,False
0,prune50,DDoS-ICMP_Flood,0.997904339250493,0.9976577909270217,0.0002465483234713739,robust,0.0012315082587516983,False,False,False
0,prune50,DDoS-RSTFINFlood,0.9991676080623105,0.9990486949283548,0.00011891313395573366,robust,0.0010455514158798306,False,False,False
0,prune50,DDoS-TCP_Flood,0.6484739049394221,0.3648066169617894,0.28366728797763274,unstable_confusable,0.23415091411258288,True,True,True
0,prune50,DDoS-SynonymousIP_Flood,0.34167970787689095,0.27050368051933,0.07117602735756096,unstable_confusable,0.235929254057588,False,False,False
0,prune50,DDoS-UDP_Flood,0.7421512270616847,0.6086115410126023,0.1335396860490824,measurable,0.09047640950289787,True,True,True
0,prune50,DoS-TCP_Flood,0.41158733577428386,0.6875403833728193,-0.27595304759853545,unstable_confusable,0.2643813212009498,False,False,False
0,prune50,DDoS-PSHACK_Flood,0.9983433423068958,0.9984468834127148,-0.000103541105819005,robust,0.11038504026051069,False,False,False
0,prune50,DDoS-SYN_Flood,0.5225642330195879,0.03922665988298143,0.48333757313660647,unstable_confusable,0.5238379149660953,False,True,False
0,prune50,Recon-HostDiscovery,0.7047428856714928,0.809335996005991,-0.10459311033449825,measurable,0.05981364338037638,False,False,False
0,prune50,DoS-SYN_Flood,0.16439051397988372,0.39503552643720585,-0.23064501245732213,measurable,0.1338491875766533,False,False,False
0,prune50,DoS-UDP_Flood,0.6823112784651246,0.7695445580060964,-0.08723327954097182,robust,0.013090549202921372,False,False,False
0,prune50,DNS_Spoofing,0.612758792239103,0.6302858673606062,-0.0175270751215032,measurable,0.09199911478240713,False,False,False
0,prune50,MITM-ArpSpoofing,0.12505002728761141,0.07877023831180643,0.04627978897580498,measurable,0.07459414892841161,False,False,False
0,prune50,Mirai-udpplain,0.9874220374220374,0.9916493416493416,-0.004227304227304218,robust,0.0030144583209302193,False,False,False
0,prune50,Mirai-greeth_flood,0.9728399253097946,0.8911899507723646,0.08164997453742995,robust,0.015483301867355035,True,False,False
0,prune50,Mirai-greip_flood,0.9839167455061495,0.9709420191917827,0.012974726314366802,robust,0.01286645097872988,True,False,False
0,prune50,DDoS-UDP_Fragmentation,0.9898242677824268,0.9893891213389121,0.0004351464435147223,robust,0.001461089802842454,False,False,False
0,prune50,DDoS-ACK_Fragmentation,0.9651481704461837,0.9654491939260151,-0.0003010234798314082,robust,0.0004267613327376908,False,False,False
0,prune50,VulnerabilityScan,0.6740220661985958,0.6869943162821799,-0.012972250083584047,measurable,0.08585360693926365,False,False,False
0,prune50,DDoS-ICMP_Fragmentation,0.9721331194867683,0.9666198877305533,0.005513231756214987,robust,0.0009734754201886736,True,False,False
0,prune50,BenignTraffic,0.6791022343943088,0.7147055876557229,-0.03560335326141406,measurable,0.08575705286341911,False,False,False
0,prune80,Uploading_Attack,0.02127659574468085,0.0,0.02127659574468085,floored,0.02854554864893348,False,False,False
0,prune80,Recon-PingSweep,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune80,Backdoor_Malware,0.004140786749482402,0.0,0.004140786749482402,floored,0.03750541589535823,False,False,False
0,prune80,XSS,0.02772963604852686,0.0,0.02772963604852686,floored,0.014908709301633669,True,False,False
0,prune80,SqlInjection,0.04701397712833545,0.0,0.04701397712833545,floored,0.030357587108549838,True,False,False
0,prune80,CommandInjection,0.0630407911001236,0.0,0.0630407911001236,floored,0.032744446919116224,True,False,False
0,prune80,BrowserHijacking,0.019562715765247412,0.0,0.019562715765247412,measurable,0.02777429715263441,False,False,False
0,prune80,DictionaryBruteForce,0.32755102040816325,0.21887755102040815,0.1086734693877551,measurable,0.050344329023276055,True,True,True
0,prune80,DDoS-SlowLoris,0.954183266932271,0.0,0.954183266932271,robust,0.03310488431469255,True,True,True
0,prune80,DDoS-HTTP_Flood,0.7960175966658949,0.977772632553832,-0.18175503588793707,measurable,0.06283048765589343,False,False,False
0,prune80,DoS-HTTP_Flood,0.8669215704560291,0.21290683577357084,0.6540147346824583,robust,0.03985415067034641,True,True,True
0,prune80,Recon-PortScan,0.2467392207360638,0.0027415468970673758,0.24399767383899643,measurable,0.07985045010637541,True,True,True
0,prune80,Recon-OSScan,0.11454231433506044,6.90846286701209e-05,0.11447322970639032,measurable,0.10326414789120288,True,True,True
0,prune80,DDoS-ICMP_Flood,0.997904339250493,0.9977194280078896,0.00018491124260344716,robust,0.0012315082587516983,False,False,False
0,prune80,DDoS-RSTFINFlood,0.9991676080623105,0.9987514120934657,0.00041619596884479026,robust,0.0010455514158798306,False,False,False
0,prune80,DDoS-TCP_Flood,0.6484739049394221,0.008853681267474371,0.6396202236719478,unstable_confusable,0.23415091411258288,True,True,True
