seed,cell,taps,mode,live_filters,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable
0,tapspread38,38,spread,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
0,tapconc38,38,concentrated,13,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
0,tapspread96,96,spread,64,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
0,tapconc96,96,concentrated,32,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
1,tapspread38,38,spread,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
1,tapconc38,38,concentrated,13,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
1,tapspread96,96,spread,64,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
1,tapconc96,96,concentrated,32,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
2,tapspread38,38,spread,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
2,tapconc38,38,concentrated,13,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
2,tapspread96,96,spread,64,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
2,tapconc96,96,concentrated,32,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
3,tapspread38,38,spread,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
3,tapconc38,38,concentrated,13,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
3,tapspread96,96,spread,64,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
3,tapconc96,96,concentrated,32,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
4,tapspread38,38,spread,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
4,tapconc38,38,concentrated,13,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
4,tapspread96,96,spread,64,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
4,tapconc96,96,concentrated,32,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881
