cell,class,mean_recall_loss,affected_frequency
tapspread38,DoS-UDP_Flood,0.4209431594046979,0.8
tapspread38,MITM-ArpSpoofing,0.10227396761870111,0.6
tapspread38,Mirai-greeth_flood,0.013586827363775256,0.0
tapspread38,Mirai-greip_flood,0.7921611028517367,0.8
tapspread38,Mirai-udpplain,0.5984615384615385,0.6
tapspread38,Recon-HostDiscovery,0.5230654018971543,0.8
tapspread38,Recon-OSScan,0.1391364421416235,0.8
tapspread38,Recon-PingSweep,0.0017647058823529412,0.0
tapspread38,Recon-PortScan,0.16015618509595414,0.8
tapspread38,SqlInjection,0.05184243964421855,0.0
tapspread38,Uploading_Attack,0.019148936170212766,0.0
tapspread38,VulnerabilityScan,0.30268806419257777,0.6
tapspread38,XSS,0.015944540727902946,0.0
tapspread96,Backdoor_Malware,0.013250517598343687,0.0
tapspread96,BenignTraffic,0.0019171036371530726,0.0
tapspread96,BrowserHijacking,0.003682393555811278,0.0
tapspread96,CommandInjection,0.04128553770086526,0.0
tapspread96,DDoS-ACK_Fragmentation,-0.03818315606395075,0.0
tapspread96,DDoS-HTTP_Flood,0.008890946978467217,0.0
tapspread96,DDoS-ICMP_Flood,0.00030818540433921184,0.0
tapspread96,DDoS-ICMP_Fragmentation,-0.00022052927024860392,0.0
tapspread96,DDoS-PSHACK_Flood,-0.0003416856492027165,0.0
tapspread96,DDoS-RSTFINFlood,0.0,0.0
tapspread96,DDoS-SYN_Flood,0.11820910709743067,0.0
tapspread96,DDoS-SlowLoris,0.027091633466135457,0.0
tapspread96,DDoS-SynonymousIP_Flood,-0.09884657740682781,0.2
tapspread96,DDoS-TCP_Flood,-0.10161929170549863,0.2
tapspread96,DDoS-UDP_Flood,-0.008699977890780475,0.2
tapspread96,DDoS-UDP_Fragmentation,0.0016602510460251186,0.0
tapspread96,DNS_Spoofing,0.03770999961731275,0.2
tapspread96,DictionaryBruteForce,0.062346938775510195,0.2
tapspread96,DoS-HTTP_Flood,0.026149398489228794,0.0
tapspread96,DoS-SYN_Flood,-0.012558826243425308,0.0
tapspread96,DoS-TCP_Flood,0.14409864311867326,0.4
tapspread96,DoS-UDP_Flood,0.00010758472296934496,0.0
tapspread96,MITM-ArpSpoofing,-0.002292159359650722,0.0
tapspread96,Mirai-greeth_flood,0.0025123069088440085,0.0
tapspread96,Mirai-greip_flood,0.007872685498040256,0.0
tapspread96,Mirai-udpplain,0.0023076923076922997,0.0
tapspread96,Recon-HostDiscovery,0.008177733399900156,0.0
tapspread96,Recon-OSScan,0.06832469775474956,0.4
tapspread96,Recon-PingSweep,0.0017647058823529412,0.0
tapspread96,Recon-PortScan,0.048384148874304235,0.0
tapspread96,SqlInjection,0.049301143583227444,0.0
tapspread96,Uploading_Attack,0.019148936170212766,0.0
tapspread96,VulnerabilityScan,0.01201604814443329,0.2
tapspread96,XSS,0.010745233968804158,0.0
