cell,n,mean,sd,min,max
M0,5,0.4926906030899634,0.009051620882230224,0.4793464364857323,0.500997756217985
prune90,5,0.4583631948972675,0.005179882792301781,0.449645402024767,0.46285271633733643
prune95,5,0.4371496430503695,0.0072843148987728245,0.4254539033661391,0.443181953652934
prune97,5,0.42255146435336693,0.017045395635350322,0.3993933092228574,0.4397705868341534
prune98p5,5,0.39664237242542455,0.017681982253364686,0.370375185356472,0.41513793857160836
