recipe,strategy,misattribution,attack_to_benign,cross_family,wrong_family_or_benign,n_types
default_layerwise80,blind_spot_set,0.6456138050735332,0.03422489917762863,0.5375440621712968,0.5717689613489254,3.0
default_layerwise80,random_over_detectable,0.5133945329314897,0.028978351532972634,0.28329873046822956,0.31227708200120224,19.0
dense,blind_spot_set,0.19314959387727415,0.01606018793091454,0.13072130273505192,0.14678149066596646,3.0
dense,random_over_detectable,0.16216294057831723,0.015518080656914904,0.09796884750799174,0.11348692816490664,19.0
global80,blind_spot_set,0.2599030664104619,0.015636247727763158,0.19603156164787483,0.21166780937563798,3.0
global80,random_over_detectable,0.16473317320872283,0.015347568594728434,0.10794734099908607,0.1232949095938145,19.0
protect_conv0,blind_spot_set,0.22700534278614476,0.01457297885314485,0.15878975489535802,0.17336273374850286,3.0
protect_conv0,random_over_detectable,0.1633533901567501,0.015118557214768086,0.10402238830024754,0.11914094551501564,19.0
