recipe,benign_to_attack_rate_mean,sd
default_layerwise80,0.5633412377676097,0.4268498455192698
protect_conv0,0.30761163621789517,0.0642837417598897
global80,0.3395945359206439,0.08028505815838631
dense,0.28621622524297785,0.04194282811373838
