seed,cell,taps,mode,test_macro_f1
0,M0,192,none,0.5451385144815333
0,tapspread38,38,spread,0.08389001048411898
0,tapconc38,38,concentrated,0.1805923905639853
0,tapspread96,96,spread,0.5114280363258548
0,tapconc96,96,concentrated,0.42828034203639453
1,M0,192,none,0.5493973430465274
1,tapspread38,38,spread,0.3603351560870152
1,tapconc38,38,concentrated,0.03554317216234664
1,tapspread96,96,spread,0.5235939798611323
1,tapconc96,96,concentrated,0.23300985017513956
2,M0,192,none,0.5360538093973034
2,tapspread38,38,spread,0.39412174236973757
2,tapconc38,38,concentrated,0.047972793861462124
2,tapspread96,96,spread,0.5289934065987341
2,tapconc96,96,concentrated,0.32765834475509936
3,M0,192,none,0.5406188037061865
3,tapspread38,38,spread,0.15206563635820297
3,tapconc38,38,concentrated,0.04164575436241227
3,tapspread96,96,spread,0.5282306833336252
3,tapconc96,96,concentrated,0.40219861328651435
4,M0,192,none,0.536900304921525
4,tapspread38,38,spread,0.13565518111058483
4,tapconc38,38,concentrated,0.029129134433930455
4,tapspread96,96,spread,0.5237417689527376
4,tapconc96,96,concentrated,0.25525852223833656
