seed,T,K,F,class,recall_loss,material_and_beyond_band
0,96,96,1,Uploading_Attack,0.010638297872340425,False
0,96,96,1,Recon-PingSweep,0.008823529411764706,False
0,96,96,1,Backdoor_Malware,0.041407867494824016,False
0,96,96,1,XSS,0.02772963604852686,False
0,96,96,1,SqlInjection,0.06480304955527319,False
0,96,96,1,CommandInjection,0.08034610630407911,False
0,96,96,1,BrowserHijacking,0.02991944764096663,False
0,96,96,1,DictionaryBruteForce,0.44642857142857145,True
0,96,96,1,DDoS-SlowLoris,0.9621513944223108,True
0,96,96,1,DDoS-HTTP_Flood,0.3940727020143552,True
0,96,96,1,DoS-HTTP_Flood,0.52737107152849,True
0,96,96,1,Recon-PortScan,0.19822214837584115,True
0,96,96,1,Recon-OSScan,0.16041450777202074,True
0,96,96,1,DDoS-ICMP_Flood,0.9984590729783037,True
0,96,96,1,DDoS-RSTFINFlood,0.00017836970093354498,False
0,96,96,1,DDoS-TCP_Flood,0.6638513513513513,True
0,96,96,1,DDoS-SynonymousIP_Flood,0.6469599489943778,True
0,96,96,1,DDoS-UDP_Flood,0.4846893654653991,True
0,96,96,1,DoS-TCP_Flood,0.5556213654964463,True
0,96,96,1,DDoS-PSHACK_Flood,0.9982398012010768,True
0,96,96,1,DDoS-SYN_Flood,0.2689900788603409,True
0,96,96,1,Recon-HostDiscovery,0.7954068896655018,True
0,96,96,1,DoS-SYN_Flood,0.1754636892128818,False
0,96,96,1,DoS-UDP_Flood,0.826474807244038,True
0,96,96,1,DNS_Spoofing,0.611955149056676,True
0,96,96,1,MITM-ArpSpoofing,0.14742586865563034,True
0,96,96,1,Mirai-udpplain,0.9937629937629938,True
0,96,96,1,Mirai-greeth_flood,0.9903242233916143,True
0,96,96,1,Mirai-greip_flood,0.9901675902148939,True
0,96,96,1,DDoS-UDP_Fragmentation,0.9919330543933055,True
0,96,96,1,DDoS-ACK_Fragmentation,0.9718041340557897,True
0,96,96,1,VulnerabilityScan,-0.2673353393513874,False
0,96,96,1,DDoS-ICMP_Fragmentation,0.9735030740443732,True
0,96,96,1,BenignTraffic,0.7926922948465315,True
0,96,32,3,Uploading_Attack,0.010638297872340425,False
0,96,32,3,Recon-PingSweep,0.008823529411764706,False
0,96,32,3,Backdoor_Malware,0.041407867494824016,False
0,96,32,3,XSS,0.02772963604852686,False
0,96,32,3,SqlInjection,0.06480304955527319,False
0,96,32,3,CommandInjection,0.08034610630407911,False
0,96,32,3,BrowserHijacking,0.02991944764096663,False
0,96,32,3,DictionaryBruteForce,0.44642857142857145,True
0,96,32,3,DDoS-SlowLoris,0.9587364826408652,True
0,96,32,3,DDoS-HTTP_Flood,0.05348460291734192,False
0,96,32,3,DoS-HTTP_Flood,0.8919145761447356,True
0,96,32,3,Recon-PortScan,0.2086898728919166,True
0,96,32,3,Recon-OSScan,0.14949913644214163,True
0,96,32,3,DDoS-ICMP_Flood,0.10804980276134124,True
0,96,32,3,DDoS-RSTFINFlood,0.03163089363220173,False
0,96,32,3,DDoS-TCP_Flood,0.6635018639328983,True
0,96,32,3,DDoS-SynonymousIP_Flood,0.6469599489943778,True
0,96,32,3,DDoS-UDP_Flood,0.4846893654653991,True
0,96,32,3,DoS-TCP_Flood,0.5283760499676933,True
0,96,32,3,DDoS-PSHACK_Flood,0.9910436943466556,True
0,96,32,3,DDoS-SYN_Flood,0.1779191045535487,False
0,96,32,3,Recon-HostDiscovery,0.7954068896655018,True
0,96,32,3,DoS-SYN_Flood,-0.11294638737658025,False
0,96,32,3,DoS-UDP_Flood,0.45786265017034244,True
0,96,32,3,DNS_Spoofing,0.611955149056676,True
0,96,32,3,MITM-ArpSpoofing,-0.08946698199017647,False
0,96,32,3,Mirai-udpplain,0.9015939015939016,True
0,96,32,3,Mirai-greeth_flood,0.8436598200645051,True
0,96,32,3,Mirai-greip_flood,0.8245708879578321,True
0,96,32,3,DDoS-UDP_Fragmentation,0.8632635983263599,True
0,96,32,3,DDoS-ACK_Fragmentation,0.1741922536624524,True
0,96,32,3,VulnerabilityScan,0.7258441992644601,True
0,96,32,3,DDoS-ICMP_Fragmentation,0.013599304998663464,False
0,96,32,3,BenignTraffic,0.7926922948465315,True
0,96,12,8,Uploading_Attack,0.010638297872340425,False
0,96,12,8,Recon-PingSweep,0.008823529411764706,False
0,96,12,8,Backdoor_Malware,0.041407867494824016,False
0,96,12,8,XSS,0.02772963604852686,False
0,96,12,8,SqlInjection,0.06480304955527319,False
0,96,12,8,CommandInjection,0.08034610630407911,False
0,96,12,8,BrowserHijacking,0.02991944764096663,False
0,96,12,8,DictionaryBruteForce,0.44642857142857145,True
0,96,12,8,DDoS-SlowLoris,0.6471257825839499,True
0,96,12,8,DDoS-HTTP_Flood,-0.0402871034961797,False
0,96,12,8,DoS-HTTP_Flood,0.7435419192390189,True
0,96,12,8,Recon-PortScan,0.14654814322505608,True
0,96,12,8,Recon-OSScan,0.16041450777202074,True
0,96,12,8,DDoS-ICMP_Flood,0.0009861932938856066,False
0,96,12,8,DDoS-RSTFINFlood,0.0005351091028004129,False
0,96,12,8,DDoS-TCP_Flood,-0.2573392357875117,False
0,96,12,8,DDoS-SynonymousIP_Flood,0.6128209586738539,True
0,96,12,8,DDoS-UDP_Flood,0.4846893654653991,True
0,96,12,8,DoS-TCP_Flood,0.5280529829851389,True
0,96,12,8,DDoS-PSHACK_Flood,0.005280596396769477,False
0,96,12,8,DDoS-SYN_Flood,0.2689900788603409,True
0,96,12,8,Recon-HostDiscovery,0.2603095356964553,True
0,96,12,8,DoS-SYN_Flood,0.13698440527821354,False
0,96,12,8,DoS-UDP_Flood,-0.15133584364353603,False
0,96,12,8,DNS_Spoofing,0.5677547740231909,True
0,96,12,8,MITM-ArpSpoofing,-0.04449699836274332,False
0,96,12,8,Mirai-udpplain,0.8412335412335413,True
0,96,12,8,Mirai-greeth_flood,0.9902902732982516,True
0,96,12,8,Mirai-greip_flood,0.008041627246925254,False
0,96,12,8,DDoS-UDP_Fragmentation,0.3983598326359833,True
0,96,12,8,DDoS-ACK_Fragmentation,0.10565924142083083,True
0,96,12,8,VulnerabilityScan,0.6233032430625209,True
0,96,12,8,DDoS-ICMP_Fragmentation,0.011193531141406088,False
