recipe,macro_f1_mean,macro_f1_sd,whole_model_sparsity,state_dict_bytes,sparse_payload_bytes,b1_median_latency_ms,b1_p95_latency_ms,b1_throughput_flows_per_s,b1024_median_latency_ms,b1024_p95_latency_ms,b1024_throughput_flows_per_s
dense,0.5416217551106152,0.005637539070732388,0.0,125683.0,118920.0,0.2604129000019384,0.339662099945599,3851.6865137714353,61.917196500030514,67.30155586001047,16539.865706607474
default_layerwise80,0.27060462478454184,0.16358164310621748,0.7836192398250925,125683.0,49024.0,0.25633230000039475,0.3441115199643717,3902.990853000791,61.286684400033664,69.07244390999949,16711.58258593809
protect_conv0,0.5290766099730393,0.012366056203299475,0.7784392869155735,125683.0,49488.0,0.26635030001216364,0.3458152700022765,3776.3559534191018,61.379425299969625,66.4692869400028,16684.270039846204
global80,0.5273932344004016,0.00647230892712673,0.7835856037672385,125683.0,49032.0,0.25214409999989584,0.3066483599786807,3966.8200568432744,62.264024499995685,69.24437982002246,16447.447194115382
