seed,cell,class,M0_test_recall,compressed_test_recall,recall_loss,validation_tier,validation_2sd_band,crosses_validation_band,practically_material,material_and_beyond_band
0,prune50,Uploading_Attack,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune50,Recon-PingSweep,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune50,Backdoor_Malware,0.0,0.0,0.0,floored,0.0047310183614072115,False,False,False
0,prune50,XSS,0.0,0.005199306759098787,-0.005199306759098787,floored,0.0,False,False,False
0,prune50,SqlInjection,0.04066073697585769,0.043202033036848796,-0.0025412960609911064,floored,0.015184111050866233,False,False,False
0,prune50,CommandInjection,0.004944375772558714,0.012360939431396786,-0.007416563658838072,floored,0.0013557489047157578,False,False,False
0,prune50,BrowserHijacking,0.0,0.0,0.0,floored,0.016046530273253593,False,False,False
0,prune50,DictionaryBruteForce,0.34183673469387754,0.33010204081632655,0.011734693877550995,measurable,0.03090397920838746,False,False,False
0,prune50,DDoS-SlowLoris,0.7959590210586227,0.8599886169607285,-0.06402959590210577,measurable,0.044761911355453585,False,False,False
0,prune50,DDoS-HTTP_Flood,0.7927761055799953,0.8138457976383422,-0.021069692058346856,measurable,0.04272368997675003,False,False,False
0,prune50,DoS-HTTP_Flood,0.8215051757903572,0.799123379651217,0.022381796139140153,measurable,0.04970415677313604,False,False,False
0,prune50,Recon-PortScan,0.16416050510924649,0.18409902799700922,-0.01993852288776274,measurable,0.03620910633519947,False,False,False
0,prune50,Recon-OSScan,0.023419689119170986,0.03164075993091537,-0.008221070811744384,floored,0.026845294680235113,False,False,False
0,prune50,DDoS-ICMP_Flood,0.9974112426035503,0.9974112426035503,0.0,robust,0.0008655566904113639,False,False,False
0,prune50,DDoS-RSTFINFlood,0.9985730423925323,0.9986919555264879,-0.00011891313395562264,robust,0.00277367196805579,False,False,False
0,prune50,DDoS-TCP_Flood,0.2806383970177074,0.2873951537744641,-0.006756756756756743,unstable_confusable,0.28920255109293425,False,False,False
0,prune50,DDoS-SynonymousIP_Flood,0.3652698081493074,0.7448559670781894,-0.379586158928882,measurable,0.10978784328412507,False,False,False
0,prune50,DDoS-UDP_Flood,0.5478111872650896,0.6252487287198761,-0.07743754145478654,unstable_confusable,0.2614476915539418,False,False,False
0,prune50,DoS-TCP_Flood,0.5881972862373466,0.8456816713331897,-0.25748438509584315,unstable_confusable,0.3331984980587084,False,False,False
0,prune50,DDoS-PSHACK_Flood,0.9940463864154069,0.994667633050321,-0.000621246634914141,measurable,0.09623797658944144,False,False,False
0,prune50,DDoS-SYN_Flood,0.28399898244721444,0.17298397354362757,0.11101500890358687,measurable,0.10115937772318502,True,True,True
0,prune50,Recon-HostDiscovery,0.5127808287568647,0.564553170244633,-0.051772341487768325,measurable,0.06475710860837625,False,False,False
0,prune50,DoS-SYN_Flood,0.2526990864630433,0.1594075851250346,0.09329150133800868,measurable,0.16322775798596695,False,False,False
0,prune50,DoS-UDP_Flood,0.7845615922539,0.7366415635646405,0.047920028689259486,measurable,0.042812030840507706,True,False,False
0,prune50,DNS_Spoofing,0.33213424668018826,0.3615246259232329,-0.029390379243044662,measurable,0.114062846925445,False,False,False
0,prune50,MITM-ArpSpoofing,0.24296889212297618,0.1539021284336911,0.08906676368928507,measurable,0.032240363900986474,True,False,False
0,prune50,Mirai-udpplain,0.9825017325017324,0.9822938322938323,0.00020790020790018016,robust,0.0016285343321758988,False,False,False
0,prune50,Mirai-greeth_flood,0.9179765744355797,0.9310134102868783,-0.013036835851298667,robust,0.032185043450571806,False,False,False
0,prune50,Mirai-greip_flood,0.9700635220975807,0.9729355318286255,-0.0028720097310447334,robust,0.015342545170750482,False,False,False
0,prune50,DDoS-UDP_Fragmentation,0.9803514644351464,0.9833640167364017,-0.0030125523012553,robust,0.0024622795832539572,False,False,False
0,prune50,DDoS-ACK_Fragmentation,0.8541039534417018,0.8356746270653556,0.0184293263763462,robust,0.0020935824944181562,True,False,False
0,prune50,VulnerabilityScan,0.5897358742895352,0.6384152457372116,-0.04867937144767642,measurable,0.06421776294643117,False,False,False
0,prune50,DDoS-ICMP_Fragmentation,0.9664194065757818,0.9658513766372627,0.0005680299385191212,robust,0.0032719332488235506,False,False,False
0,prune50,BenignTraffic,0.6198189773220667,0.6949333689589526,-0.07511439163688594,measurable,0.0745208853077439,False,False,False
0,prune80,Uploading_Attack,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune80,Recon-PingSweep,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune80,Backdoor_Malware,0.0,0.0,0.0,floored,0.0047310183614072115,False,False,False
0,prune80,XSS,0.0,0.0,0.0,floored,0.0,False,False,False
0,prune80,SqlInjection,0.04066073697585769,0.0,0.04066073697585769,floored,0.015184111050866233,True,False,False
0,prune80,CommandInjection,0.004944375772558714,0.0,0.004944375772558714,floored,0.0013557489047157578,True,False,False
0,prune80,BrowserHijacking,0.0,0.0,0.0,floored,0.016046530273253593,False,False,False
0,prune80,DictionaryBruteForce,0.34183673469387754,0.3112244897959184,0.030612244897959162,measurable,0.03090397920838746,False,False,False
0,prune80,DDoS-SlowLoris,0.7959590210586227,0.7620944792259533,0.033864541832669404,measurable,0.044761911355453585,False,False,False
0,prune80,DDoS-HTTP_Flood,0.7927761055799953,0.7624450104190785,0.03033109516091681,measurable,0.04272368997675003,False,False,False
0,prune80,DoS-HTTP_Flood,0.8215051757903572,0.7819640026112096,0.039541173179147626,measurable,0.04970415677313604,False,False,False
0,prune80,Recon-PortScan,0.16416050510924649,0.11946498296917836,0.044695522140068125,measurable,0.03620910633519947,True,False,False
0,prune80,Recon-OSScan,0.023419689119170986,0.019620034542314334,0.0037996545768566523,floored,0.026845294680235113,False,False,False
0,prune80,DDoS-ICMP_Flood,0.9974112426035503,0.9972263313609467,0.00018491124260355818,robust,0.0008655566904113639,False,False,False
0,prune80,DDoS-RSTFINFlood,0.9985730423925323,0.9984541292585766,0.00011891313395573366,robust,0.00277367196805579,False,False,False
0,prune80,DDoS-TCP_Flood,0.2806383970177074,0.33777958993476237,-0.057141192917054995,unstable_confusable,0.28920255109293425,False,False,False
0,prune80,DDoS-SynonymousIP_Flood,0.3652698081493074,0.6417434649046543,-0.2764736567553469,measurable,0.10978784328412507,False,False,False
0,prune80,DDoS-UDP_Flood,0.5478111872650896,0.8712690692018572,-0.3234578819367676,unstable_confusable,0.2614476915539418,False,False,False
0,prune80,DoS-TCP_Flood,0.5881972862373466,0.5688132672840835,0.019384018953263027,unstable_confusable,0.3331984980587084,False,False,False
0,prune80,DDoS-PSHACK_Flood,0.9940463864154069,0.949575481466142,0.04447090494926487,measurable,0.09623797658944144,False,False,False
0,prune80,DDoS-SYN_Flood,0.28399898244721444,0.16280844568812008,0.12119053675909436,measurable,0.10115937772318502,True,True,True
0,prune80,Recon-HostDiscovery,0.5127808287568647,0.5385421867199202,-0.025761357963055453,measurable,0.06475710860837625,False,False,False
0,prune80,DoS-SYN_Flood,0.2526990864630433,0.1811848297499308,0.07151425671311248,measurable,0.16322775798596695,False,False,False
0,prune80,DoS-UDP_Flood,0.7845615922539,0.4517213555675094,0.33284023668639057,measurable,0.042812030840507706,True,True,True
0,prune80,DNS_Spoofing,0.33213424668018826,0.26719222379549196,0.0649420228846963,measurable,0.114062846925445,False,False,False
0,prune80,MITM-ArpSpoofing,0.24296889212297618,0.21368018919410586,0.029288702928870314,measurable,0.032240363900986474,False,False,False
0,prune80,Mirai-udpplain,0.9825017325017324,0.9783090783090783,0.004192654192654133,robust,0.0016285343321758988,True,False,False
0,prune80,Mirai-greeth_flood,0.9179765744355797,0.8824647767781362,0.0355117976574435,robust,0.032185043450571806,True,False,False
0,prune80,Mirai-greip_flood,0.9700635220975807,0.9605014191106906,0.009562102986890086,robust,0.015342545170750482,False,False,False
0,prune80,DDoS-UDP_Fragmentation,0.9803514644351464,0.9794476987447699,0.0009037656903765345,robust,0.0024622795832539572,False,False,False
0,prune80,DDoS-ACK_Fragmentation,0.8541039534417018,0.8123954779583918,0.041708475483309915,robust,0.0020935824944181562,True,False,False
0,prune80,VulnerabilityScan,0.5897358742895352,0.6433299899699098,-0.05359411568037453,measurable,0.06421776294643117,False,False,False
0,prune80,DDoS-ICMP_Fragmentation,0.9664194065757818,0.965483827853515,0.0009355787222667944,robust,0.0032719332488235506,False,False,False
0,prune80,BenignTraffic,0.6198189773220667,0.5669817307371163,0.05283724658495037,measurable,0.0745208853077439,False,False,False
