seed,cell,val_macro_f1,test_macro_f1
0,M0,0.5700334058932933,0.5451385144815333
0,prune50,,0.5241778273174461
0,prune80,,0.3376755048307554
1,M0,0.5732315618533432,0.5493973430465274
1,prune50,,0.4700003330729579
1,prune80,,0.4051931077589989
2,M0,0.5610536637792989,0.5360538093973034
2,prune50,,0.475409152371928
2,prune80,,0.009040425353851637
3,M0,0.5753460568090442,0.5406188037061865
3,prune50,,0.5137619270797213
3,prune80,,0.3848574819246689
4,M0,0.5638135323996817,0.536900304921525
4,prune50,,0.5131084695658061
4,prune80,,0.21625660405443467
