cell,n,mean,sd,min,max
M0,5.0,0.5416217551106152,0.005637539070732388,0.5360538093973034,0.5493973430465274
prune50,5.0,0.4992915418815719,0.02473848309501899,0.4700003330729579,0.5241778273174461
prune80,5.0,0.2706046247845419,0.16358164310621745,0.009040425353851637,0.4051931077589989
