seed,cell,conv0_sparsity,test_macro_f1
0,f128_conv0dose800_paired,0.7994791865348816,0.4285474236151078
1,f128_conv0dose800_paired,0.7994791865348816,0.36917704217686564
2,f128_conv0dose800_paired,0.7994791865348816,0.2854586770749932
3,f128_conv0dose800_paired,0.7994791865348816,0.31822647013030453
4,f128_conv0dose800_paired,0.7994791865348816,0.33308063771153584
