seed,macro_f1_before,macro_f1_after_bn_recal,delta
0,0.3376755048307554,0.5047298667252218,0.16705436189446637
1,0.4051931077589989,0.4749679413318289,0.06977483357282999
2,0.009040425353851637,0.5189777080845985,0.5099372827307469
3,0.3848574819246689,0.5004133221010555,0.11555584017638659
4,0.21625660405443467,0.5123369086745587,0.296080304620124
