seed_a,seed_b,global_nonzero_mask_jaccard
0,1,0.11415173919515705
0,2,0.11373725850053322
0,3,0.1144005757252401
0,4,0.1135853595030563
1,2,0.11216504036851752
1,3,0.1120135698985972
1,4,0.11248188473115082
2,3,0.11319889441132361
2,4,0.11295059418332322
3,4,0.11164195361041661
