label,auc_M0,auc_compressed,auc_drop
BenignTraffic,0.9603079255761834,0.959161173380968,0.001146752195215428
DDoS-HTTP_Flood,0.9982658931832452,0.9979871171780915,0.0002787760051536914
DDoS-ICMP_Fragmentation,0.9996145714738487,0.9996695878574274,-5.5016383578743167e-05
DDoS-SlowLoris,0.9972302474574566,0.9970725101741558,0.00015773728330081838
DDoS-SynonymousIP_Flood,0.9746613151978711,0.9746071436037849,5.4171594086271924e-05
DDoS-TCP_Flood,0.9859523837030346,0.9865222200763606,-0.0005698363733259715
DDoS-UDP_Flood,0.9902731394869528,0.9902889043749635,-1.57648880106942e-05
DNS_Spoofing,0.9846067382941815,0.9834463769420464,0.001160361352135153
DoS-HTTP_Flood,0.9978428423145295,0.9972640995970672,0.0005787427174622772
DoS-SYN_Flood,0.9385782833399732,0.9408149204396904,-0.0022366370997172202
DoS-TCP_Flood,0.9835117189021845,0.9805590374160755,0.0029526814861089434
DoS-UDP_Flood,0.9918794602696108,0.9916965292399803,0.00018293102963051755
Mirai-greip_flood,0.9977793936975734,0.9981140204971148,-0.0003346267995414376
Recon-HostDiscovery,0.9779694078197911,0.9766080867494034,0.0013613210703877776
Recon-OSScan,0.9201401197371649,0.9176797296626437,0.002460390074521257
Recon-PortScan,0.9272158942165796,0.9257750524944413,0.0014408417221383196
VulnerabilityScan,0.9687253057389272,0.9664943175345869,0.0022309882043403118
