cell,n,accuracy,macro_f1,nll,multiclass_brier,ece_10,ece_15,ece_20,mean_confidence,confidently_wrong_0.5,confidently_wrong_0.7,confidently_wrong_0.9
M0,549271,0.7077890513061859,0.5451385144815333,0.99838187795849,0.37352509148721447,0.031825463006246724,0.03361147047974283,0.03457558375813266,0.7208616414854163,0.1294078879096111,0.03421261999996359,0.005410808143885259
prune50,549271,0.6929530231889177,0.5241778273174461,1.0284401028900843,0.3933186694433798,0.022266584474710582,0.02599039966111304,0.02863481040278162,0.6846056431666356,0.13256662012012285,0.018644712719222387,0.0013945757194536031
prune80,549271,0.5524012736882158,0.3376755048307554,1.9391727267432435,0.612851725990765,0.19261903540105998,0.1926531441505221,0.1926190316709335,0.7449887410434722,0.25972061150142645,0.1424906831054252,0.05244405766916513
distillation,549271,0.6830508073428235,0.5104485420533624,1.0490913047712147,0.39068037274334033,0.02469355754257277,0.025465437267587536,0.02638510240286338,0.6970231303293184,0.127066602824471,0.020530849070859374,0.002201099275221157
int8,549271,0.7089159995703396,0.5456817278262369,1.0011512317248943,0.37289039772631916,0.030338675188565836,0.033147146158283056,0.03295874068617183,0.722442807431664,0.1293496288717227,0.03685976503401782,0.005505479080453911
float16,549271,0.7077453570277695,0.5452007612499301,0.9981140235589008,0.3735841543915059,0.03195961046887361,0.03371469479982417,0.034684589662348754,0.7209128894873424,0.12926770209969213,0.03550524240311249,0.005421731713489334
