arch,input_layer_sparsity,surviving_input_weights,mean_macro_f1,sd_macro_f1,mean_macro_f1_loss,classes_affected_ge3of5
cnn1d,0.0,192,0.5290766099730393,0.012366056203299475,0.012545145137575875,2
cnn1d,0.2,154,0.5273133281189601,0.012937305767181212,0.014308426991655021,1
cnn1d,0.5,96,0.4867079677544398,0.06288135249509065,0.05491378735617536,4
cnn1d,0.8,38,0.2706046247845419,0.16358164310621745,0.2710171303260733,17
cnn1d,0.9,19,0.07389830250597547,0.09636438901119118,0.4677234526046397,25
cnn1d,0.95,10,0.015739787179133744,0.014343051620757344,0.5258819679314815,25
mlp,0.8,1997,0.5454680181091283,0.005905626883240805,0.007484586881703392,0
mlp,0.9,998,0.5466318283074237,0.008032453299572846,0.006320776683407914,0
mlp,0.9808,192,0.49463667630727065,0.01821293385085515,0.058315928683561,4
mlp,0.9904,96,0.3753227891918378,0.06451306157370137,0.17762981579899384,13
mlp,0.9962,38,0.22969305760676817,0.071983428304263,0.3232595473840635,18
