cell,n,mean,sd,min,max
M0,5,0.4926906030899634,0.009051620882230224,0.4793464364857323,0.500997756217985
prune50,5,0.4967791178054348,0.005382460667244965,0.49064954553449514,0.5018425322931286
prune80,5,0.4739740265125308,0.004352775449703619,0.46763255193643116,0.4794193548040724
