mapping,recipe,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate
M0_original,default_layerwise80,0.6456138050735332,0.03422489917762863,0.5375440621712968,0.5717689613489254
M0_original,dense,0.19314959387727415,0.01606018793091454,0.13072130273505192,0.14678149066596646
M0_original,global80,0.2599030664104619,0.015636247727763158,0.19603156164787483,0.21166780937563798
M0_original,protect_conv0,0.22700534278614476,0.01457297885314485,0.15878975489535802,0.17336273374850286
M1_dos_ddos_merged,default_layerwise80,0.6456138050735332,0.03422489917762863,0.12342787329519558,0.15765277247282422
M1_dos_ddos_merged,dense,0.19314959387727415,0.01606018793091454,0.01715905836865548,0.03321924629957002
M1_dos_ddos_merged,global80,0.2599030664104619,0.015636247727763158,0.020893195633474665,0.036529443361237826
M1_dos_ddos_merged,protect_conv0,0.22700534278614476,0.01457297885314485,0.016556828314081527,0.031129807167226374
M2_web_credential_merged,default_layerwise80,0.6456138050735332,0.03422489917762863,0.5375440621712968,0.5717689613489254
M2_web_credential_merged,dense,0.19314959387727415,0.01606018793091454,0.13072130273505192,0.14678149066596646
M2_web_credential_merged,global80,0.2599030664104619,0.015636247727763158,0.19603156164787483,0.21166780937563798
M2_web_credential_merged,protect_conv0,0.22700534278614476,0.01457297885314485,0.15878975489535802,0.17336273374850286
M3_coarse_four,default_layerwise80,0.6456138050735332,0.03422489917762863,0.016923199851484664,0.05114809902911329
M3_coarse_four,dense,0.19314959387727415,0.01606018793091454,0.0029164102710843858,0.018976598201998925
M3_coarse_four,global80,0.2599030664104619,0.015636247727763158,0.0028984418305596183,0.018534689558322777
M3_coarse_four,protect_conv0,0.22700534278614476,0.01457297885314485,0.0022693249160531444,0.016842303769197993
