seed,cell,test_macro_f1
0,M0,0.5451385144815333
0,layerwise80_all,0.3376755048307554
0,layerwise80_protect_conv0,0.5079623144903997
0,global80,0.5177090787771266
1,M0,0.5493973430465274
1,layerwise80_all,0.4051931077589989
1,layerwise80_protect_conv0,0.5285889817388496
1,global80,0.5273498882724204
2,M0,0.5360538093973034
2,layerwise80_all,0.009040425353851637
2,layerwise80_protect_conv0,0.5387216509337143
2,global80,0.5302957833778124
3,M0,0.5406188037061865
3,layerwise80_all,0.3848574819246689
3,layerwise80_protect_conv0,0.5343081272203152
3,global80,0.5262196666520618
4,M0,0.536900304921525
4,layerwise80_all,0.21625660405443467
4,layerwise80_protect_conv0,0.5358019754819177
4,global80,0.5353917549225873
