seed,M0,before,after,loss_before,loss_after
0,0.4585036812817866,0.2882326942196338,0.29643732456054467,0.17027098706215277,0.16206635672124192
1,0.4715731119692159,0.25265382076203,0.28151709766736155,0.2189192912071859,0.19005601430185437
2,0.5008209760766786,0.23184943410270717,0.28918780925221965,0.26897154197397144,0.21163316682445898
3,0.4012111929013045,0.07734888611511051,0.32575749716355884,0.323862306786194,0.07545369573774569
4,0.4646115015933138,0.16682180268386365,0.3055684115149446,0.2977896989094502,0.1590430900783692
