cell,n,mean,sd,min,max
M0,5,0.5416217551106152,0.00563753907073238,0.5360538093973034,0.5493973430465274
global80,5,0.5273932344004016,0.00647230892712674,0.5177090787771266,0.5353917549225873
layerwise80_all,5,0.2706046247845419,0.16358164310621745,0.009040425353851637,0.4051931077589989
layerwise80_protect_conv0,5,0.5290766099730393,0.012366056203299492,0.5079623144903997,0.5387216509337143
