seed,cell,class,M0_test_recall,compressed_test_recall,recall_loss,material_and_beyond_band
0,tapspread38,Uploading_Attack,0.02127659574468085,0.0,0.02127659574468085,False
0,tapspread38,Recon-PingSweep,0.0,0.0,0.0,False
0,tapspread38,Backdoor_Malware,0.004140786749482402,0.0,0.004140786749482402,False
0,tapspread38,XSS,0.02772963604852686,0.0,0.02772963604852686,False
0,tapspread38,SqlInjection,0.04701397712833545,0.0,0.04701397712833545,False
0,tapspread38,CommandInjection,0.0630407911001236,0.0,0.0630407911001236,False
0,tapspread38,BrowserHijacking,0.019562715765247412,0.0,0.019562715765247412,False
0,tapspread38,DictionaryBruteForce,0.32755102040816325,0.0,0.32755102040816325,True
0,tapspread38,DDoS-SlowLoris,0.954183266932271,0.0,0.954183266932271,True
0,tapspread38,DDoS-HTTP_Flood,0.7960175966658949,0.994443158138458,-0.19842556147256307,False
0,tapspread38,DoS-HTTP_Flood,0.8669215704560291,0.0,0.8669215704560291,True
0,tapspread38,Recon-PortScan,0.2467392207360638,8.307717869901138e-05,0.2466561435573648,True
0,tapspread38,Recon-OSScan,0.11454231433506044,6.90846286701209e-05,0.11447322970639032,True
0,tapspread38,DDoS-ICMP_Flood,0.997904339250493,0.08709319526627218,0.9108111439842208,True
0,tapspread38,DDoS-RSTFINFlood,0.9991676080623105,0.0017242404423568583,0.9974433676199537,True
0,tapspread38,DDoS-TCP_Flood,0.6484739049394221,0.0,0.6484739049394221,True
0,tapspread38,DDoS-SynonymousIP_Flood,0.34167970787689095,0.0,0.34167970787689095,True
0,tapspread38,DDoS-UDP_Flood,0.7421512270616847,0.997789078045545,-0.25563785098386027,False
0,tapspread38,DoS-TCP_Flood,0.41158733577428386,0.0,0.41158733577428386,True
0,tapspread38,DDoS-PSHACK_Flood,0.9983433423068958,0.9987575067301718,-0.00041416442327602,False
0,tapspread38,DDoS-SYN_Flood,0.5225642330195879,0.0,0.5225642330195879,False
0,tapspread38,Recon-HostDiscovery,0.7047428856714928,0.0,0.7047428856714928,True
0,tapspread38,DoS-SYN_Flood,0.16439051397988372,0.0,0.16439051397988372,True
0,tapspread38,DoS-UDP_Flood,0.6823112784651246,0.0,0.6823112784651246,True
0,tapspread38,DNS_Spoofing,0.612758792239103,0.39960200528108375,0.21315678695801926,True
0,tapspread38,MITM-ArpSpoofing,0.12505002728761141,0.0,0.12505002728761141,True
0,tapspread38,Mirai-udpplain,0.9874220374220374,0.0002079002079002079,0.9872141372141372,True
0,tapspread38,Mirai-greeth_flood,0.9728399253097946,0.971108470548294,0.001731454761500606,False
0,tapspread38,Mirai-greip_flood,0.9839167455061495,0.0,0.9839167455061495,True
0,tapspread38,DDoS-UDP_Fragmentation,0.9898242677824268,0.5104937238493724,0.4793305439330544,True
0,tapspread38,DDoS-ACK_Fragmentation,0.9651481704461837,0.0,0.9651481704461837,True
0,tapspread38,VulnerabilityScan,0.6740220661985958,0.6921430959545303,-0.018121029755934437,False
0,tapspread38,DDoS-ICMP_Fragmentation,0.9721331194867683,0.00016706762897620957,0.9719660518577921,True
0,tapspread38,BenignTraffic,0.6791022343943088,0.0,0.6791022343943088,True
