arch,cell,seed,M0,before,after,loss_before,loss_after,benign_to_attack_before,exact_attack_type_before,benign_to_attack_after,exact_attack_type_after,benign_to_attack_dense,exact_attack_type_dense
cnn1d,uniform80,0,0.5451385144815333,0.3376755048307554,0.5047298667252218,0.20746300965077785,0.04040864775631148,0.8214822484218964,0.5739568289912002,0.37463678567850106,0.6834979685363834,0.32089776560569117,0.7094429360907323
cnn1d,uniform80,1,0.5493973430465274,0.4051931077589989,0.4749679413318289,0.14420423528752851,0.07442940171469853,0.05317123676563909,0.5669073614079679,0.35179185731939483,0.6409893516646449,0.22788150028389165,0.7100802957656981
cnn1d,uniform80,2,0.5360538093973034,0.009040425353851637,0.5189777080845985,0.5270133840434518,0.017076101312704872,0.9852042349954911,0.03712090578245047,0.28415884572993555,0.6904761904761905,0.2805517517784977,0.7014306895422949
cnn1d,uniform80,3,0.5406188037061865,0.3848574819246689,0.5004133221010555,0.15576132178151764,0.040205481605131044,0.1547710497311379,0.5483680896539772,0.2919074179219131,0.6776904858182659,0.2694966767977022,0.7048620337742861
cnn1d,uniform80,4,0.536900304921525,0.21625660405443467,0.5123369086745587,0.32064370086709026,0.02456339624696624,0.8020774189238836,0.35826160630042553,0.3615443705955045,0.6822348025340342,0.3322534317491066,0.7102670748849479
cnn1d,protected,0,0.5451385144815333,0.5079623144903997,0.5148303121632801,0.03717619999113353,0.030308202318253152,0.3947095955378912,0.6950089538443764,0.34374269396479745,0.6977836828220977,0.32089776560569117,0.7094429360907323
cnn1d,protected,1,0.5493973430465274,0.5285889817388496,0.5257468446277257,0.020808361307677825,0.023650498418801735,0.3459136301392739,0.7076078793830513,0.44641127550850007,0.7067741127991836,0.22788150028389165,0.7100802957656981
cnn1d,protected,2,0.5360538093973034,0.5387216509337143,0.5406581080752745,-0.0026678415364108643,-0.004604298677971075,0.22791489930196052,0.7053395721410278,0.24094051634881936,0.7070167330984153,0.2805517517784977,0.7014306895422949
cnn1d,protected,3,0.5406188037061865,0.5343081272203152,0.524401524915067,0.006310676485871358,0.01621727879111956,0.29110584148826024,0.7061714131669651,0.3239036772318894,0.7058132593919088,0.2694966767977022,0.7048620337742861
cnn1d,protected,4,0.536900304921525,0.5358019754819177,0.53450419463696,0.001098329439607304,0.0023961102845649895,0.2784142146220901,0.7093832437948896,0.2959820981263151,0.7082144301311305,0.3322534317491066,0.7102670748849479
cnn1d,global80,0,0.5451385144815333,0.5177090787771266,0.5296334603770552,0.0274294357044067,0.015505054104478111,0.4782739387462009,0.7012593148864884,0.40489629604889615,0.7102035314732443,0.32089776560569117,0.7094429360907323
cnn1d,global80,1,0.5493973430465274,0.5273498882724204,0.5212915324957282,0.022047454774107078,0.028105810550799193,0.29217461006646406,0.7008607243948934,0.2638522427440633,0.6892746423276144,0.22788150028389165,0.7100802957656981
cnn1d,global80,2,0.5360538093973034,0.5302957833778124,0.5296966773557187,0.005758026019491047,0.006357132041584723,0.3203633813165893,0.7067664105674619,0.2595771684312481,0.7051643463693605,0.2805517517784977,0.7014306895422949
cnn1d,global80,3,0.5406188037061865,0.5262196666520618,0.5178273826140345,0.014399137054124767,0.022791421092152042,0.27771283524264384,0.6988061540831456,0.3159881099495675,0.689831128569503,0.2694966767977022,0.7048620337742861
cnn1d,global80,4,0.536900304921525,0.5353917549225873,0.5347051465072749,0.0015085499989376805,0.002195158414250109,0.3294479142313216,0.7087728419309495,0.3126816071607495,0.7061617853773131,0.3322534317491066,0.7102670748849479
cnn1d,gradual_perlayer,0,0.5451385144815333,0.44437971202654847,0.5125410311855749,0.10075880245498481,0.03259748329595835,0.7481046057245917,0.6305586043556121,0.3938412210681006,0.6993838214622687,0.32089776560569117,0.7094429360907323
cnn1d,gradual_perlayer,1,0.5493973430465274,0.37761990893602204,0.5095871101094075,0.1717774341105054,0.03981023293711994,0.6832437126348485,0.5454547205052664,0.38652683611101835,0.6945737777521037,0.22788150028389165,0.7100802957656981
cnn1d,gradual_perlayer,2,0.5360538093973034,0.4121890639044632,0.5142117822121415,0.12386474549284021,0.021842027185161927,0.9219798937911226,0.6156605626480273,0.2557362813533282,0.6874973523578457,0.2805517517784977,0.7014306895422949
cnn1d,gradual_perlayer,3,0.5406188037061865,0.38927767637275923,0.5111049437449829,0.1513411273334273,0.029513859961203592,0.5586987742560369,0.5765390021758805,0.23462810193380315,0.6832842316061079,0.2694966767977022,0.7048620337742861
cnn1d,gradual_perlayer,4,0.536900304921525,0.259539479177453,0.5219785313722392,0.27736082574407195,0.01492177354928581,1.0,0.4494656576743111,0.33208643665876225,0.6974948491325361,0.3322534317491066,0.7102670748849479
cnn1d,gradual_global,0,0.5451385144815333,0.534681345644876,0.5350346556369855,0.01045716883665726,0.010103858844547786,0.221936475067633,0.7013209327402615,0.1601482916402258,0.7003735582384996,0.32089776560569117,0.7094429360907323
