architecture,n_sets,raw_vs_recovered_awbir_spearman,raw_vs_recovered_family_f1_spearman,awbir_spread_raw,awbir_spread_recovered
deep,12,0.055944055944055944,0.18181818181818185,0.3497064442298689,0.06728018715989155
shallow,12,-0.027972027972027972,0.32867132867132864,0.3146156040264435,0.033149286177096796
