set_id,architecture,budget,target,observed,additive_prediction,interaction_residual
deep_b40_s32427,deep,0.4,raw_awbir,0.20846455071576805,0.29469192910475406,-0.086227378388986
deep_b40_s32429,deep,0.4,raw_awbir,0.1911761267248044,0.17349894592719772,0.01767718079760669
deep_b40_s32431,deep,0.4,raw_awbir,0.08922149650261005,0.12958450338219085,-0.040363006879580804
deep_b40_s32433,deep,0.4,raw_awbir,0.17591797538103507,0.2738936693350025,-0.09797569395396741
deep_b40_s32435,deep,0.4,raw_awbir,0.3961239116032839,0.23535721547312077,0.16076669613016314
deep_b40_s32437,deep,0.4,raw_awbir,0.07668342111484022,0.19355041465378958,-0.11686699353894936
deep_b40_s32439,deep,0.4,raw_awbir,0.3086484991302932,0.3092416077521076,-0.0005931086218143866
deep_b40_s32441,deep,0.4,raw_awbir,0.42638986534470913,0.3347071356470448,0.09168272969766433
deep_b40_s32443,deep,0.4,raw_awbir,0.4221825568600609,0.33977096770301923,0.08241158915704166
deep_b40_s32445,deep,0.4,raw_awbir,0.2913189766020804,0.21833528866728474,0.07298368793479565
deep_b40_s32447,deep,0.4,raw_awbir,0.2531553531223791,0.19630799500138035,0.056847358120998726
deep_b40_s32449,deep,0.4,raw_awbir,0.2616741584022285,0.2606795962069393,0.0009945621952892059
deep_b40_s32451,deep,0.4,raw_awbir,0.2963036583188617,0.2963793363657614,-7.567804689972979e-05
deep_b40_s32453,deep,0.4,raw_awbir,0.2434477804127433,0.2915266914904095,-0.04807891107766621
deep_b40_s32455,deep,0.4,raw_awbir,0.23405159023166147,0.23519712979399726,-0.00114553956233579
deep_b40_s32457,deep,0.4,raw_awbir,0.2973571624777216,0.2788013024130955,0.018555860064626117
deep_b40_s32459,deep,0.4,raw_awbir,0.1495498122324393,0.17729925266528707,-0.02774944043284777
deep_b40_s32461,deep,0.4,raw_awbir,0.256606956370086,0.24567591203290517,0.01093104433718084
deep_b40_s32463,deep,0.4,raw_awbir,0.36729756151499915,0.29257161201131054,0.0747259495036886
