architecture,budget,predictor,target,n_discovery,n_confirmation,slope,intercept,confirmation_spearman,confirmation_r2,confirmation_mae
deep,0.4,sum_harm_awbir,raw_awbir,20,20,0.22007946258451716,-0.13673146665007319,0.7503759398496239,0.5741870564245912,0.055222124211701605
deep,0.4,sum_harm_hsr_balanced_soc,raw_hsr_delta,20,20,0.36948011739735037,0.061060039556770265,0.7097744360902255,0.3922626648286198,0.028612919937296553
deep,0.4,sum_harm_fine_macro_f1,raw_fine_f1_loss,20,20,0.3738701967215113,0.1680556445035368,0.7037593984962407,0.3071009616112851,0.0657722794181699
deep,0.4,sum_harm_family_macro_f1,raw_family_f1_loss,20,20,0.33164100723024975,0.1033345615223737,0.6436090225563909,0.32558640589954646,0.06314917735244059
shallow,0.25,sum_harm_awbir,raw_awbir,20,20,0.18337284751709954,-0.009192777845476008,0.6466165413533834,0.26467285866346435,0.048102661486887556
shallow,0.25,sum_harm_hsr_balanced_soc,raw_hsr_delta,20,20,0.26384459263206594,0.12026834517871135,0.7127819548872181,0.26285139444664685,0.05586242872572471
shallow,0.25,sum_harm_fine_macro_f1,raw_fine_f1_loss,20,20,0.2424314655122544,0.21716764710153538,0.801503759398496,0.44641436582719773,0.06913877339893434
shallow,0.25,sum_harm_family_macro_f1,raw_family_f1_loss,20,20,0.306831173467464,0.11123720568638576,0.6270676691729322,0.34350168451831153,0.07174371365145563
shallow,0.4,sum_harm_awbir,raw_awbir,20,20,0.001614973251668504,0.45778043307178756,-0.25112781954887214,-0.13044407037083317,0.07621316078685865
shallow,0.4,sum_harm_hsr_balanced_soc,raw_hsr_delta,20,20,0.09090967283899254,0.23276206080866385,0.6195488721804511,-0.18111721166627737,0.04947335322817735
shallow,0.4,sum_harm_fine_macro_f1,raw_fine_f1_loss,20,20,0.02853613471577027,0.4572694799547874,0.6842105263157895,-0.11524919425786972,0.03572226509594016
shallow,0.4,sum_harm_family_macro_f1,raw_family_f1_loss,20,20,0.08076155374931084,0.3022384748240154,0.544360902255639,-0.03543927534359237,0.0646724397564565
shallow,0.55,sum_harm_awbir,raw_awbir,20,20,0.04048563245173447,0.2423504462515592,0.6556390977443608,0.29692113407249976,0.053378276240305736
shallow,0.55,sum_harm_hsr_balanced_soc,raw_hsr_delta,20,20,0.02222653831008097,0.27576438630430494,0.33233082706766914,0.060655482668926064,0.03254891381614648
shallow,0.55,sum_harm_fine_macro_f1,raw_fine_f1_loss,20,20,0.007912356598881749,0.49611916355830166,0.5744360902255639,0.07149397156894266,0.017624551690095584
shallow,0.55,sum_harm_family_macro_f1,raw_family_f1_loss,20,20,0.022226592265448018,0.36979778713253764,0.5729323308270676,0.12391349478091163,0.03706088315516483
