set_id,architecture,budget,raw_awbir,recovered_awbir,raw_family_macro_f1,recovered_family_macro_f1,raw_fine_macro_f1,recovered_fine_macro_f1,recovered_attack_to_benign,recovered_benign_to_attack
shallow_b40_s22427,shallow,0.4,0.47584576454181166,0.1204537205956887,0.16039234022096321,0.5328666470069191,0.0640409604473518,0.5146725791832177,0.04260143198090692,0.0078125
shallow_b40_s22429,shallow,0.4,0.5046168811123056,0.10031205328219721,0.1297055812971713,0.5669433709862711,0.051524965998875905,0.5329858366896276,0.02899761336515513,0.05078125
shallow_b40_s22431,shallow,0.4,0.5172847185963406,0.133461339459294,0.24161135236557335,0.5337549902081086,0.10581692491346167,0.4999416231188776,0.05513126491646778,0.0078125
shallow_b40_s22433,shallow,0.4,0.428868333103625,0.12188336541981643,0.08421819613076115,0.58090709927349,0.03370328948065804,0.5230578342423414,0.03496420047732697,0.0234375
shallow_b40_s22435,shallow,0.4,0.41048480411543337,0.11569923281556443,0.25306289922626846,0.5930328366969518,0.17788809441961845,0.532934114635008,0.02458233890214797,0.0234375
shallow_b40_s22437,shallow,0.4,0.28831083594825124,0.12352247234545219,0.1612601095572056,0.5796600136219711,0.07645111140160188,0.5250653518917996,0.03806682577565632,0.00390625
shallow_b40_s22439,shallow,0.4,0.35273803915457214,0.10971820021156206,0.019346773931379235,0.5663952456139202,0.015149155779278334,0.5434887072159872,0.03639618138424821,0.0078125
shallow_b40_s22441,shallow,0.4,0.3227956255867672,0.11386839395504517,0.030571598088432073,0.5447912362500155,0.033374654746627264,0.519895999090034,0.05334128878281623,0.01171875
shallow_b40_s22443,shallow,0.4,0.42226304009156423,0.10196464486450744,0.03907099675375397,0.5780570877520768,0.03256305671276449,0.5361180503584349,0.026968973747016706,0.01953125
shallow_b40_s22445,shallow,0.4,0.49961071180492034,0.10372922232753008,0.1853523565543233,0.5711316261885155,0.13866007334274655,0.5462775584763113,0.0405727923627685,0.00390625
shallow_b40_s22447,shallow,0.4,0.6029264399746948,0.11634803895590069,0.19060647408912856,0.5911213376994654,0.055516892797890516,0.5273217833593054,0.03305489260143198,0.0
shallow_b40_s22449,shallow,0.4,0.5045853806784292,0.11267906971101953,0.11423738302600012,0.522867878716701,0.05235394511765762,0.5232939154642934,0.059665871121718374,0.0625
deep_b40_s32427,deep,0.4,0.20846455071576805,0.05209677263811172,0.36656103078188185,0.545788447639329,0.34113076830445266,0.5100169550364378,0.045465393794749405,0.0
deep_b40_s32429,deep,0.4,0.1911761267248044,0.05895207567996641,0.4457701885034269,0.591864018949261,0.33879501996609607,0.5206906950434044,0.045942720763723154,0.0
deep_b40_s32431,deep,0.4,0.08922149650261005,0.07495385762927036,0.395459713783726,0.555420937328519,0.3721799904797263,0.4971453497110868,0.049045346062052506,0.0
deep_b40_s32433,deep,0.4,0.17591797538103507,0.06865001003720511,0.266724022683326,0.6042131713356212,0.2673386610666498,0.5306535766716032,0.035202863961813845,0.0
deep_b40_s32435,deep,0.4,0.3961239116032839,0.045813400070018294,0.35051608227255376,0.5462771555672714,0.3316200787852044,0.5082826495454539,0.04725536992840095,0.0
deep_b40_s32437,deep,0.4,0.07668342111484022,0.03930713443413982,0.4200481014640621,0.6413415219358585,0.3587379184042061,0.581961473938525,0.04379474940334129,0.0
deep_b40_s32439,deep,0.4,0.3086484991302932,0.046423390206928726,0.3524516370127984,0.6472950095064103,0.2169874331758564,0.5699335441316173,0.03699284009546539,0.0
deep_b40_s32441,deep,0.4,0.42638986534470913,0.05449864824391135,0.2599693629933349,0.6113906375047935,0.25969039044426057,0.5497674189757433,0.045942720763723154,0.0
deep_b40_s32443,deep,0.4,0.4221825568600609,0.10486682354121203,0.3152295025251531,0.5423164442906399,0.3128784218465367,0.5023882711028478,0.04630071599045346,0.0
deep_b40_s32445,deep,0.4,0.2913189766020804,0.06903748591169712,0.44703854060786846,0.5585346941195048,0.3396413977450948,0.49892353220399716,0.04856801909307876,0.0
deep_b40_s32447,deep,0.4,0.2531553531223791,0.03758663638132048,0.49374339997431427,0.6582616736032461,0.44751633850735434,0.5685213602167107,0.045346062052505964,0.0
deep_b40_s32449,deep,0.4,0.2616741584022285,0.03887231834281127,0.27802236004530967,0.5611045475957828,0.17716813455198,0.5185105837389329,0.049045346062052506,0.0
