label,recall,support
Uploading_Attack,0.010638297872340425,188
Recon-PingSweep,0.008823529411764706,340
Backdoor_Malware,0.041407867494824016,483
XSS,0.02772963604852686,577
SqlInjection,0.06480304955527319,787
CommandInjection,0.08034610630407911,809
BrowserHijacking,0.02991944764096663,869
DictionaryBruteForce,0.44642857142857145,1960
DDoS-SlowLoris,0.9621513944223108,3514
DDoS-HTTP_Flood,0.8721926371845334,4319
DoS-HTTP_Flood,0.912431222605614,10723
Recon-PortScan,0.2125114231120711,12037
Recon-OSScan,0.16041450777202074,14475
DDoS-ICMP_Flood,0.9984590729783037,16224
DDoS-RSTFINFlood,0.9992270646292883,16819
DDoS-TCP_Flood,0.6638513513513513,17168
DDoS-SynonymousIP_Flood,0.6469599489943778,17253
DDoS-UDP_Flood,0.4846893654653991,18092
DoS-TCP_Flood,0.5556213654964463,18572
DDoS-PSHACK_Flood,0.9982398012010768,19316
DDoS-SYN_Flood,0.2689900788603409,19655
Recon-HostDiscovery,0.7954068896655018,20030
DoS-SYN_Flood,0.1754636892128818,21674
DoS-UDP_Flood,0.826474807244038,22308
DNS_Spoofing,0.611955149056676,26131
MITM-ArpSpoofing,0.14742586865563034,27485
Mirai-udpplain,0.9937629937629938,28860
Mirai-greeth_flood,0.9903242233916143,29455
Mirai-greip_flood,0.9901675902148939,29596
DDoS-UDP_Fragmentation,0.9919330543933055,29875
DDoS-ACK_Fragmentation,0.9718041340557897,29898
VulnerabilityScan,0.7258441992644601,29910
DDoS-ICMP_Fragmentation,0.9735030740443732,29928
BenignTraffic,0.7926922948465315,29941
